English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which one is the simple fractions of 0.\dot{3} \dot{3}?,0.\dot{3} \dot{3} এর সাধারণ ভগ্নাংশ কোনটি?,\frac{33}{100},\frac{33}{90},\frac{33}{99},\frac{30}{90},\frac{33}{100},\frac{33}{90},\frac{33}{99},\frac{30}{90},c
"If x + y = 3 and xy = 1, then what is the value of x^{3} + y^{3} + (x - y)^{2}?",x+y=3 এবং xy=1 হলে x^{3} + y^{3} + (x - y)^{2} এর মান কত?,23,31,41,49,23,31,41,49,a
"If \tan (\theta - 60\degree) = \frac{1}{\sqrt{3}}, then \sin \theta = what?","\tan (\theta - 60\degree) = \frac{1}{\sqrt{3}} হলে, \sin \theta = কত?",0,\frac{1}{2},\frac{\sqrt{3}{2},1,0,\frac{1}{2},\frac{\sqrt{3}{2},1,d
What is the scientific number of 0.000060302?,0.000060302 সংখ্যাটির আদর্শ রূপ কোনটি?,0.60302 \times 10^{-4},6.0302 \times 10^{-5},60.302 \times 10^{-6},603.02 \times 10^{-7},0.60302 \times 10^{-4},6.0302 \times 10^{-5},60.302 \times 10^{-6},603.02 \times 10^{-7},b
What is number of independent data is required to draw a definite quadrilateral?,নির্দিষ্ট চতুর্ভূজ আকাঁর জন্য কতটি স্বতন্ত্র উপাত্ত প্রয়োজন?,2,3,4,5,2,3,4,5,d
"If a commodity sells at \frac{25}{2}% loss, then what is the ratio of selling price and buying price?",একটি দ্রব্য \frac{25}{2}% ক্ষতিতে বিক্রয় করলে বিক্রয়মূল্য ও ক্রয়মূল্যের অনুপাত কত?,07:08,08:09,09:08,08:07,07:08,08:09,09:08,08:07,a
Which one of the following is the value of \sqrt[3]{7}.\sqrt[3]{7}?,\sqrt[3]{7}.\sqrt[3]{7} এর মান নিচের কোনটি?,\sqrt[6]{7},\sqrt[3]{7^{2}},\sqrt[3]{7^{3}},\sqrt{7^{2}},\sqrt[6]{7},\sqrt[3]{7^{2}},\sqrt[3]{7^{3}},\sqrt{7^{2}},b
What is the angle between the tangent and the radius through the point of contact of the tangent?,কোনো বৃত্তের স্পর্শক ও স্পর্শবিন্দুগামী ব্যাসাধের মধ্যবর্তী কোণ কত?,45\degree,60\degree,90\degree,180\degree,45\degree,60\degree,90\degree,180\degree,c
"If the length of a side is given, then it is possible to draw a-
i. regular triangle
ii. square
iii. rhombus
Which one is correct?","একটি বাহুর দের্ঘ্য দেওয়া থাকরে অঙ্কন সম্ভব- 
 i. সুষম ত্রিভুজ
 ii. বর্গ 
 iii. রম্বস
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which of the following is median of prime numbers from 30 to 75?,30 থেকে 75 এর মধ্যবর্তী মৌলিক সংখ্যা গুলোর মধ্যক নিচের কোনটি?,47,53,59,61,47,53,59,61,b
"If mode = 49.75, L = 48, f_{1} = 7 and f_{2} = 17 a frequency distribution the class interval?","কোনো গনসংখ্যা নিবেশনের প্রচুরক= 49.75, L = 48, f_{1} = 7 এবং f_{2} = 17 হলে, শ্রেণি ব্যবধান কত?",6,7,10,20,6,7,10,20,a
Which is the tabular form of \{x \in \mathbb{N}:4 < x \leq 5\}?,{x \epsilon \mathbb{N} : 4 < x \leq 5} এর তালিকা রূপ কোনটি?,\O,\{4\},\{5\},"\{4, 5\}",\varnothing,{4},{3},"{4,5}",c
Which of the following is infinite set?,নিচের কোনটি অসমী সেট?,\{x \in \mathbb{N}:x > 5\},\{x \in \mathbb{N}:x < 5\},\{x \in \mathbb{N}:x is prime number and x < 2\},\{x \in \mathbb{Z}:16 \leq x^{2} \leq 36\},{x \epsilon \matbbb{N} : x > 5},{x \epsilon \mathbb{N} : x < 5},{x \epsilon \mathbb{N} : x মৌলিক সংখ্যা এবং x < 2},{x \epsilon \mathbb{Z} : 16 \leq x^{2} \leq 36},a
"If f(y) = y^{2} - \left ( a + \frac{1}{a} \right )y + 1, then for what value of will f(y) = 0?",f(y) = y^{2} - \left ( a + \frac{1}{a} \right )y + 1 হলে y এর কোন মানের জন্য হবে?,"0, a","0, \frac{1}{a}","a, -\frac{1}{a}","a, \frac{1}{a}","0, a","0, \frac{1}{a}","a, -\frac{1}{a}","a, \frac{1}{a}",d
If \log_{4} x = \frac{1}{2} then x = ?,\log_{4} x = \frac{1}{2} হলে x = কত?,4,2,\frac{1}{2},\frac{1}{8},4,2,\frac{1}{2},\frac{1}{8},b
Which one is a factor of x^{2} - 1 + 2y - y^{2}?,x^{2} - 1 + 2y - y^{2} এর একটি উৎপাদক নিচের কোনটি?,x + y - 1,x + y + 1,y - x + 1,x - y - 1,x+y-1,x+y+1,y-x+1,x-y-1,a
Which is to be added to (x + y)^{2} that the sum will be (x - y)^{2}?,(x + y)^{2} এর সাথে কত যোগ করলে যোগফল হবে (x - y)^{2}?,- 4xy,4xy,- 2xy,2xy,-4xy,4xy,-2xy,2xy,a
"If a + b = 4 and a^{2} + b^{2} = 8, what is the value of a^{3} + b^{3}?",a + b = 4 এবং a^{2} + b^{2} হলে a^{3} + b^{3} এর মান কত?,0,12,16,18,0,12,16,18,c
How many years will the simple profit be Tk. 273 of Tk. 650 at the rate of profit Tk. 7 percent per annum?,বার্ষিক 7% হারে মুনাফায় 650 টাকার কত বছরের সরল মুনাফা 273 টাকা হবে?,4,5,6,7,4,5,6,7,c
Which one of the following angle is to be possible inscribed in a minor are of a circle?,কোনো বৃত্তের উপচাপে অন্তলিখিত কোণ নিচের কোনটি হওয়ার সম্ভাবনা আছে?,30\degree,45\degree,70\degree,110\degree,30\degree,45\degree,70\degree,110\degree,d
"If (\sqrt{3})^{x+2} = 27, what is the value of x?",(\sqrt{3})^{x+2} = 27 হলে x এর মান কত?,6,4,3,2,6,4,3,2,b
If 2 \log x - \log (2x + 35) = 0 then what is the value of x?,2 logx - log (2x + 35) = 0 হলে x এর মান কত?,-7,-5,"-5, 7","-7, 5",-7,-5,"- 5, 7","- 7, 5",c
What is the sum of the first 27 natural numbers?,প্রথম 27টি স্বাভাবিক সংখ্যার সমষ্টি কত?,27,378,756,6930,27,378,756,6930,b
If \sec^{2}\theta + \tan^{2}\theta = 3 then what is the value of \cosec \theta ? (When \theta is an acute angle),"sec^{2}\theta + tan^{2}\theta = 3 হলে cosec\theta এর মান কত? (যেখানে, \theta সূক্ষ্মকোণ)",\frac{2}{\sqrt{3}},\sqrt{2},1,\frac{1}{\sqrt{2}},\frac{2}{\sqrt{3}},\sqrt{3},1,\frac{1}{\sqrt{2}},b
If \sin A = \sqrt{(2)^{-1}} then what is the value of \sec A?,"\sin A = \sqrt{(2)^{-1}} হলে, secA এর মান কত?",0,1,\frac{2}{\sqrt{3}},\sqrt{2},0,1,\frac{2}{\sqrt{3}},\sqrt{2},d
The perimeter of an equilateral triangle is 18 cm. What is the height of the triangle is cm?,একটি সমবাহু ত্রিভুজের পরিসীমা 18 সে.ম. হলে ত্রিভুজটির উচ্চতা কত সি.মি. ?,\sqrt{3},3\sqrt{3},3\sqrt{5},6,\sqrt{3},3\sqrt{3},3\sqrt{5},6,b
If the radius of base and the height a cylinder are 3 cm and 7 cm respectively then what is the area of its curved surface?,"একটি সিলিন্ডারের ভূমির ব্যাসার্ধ 3 সে.মি. ও উচ্চতা 7সে.মি. হলে, বক্রপৃষ্ঠের ক্ষেত্রফল কত বর্গ সে.মি?",9\pi,21\pi,42\pi,63\pi,9\pi,21\pi,42\pi,63\pi,c
The centre of circumscribing circle of what type of triangle is situated on the longest side of the triangle?,কোন ধরনের ত্রিভুজের পরিবৃত্তের কেন্দ্র ত্রিভূজটির বৃহত্তম বাহুর উপর অবস্থিত ?,Equllateral,Acute angled,Obtuse angled,Right angled,সমবাহু,সূক্ষ্মকোণ,স্থূলকোণী,সমকোণী,d
"Which one is the median of the numebr 5, 15, 10, 3, 7?","5,15,10,3,7 সংখ্যাগুলোর মধ্যক কত?",15,10,7,5,15,10,7,5,c
"If the area of an equilateral triangle is 4\sqrt{3} sq. metre, how many metres is the length of its side?",একটি সমবাহু ত্রির্ভুজের ক্ষেত্রফল বর্গমিটর হলে 4\sqrt{3} এর বাহুর দৈর্ঘ্য কত মিটর ?,\frac{\sqrt{3}}{4},\sqrt{3},4,16,\frac{\sqrt{3}}{4},\sqrt{3},4,16,c
"If the perimeter of a square is 16 metres, how many metres is its diagonal?",একটি বর্গের পরিসীমা 16 মিটার হলে এর কর্ণ কত মিটার ?,4\sqrt{2},4\sqrt{3},8\sqrt{2},8\sqrt{3},4\sqrt{2},4\sqrt{3},8\sqrt{2},8\sqrt{3},a
Which one of the following is the area of an isosceles triangle if its base is a and the length of its equal sides is b?,সমদ্বিবাহু ত্রিভূজের ভূমি a এবং সমান সমান বাহুর দৈর্ঘ্য b হলে এর ক্ষেত্রফল নিচের কোনটি?,\frac{b}{4} \sqrt{4a^{2} - b^{2}},\frac{a}{4} \sqrt{4b^{2} - a^{2}},\frac{4}{a} \sqrt{4b^{2} - a^{2}},\frac{4}{b} \sqrt{4b^{2} - a^{2}},\frac{b}{4} \sqrt{4a^{2} - b^{2}},\frac{a}{4} \sqrt{4b^{2} - a^{2}},\frac{4}{a} \sqrt{4b^{2} - a^{2}},\frac{4}{b} \sqrt{4b^{2} - a^{2}},b
How many lines of symmetry does a square have?,একটি বর্গের কতটি প্রতিসাম্য রেখা আছে?,8,6,4,2,8টি,6টি,4টি,2টি,c
"If the mid-points of the sides AB and AC of \triangle{ABC} are P and Q, which one is the value of \triangle{ABC} : \triangle{APQ}?","\triangle ABC এর AB ও AC বাহুর মধ্যবিন্দু P ও Q হলে, \triangle ABC : \triangle APQ এর মান কোনটি?",01:02,01:04,02:01,04:01,01:02,01:04,02:01,04:01,d
The lengths of three sides of a triangle are given in cm unit. In which case of the following is it possible to construct a triangle?,ত্রিভূজের তিনটি বাহুর দৈর্ঘ্য সে.মি এককে দেওয়া হলো। নিচের কোন ক্ষেত্রে ত্রিভূজ অঙ্কন করা যায়?,"5, 6, 18","6, 7, 19","7, 8, 17","9, 6, 13","5,6,18","6,7,19,","7,8,17","9,6,13",d
Which one of the following is correct in the case of constructing 70\degree angle in a right angled triangle?,সমকোণী ত্রিভূজের 70\degree কোণ অংকনের ক্ষেত্রে নিম্নের কোনটি সঠিক?,Hypotenuse = Perpendicular,Base < Perpendicular,Base > Perpendicular,Base = Perpendicular,অতিভূজ = লম্ব,ভূমি < লম্ব,ভূমি > লম্ব,ভূমি = লম্ব,b
How many independent data are necessary for constructing of definite quadrliateral?,নির্দিষ্ট চতুর্ভূজ অংকনের জন্য কয়টি স্বতন্ত্র উপাত্ত প্রয়োজন?,5,4,3,2,5টি,4টি,3টি,2টি,a
Which one is the sum of the (2n + 2) terms of the series - 2 + 2 - 2 + 2 - 2 + .....?,- 2 + 2 - 2 + 2 - 2 + .... ধারাটির (2n+2) পদের সমষ্টি কত?,4,2,0,-1,4,2,0,-1,c
Where lies the circumcentre of the obtuse-angled triangle?,স্থূলকোণী ত্রিভূজের পরিকেন্দ্র কোথায় অবস্থিত?,On greater side,On lesser side,Inside the triangle,Outside the triangle,বৃহত্তর বাহুর উপর,ক্ষুদ্রতর বাহুর উপর,ত্রিভূজের অভ্যন্তরে,ত্রিভূজের বহির্ভাগে,d
"If the length of a perpendicular on the chord is 3 cm from the centre of a circle with radius of 5 cm, what is the length of that chord of the circle?",5 সে.মি. ব্যাসার্ধবিশিষ্ট্ বৃত্তের কেন্দ্র থেকে কোনো জ্যা এর উপর অংকিত লম্বের দৈর্ঘ্য 3 সে.মি হলে বৃত্তের ঐ জ্যা এর দৈর্ঘ্য কত?,16 cm,8 cm,4 cm,2 cm,16 সে.মি,8 সে.মি.,4 সে.মি.,2 সে.মি.,b
Which one is the distance between two centres if two circles touch each other internally?,দুটি বৃত্ত পরস্পরকে অন্তঃস্পর্শ করলে কেন্দ্রদ্বয়ের দূরত্ব হবে কোনটি?,Sum of two radius,Radius of grater circle,Radius of lesser circle,Difference of two radius,ব্যাসার্ধদ্বয়ের সমষ্টি,বৃহত্তর বৃত্তের ব্যাসার্ধ,ক্ষুদ্রতর বৃত্তের ব্যাসার্ধ,ব্যাসার্ধদ্বয়ের অন্তর,d
Which one is the value of 0.3 \times 0.\dot{6}?,0.3 \times 0.\dot{6} এর মান কোনটি?,0.1\dot{8},0.\dot{1}\dot{8},0.\dot{2},0.2,0.1\dot{8},0.\dot{1}\dot{8},0.\dot{2},0.2,d
"U = \{1, 2, 3, 4, 5, 6\}
A = \{1, 2, 3, 4\}
How many subsets are there in A?","U= {1,2,3,4,5,6} 
 A= {1,2,3,4}
 A এর উপসেট কয়টি?",4,8,12,16,4,8,12,16,d
"U = \{1, 2, 3, 4, 5, 6\}
A = \{1, 2, 3, 4\}
If A^{\prime}, then-
i. element of D is 2
ii. element of A \times D is 8
iii. A \times D is a function
Which one of the following is correct?","U= {1,2,3,4,5,6} 
 A= {1,2,3,4}
 D=A' হলে- 
 i. D এর উপাদান 2টি
 ii. A \times D এর উপাদান 8টি 
 iii. A \times D ফাংশন 
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"If T^{x} = \frac{1}{2401}, what is the value of x?","T^{x} = \frac{1}{2401} হলে, x এর মান কত?",2,3,4,5,2,3,4,5,c
"If \log_{a}N = P, then-
i. N > 0
ii. P > 0
iii. a > 0, a \neq 1
Which one of the following is correct?","\log_{a}N = P হলে-
 i. N > 0
 ii. P > 0
 iii. a > 0, a \neq 1
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which one is the solution set of x^{2} + 5x - 6 = 0?,x^{2} + 5x - 6 = 0 এর সমাধান সেট কোনটি?,"\{-6, 1\}","\{6, -1\}","\{2, 3\}","\{3, 2\}","{-6,1}","{6,-1}","{2,3}","{3,2}",a
"If the ratio of two numbers is 3 : 4 and their HCF is 3, what is LCM of the two numbers?",দুটি সংখ্যার অনুপাত 3:4। এদের গ.সা.গু 3 হলে সংখ্যা দুইটির ল.সা.গু কত?,4,9,12,36,4,9,12,36,d
"If \frac{x}{y} = \frac{2}{3}, what is the value of \frac{6x + y}{3x + 2y}?","যদি \frac{x}{y} = \frac{2}{3} হয়, তবে \frac{6x + y}{3x + 2y} এর মান কত?",\frac{4}{5},\frac{14}{15},\frac{5}{4},\frac{20}{13},\frac{4}{5},\frac{14}{15},\frac{5}{4},\frac{20}{13},c
"If p^{2} = 13 + \sqrt{168}, which one is the value of \frac{1}{P}?","p^{2} = 13 + \sqrt{168} হলে, \frac{1}{P} এর মান কোনটি?",\sqrt{13} + 42,\sqrt{7} + \sqrt{6},\sqrt{13} - 42,\sqrt{7} - \sqrt{6},\sqrt{13} + 42,\sqrt{7} + \sqrt{6},\sqrt{13} - 42,\sqrt{7} - \sqrt{6},d
"If the height of a minar is 60\sqrt{3} metre and the length of its shadow is 60 metre, what is its angle of depression?",একটি মিনারের উচ্চতা 60\sqrt{3} মিটার এবং এর ছায়ার দৈর্ঘ্য 60 মিটার হলে অবনতি কোণ কত?,90\degree,60\degree,45\degree,30\degree,90\degree,60\degree,45\degree,30\degree,b
What is the value of \frac{1 - \tan^{2}60\degree}{1 + \tan^{2}60\degree} + \sin^{2}30\degree?,\frac{1 - \tan^{2}60\degree}{1 + \tan^{2}60\degree} + \sin^{2}30\degree এর মান কত?,\frac{1}{2},\frac{1}{4},-\frac{1}{2},-\frac{1}{4},\frac{1}{2},\frac{1}{4},-\frac{1}{2},-\frac{1}{4},d
"If \triangle{ABC} and \triangle{DEF}, \frac{AB}{DE} = \frac{AC}{DF} = \frac{BC}{EF} then-",\triangle{ABC} ও \triangle{DEF} এর \frac{AB}{DE} = \frac{AC}{DF} = \frac{BC}{EF} হলে-,\angle A = \angle E,\angle A = \angle B,\angle A = \angle F,\angle A = \angle D,\angle A = \angle E,\angle A = \angle B,\angle A = \angle F,\angle A = \angle D,d
"If \cosec A - \cot A = \frac{1}{x}, then \cosec A + \cot A = ?","\cosec A - \cot A = \frac{1}{x} হলে, \cosec A + \cot A = কত?",-\frac{1}{x},\frac{1}{x},x,\frac{x^{2} +1}{x},-\frac{1}{x},\frac{1}{x},x,\frac{x^{2} +1}{x},c
What is the characteristic of the common \log of 0.0035?,0.0035 এর সাধারণ লগের পূর্ণক কত?,3,1,\bar{2},\bar{3},3,1,\bar{2},\bar{3},d
How many number of lines of symmetry has a circle?,বৃত্তের ঘূর্ণন প্রতিসমতার মাত্রা কত?,0,1,2,Unlimited,0,1,2,অসীম,d
If \tan A = \frac{4}{3} then \sec A = ?,\tan A = \frac{4}{3} হলে \sec A = কত?,\frac{3}{5},\frac{5}{3},\frac{3}{4},\frac{4}{5},\frac{3}{5},\frac{5}{3},\frac{3}{4},\frac{4}{5},b
2 + 3 + 4 + ..... + 50 = ?,2+3+4+…..+50= কত?,1274,1275,1325,2548,1274,1275,1025,2548,a
"2x + y = 8 and 3x - 2y = 5 are two equation, (x, y) = ?","2x + y = 8 এবং 3x - 2y = 5 দুটি সমীকরণ (x, y) = ?","(2, 7)","(7, 2)","(2, 3)","(3, 2)","(2, 7)","(7, 2)","(2, 3)","(3, 2)",d
"If the length of a rectangle is increased by 10% and the breadth is decreased by 10%, then what is the percentage of increase or decrease of the area of the rectangle?",একটি আয়তক্ষেত্রের দৈর্ঘ্য 10% বৃদ্ধি এবং প্রস্থ 10% হ্রাস পেলে আয়তক্ষেত্রের ক্ষেত্রফল শতকরা কত বৃদ্ধি বা হ্রাস পাবে?,1% decreased,1% increased,21% decreased,21% increased,1% হ্রাস,1% বৃদ্ধি,21% হ্রাস,21% বৃদ্ধি,a
0.2\dot{8} \times 42.\dot{1}\dot{8} = ?,0.2\dot{8} \times 42.\dot{1}\dot{8} = কত?,1.3\dot{5}\dot{3},12.1\dot{8}\dot{5},13.1\dot{2}\dot{3},12.2\dot{5}\dot{5},1.3\dot{5}\dot{3},12.1\dot{8}\dot{5},13.1\dot{2}\dot{3},12.2\dot{5}\dot{5},b
"If p and q is a integer, minimum what must be added to p^{2} + q^{2} so that the sum is a perfect square?",p ও q দুটি পূর্ণ সংখ্যা হলে p^{2} + q^{2} এর সাথে নিচের কোনটি যোগ করলে যোগফল একটি পূর্ণবর্গ সংখ্যা হবে?,-2pq,#NAME?,pq,4pq,- 2pq,#NAME?,pq,4pq,a
"x + 3y = 1 and 2x + 6y = 2 two equation are-
i. consistant
ii. mutually dependent
iii. has only unique solution
Which one is correct?","x + 3y= 1 ও 2x + 6y=2 সমীকরণদ্বয়- 
 i. সমঞ্জস
 ii. পরষ্পর নির্ভরশীল 
 iii. সমাধান আছে একটি? 
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
The distance of the centre to the vertex of a regular hexagon is 6m. What is the area of hexagon in square m?,একটি সুষম ষড়ভূজের কেন্দ্র থেকে কৌণিক বিন্দুর দূরত্ব 6 মি. হলে এর ক্ষেত্রফল কত বর্গমিটার?,108\sqrt{3},54\sqrt{3},27\sqrt{3},9\sqrt{3},108\sqrt{3},54\sqrt{3},27\sqrt{3},9\sqrt{3},b
"The area of a square, the area of the square drawn on its diagonal is-",কোনো বর্গেক্ষেত্রের ক্ষেত্রফল তার কর্ণের উপর অঙ্কিত বর্গক্ষেত্রের ক্ষেত্রফলের-,Half,Equal,Twice,Four times,অর্ধেক,সমান,দ্বিগুন,চারগুন,a
"For which value of the angle of depression, length of a stick and length of its shadow is equal?",অবনিত কোণের মান কত ডিগ্রি হলে ১টি খুঁটির দৈর্ঘ্য ও ছায়ার দৈর্ঘ্য সমান হবে?,30\degree,45\degree,60\degree,90\degree,30\degree,45\degree,60\degree,90\degree,b
The diameter of a circle is 26 cm. Then what is the rea of the circle is in square cm. (approx),একটি বৃত্তের ব্যাস 26 সে.মি হলে এর ক্ষেত্রফল কত বর্গ সে.মি. ?,2123.72,530.93,163.36,81.63,2123.72,530.93,163.36,81.68,b
The angle inscribed in a minor arc is-,কোন বৃত্তের উপচাপ অন্তলিখিত কোণ-,acute angle,right angle,obtuse angle,reflex angle,সূক্ষ্মকোণ,সমকোণ,স্থূলকোণ,প্রবৃদ্ধ কোণ,c
At least how many independent data are needen to draw a quadrilateral?,সর্বনিম্ন কয়টি উপাত্ত জানা থাকলে একটি নির্দিষ্ট চতুর্ভূজ অঙ্কন সম্ভব?,6,5,4,3,6,5,4,3,b
What is the volume of a cube which sides is 1 cm?,1 সে.মি. ধারাবিশিষ্ট একটি ঘনকের আয়তন কত ঘন সে.মি.?,1,3,6,9,1,3,6,9,a
"How many proper subset of P = \{1, 3, 5, 7\}?","P= {1,3,5,7} সেটের প্রকৃত উপসেট সংখ্যা কত?",7,8,15,16,7,8,15,16,c
"If x = 2 + \sqrt{3}, then \frac{1}{x} = ?",যদি x + 2 + \sqrt{3} হয় তবে \frac{1}{x} =কত?,1,\frac{1}{2 - \sqrt{3}},2 - \sqrt{3},7 - 4\sqrt{3},1,\frac{1}{2-\sqrt{3}},2-\sqrt{3},7-4\sqrt{3},c
"If \log_{p} 324 = 4, what is the value of p?","\log_{p} 324 = 4 হলে, p = কত?",1,2\sqrt{3},3\sqrt{2},81,1,2\sqrt{3},3\sqrt{2},81,c
How many roots of the equation (x - 4)^{2} = 0 have?,(x - 4)^{2} = 0 সমীকরণের মূল কতটি?,1,2,3,4,1,2,3,4,b
64 + 32 + 16 +8 + ..... which is the 8th term of the series?,64 + 32 + 16 +8 + ..... ধারার অষ্টম পদ কত?,\frac{1}{2},\frac{1}{4},2,4,\frac{1}{2},\frac{1}{4},2,4,a
"x^{2} - \sqrt{3}x + 1 = 0
x + \frac{1}{x} = ?","x^{2} - \sqrt{3}x + 1 = 0
x + \frac{1}{x} = ?",-\sqrt{3},-3,\sqrt{3},3,-\sqrt{3},-3,\sqrt{3},3,c
"If x = \sqrt{3} + \sqrt{5}, lthen what is the value of \frac{1}{x}?","x = \sqrt{3} + \sqrt{5} হলে, \frac{1}{x} এর মান কত?",\frac{1}{2}(\sqrt{5} - \sqrt{3}),(\sqrt{3} - \sqrt{5}),(\sqrt{5} - \sqrt{3}),\frac{1}{2}(\sqrt{3} - \sqrt{5}),\frac{1}{2}(\sqrt{5} - \sqrt{3}),(\sqrt{3} - \sqrt{5}),(\sqrt{5} - \sqrt{3}),\frac{1}{2}(\sqrt{3} - \sqrt{5}),a
Which of the following is the factorized form of 2\sqrt{2}x^{3} + 125.,2\sqrt{2}x^{3} + 125 এর উৎপাদকে বিশ্লেষিত রূপ নিচের কোনটি?,(\sqrt{2}x + 5) (2x^{2} - 5\sqrt{2}x + 25),(\sqrt{2}x - 5) (2x^{2} + 5\sqrt{2}x + 25),(\sqrt{2}x + 5) (2x^{2} + 5\sqrt{2}x + 25),(\sqrt{2}x - 5) (2x^{2} - 5\sqrt{2}x + 25),(\sqrt{2}x + 5) (2x^{2} - 5\sqrt{2}x + 25),(\sqrt{2}x - 5) (2x^{2} + 5\sqrt{2}x + 25),(\sqrt{2}x + 5) (2x^{2} + 5\sqrt{2}x + 25),(\sqrt{2}x - 5) (2x^{2} - 5\sqrt{2}x + 25),a
"If (x + y)^{2} = \sqrt[3]{27} and xy = 0 then-
i. x^{2} + y^{2} = 3
ii. x - y = \sqrt{3}
iii. x^{3} + y^{3} = 3\sqrt{3}
Which one is correct?","(x + y)^{2} = \sqrt[3]{27} এবং xy = 0 হলে-
 i. x^{2} + y^{2} = 3
 ii. x - y = \sqrt{3}
 iii. x^{3} + y^{3} = 3\sqrt{3}
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the \log of 144 to the base 2\sqrt{3}?,144 এর 2\sqrt{3} ভিত্তিক \log কত?,4,2\sqrt{3},2,\sqrt{3},4,2\sqrt{3},2,\sqrt{3},a
What is the characteristics of common \log of the number 0.0000000037?,0.0000000037 এর সাধারণ log এর পূর্ণক কত?,\bar{11},\bar{10},\bar{9},\bar{8},\bar{11},\bar{10},\bar{9},\bar{8},c
