English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Where the value of 'g' is zero?,কোথায় G এর মান শুণ্য?,At polar region,At the equator,On earth surface,At the center of the earth,মেরু অঞ্চলে,বিষুবীয় অঞ্চলে,পৃথিবীর পৃষ্ঠে,পৃথিবীর কেন্দ্রে,d
Which vitamin helps in blood coagularion?,কোন ভিটামিন রক্ত জমাট বাঁধতে সাহায্য করে?,Vitamin e,Vitamin K,Vitamin D,Vitamin B,ভিটামিন এ,ভিটামিন কে,ভিটামিন বি,ভিটামিন ডি,b
Which is know as the connector of brin?,কোনটিকে মস্তিষ্কের যোজক বলা হয়?,Medulla,Pons,Cerebellum,Cerebrum,মেডুলা,পনস,সেরিবেলাম,সেরিব্রাম,b
By which one the reproduction of segun plant is occurred?,সেগুন উদ্ভিদের প্রজনন হয় কোনটির সাহয্যে?,Through root,Segmentation,Through stem,Through leaves,মূলের সাহায্যে,দেহেরে সাহায্যে,কান্ডের সাহায্যে,পাতার সাহায্যে,a
Which is the largest phylum is animal kingdom?,প্রাণিজগতের বৃহত্তপর্ব কোনটি?,Porifera,Mollusca,Arthropoda,Chordata,পরিফেরা,মলাস্কা,অর্থ্রোপোডা,কর্ডাটা,c
Which pollination occurs through wind?,বাতাসের মাধ্যমে কোনটির পরাগায়ন ঘটে?,Rice,Mustard,Shimul,Pumpkin,ধান,সরিষা,শিমুল,কুমড়া,a
What is the unit of resistance?,রোধের একক কী?,Ohm,Volt,Unit,Ampere,ওহম,ভোল্ট,ইউনিট,অ্যাম্পিয়ার,a
In which step the shape of the chromosomes as like English alphabet 'J' in mitosis cell division?,মাইটোসিসের কোনধারে ক্রোমোজোমগুলো ইংরেজি বর্ণমালা J এর মত হয়?,Prophsase,Metaphase,Anaphase,Telophase,প্রফেজ,মেটাফেজ,এনাফেজ,টেলোফেজ,c
The atomic number of an element is 17 and mas-number 35. What is the neuton number of the element,একটি মৌলের পারমাণবিক সংখ্যা ১৭ এবং ভরসংখ্যা ৩৫। এই মৌলের নিউট্রন সংখ্যা কত?,15,16,17,18,15,16,17,18,d
Which one is responsible for falling mango,আম ঝড়ে পড়ার জন্য দায়ী কোনটি?,Auxin,Gibberellins,Ethylene,Cytokinins,অক্সিন,জিব্বেরেলিন,ইথিলিন,সাইটোকইনিন,c
Which one is rhizome?,নিচের কোনটি রাইজোম,Potato,Ginger,Garlic,Arum,আলু,আদা,রসুন,কচু,b
What is the mass of an astronaut in th Moon when the mass of this astronaut is 70 kg on earh,৭০ কেজি ভরের একজন মহাশূন্যচারীর চাঁদে ভর কত হবে?,11.67 kg,70 kg,420 kg,686 kg,১১.৬৭ কেজি,৭০ কেজি,৪২০ কেজি,৬৮৬ কেজি,b
"Age of fossil can be know-
 i. by observing the decay of isotope 
 ii. By observing the decay of fossil 
 from the ratio of stable and non-stsble isotope
 Which one is correct?","ফসিলের বয়স জানা যায়- 
 i. আইসোটোপের ক্ষয় দেখে 
 ii. ফসিলের ক্ষয় দেখে 
 iii. স্থায়ী ও অস্থায়ী আইসোটোপের অনুপাত থেকে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which on is positive compound?,কোনটি ধনাত্মক যৌগমূলক?,Sulphate,Carbonate,Phosphate,Ammonium,সালফেট,কার্বনেট,ফসফেট,অ্যামোনিয়ামম,d
"The reason for birds fly-
 i. having air sac 
 ii. For the front legs are converted into wings 
 iii. For bones are strong and hollow
 Which one is correct?","পাখিরা উড়তে পারে কারণ-
 i. বায়ুথলি আছে 
 ii. সামনের পা ডানায় রূপান্তরিত হয় 
 iii. হাড় শক্ত ও ফাঁপা 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which disease occur for not eating lemon like fruits?,লেবুজাতীয় ফল না খাওয়ার ফলে কোন রোগটি হয়?,Scurvy,Rickets,Merasmus,K washiorkor,স্কার্ভি,রিকেটস,ম্যারাসমস,কোয়াশিয়রকর,a
The value of 'g' is greater in-,G এর মান সবচেয়ে বেশি-,Pole region,Equatorial region,Tropical region,Center of the Earth,মেরু অঞ্চলে,বিষুবীয় অঞ্চলে,ক্রাস্তীয় অঞ্চলে,পৃথিবীর কেন্দ্রে,a
Which is the structure element of our body?,আমাদের দেহের গঠন উপাদান কোনটি?,Protein,Carbohydrates,Fat,Vitamis,আমিষ,শর্করা,স্নেহ,ভিটামিন,a
How many satellites Saturn has,শনির উপগ্রহ কয়টি?,63,34,27,13,63,34,27,13,*
"NaOH+ HCI \rightarrow X+ H_{2}O
 In this reaction the 'X' compound is-",NaOH + HCI \rightarrow  X+ H_{2}O বিক্রিয়ার 'X' যৌগটি-,Acid,Base,Salt,Alkali,এসিড,ক্ষার,লবণ,ক্ষারক,c
Which phyum does obelia belong to,obelia কোন পর্বের প্রাণী?,Cnidaria,Platyhelminthes,Nematoda,Annelida,নিডারিয়া,প্লাটিহেলমিনথেস,নেমাটোডা,অ্যানিলিডা,a
What is the valencly of Aluminium?,অ্যালুমিনিয়ামের যোজনী কত?,1,2,3,4,1,2,3,4,c
What percentage of sunlight is used by green plants in the photosynthesis process?,সূর্যের আলোর শতকরা কতভাগ সবুজ উদ্ভিদ সালোকসংশ্লেষণে কাজে লাগায়?,1,2,3,4,1,2,3,4,b
Which maintains the moisture of the leaves?,পাতার আর্দ্রতা বজায় রাখে কোনটি?,Transpiration,Diffussion,Osmosis,Absorption,প্রস্বেদন,ব্যাপন,অভিস্রবন,শোষণ,a
How manyh paris of chromosomes are there in the human body?,মানবদেহে কত জোড়া ক্রোমোজোম থাকে?,22,23,24,25,22,23,24,25,b
The main element of making soap is-,সাবান তৈরির মূল উপাদান,acid,alkali,satl,glycerlin,এসিড,ক্ষারক,লবণ,গ্লিসারিন,b
The front part of the selera is called-,শ্বেতমন্ডলের সামনের অংশকে বলে-,cornea,iris,pupil,retina,কর্ণিয়া,আইরিশ,পিউপিল,রেটিনা,a
"There is 8 protons and 8 neutrons in an atom oif an element. 
 What is the name of the element?","কোন মৌলের একটি পরমাণুতে ৮টি প্রোটন ও ৮টি নিউট্রন আছে। 
 মৌলটির নাম কী?",Nitrogen,Oxygen,Fluorine,Chlorine,নাইট্রোজেন,অক্সিজেন,ফ্লোরিন,ক্লোরিন,b
"There is 8 protons and 8 neutrons in an atom oif an element. 
 What is the mass-number of the element?","কোন মৌলের একটি পরমাণুতে ৮টি প্রোটন ও ৮টি নিউট্রন আছে।
মৌলটির ভরসংখ্যা কত?",8,16,0,18,8,16,0,18,b
Which helps to clot blood?,রক্ত জমাট বাঁধতে সাহায্য করে কোনটি?,Vitamin A,Vitamin C,Vitamin B,Vitamin K,ভিটামিন এ,ভিটামিন সি,ভিটামিন বি,ভিটামিন কে,d
"The satellite included in artificial satellite is-
 i. weather satellite 
 ii. Military satellite 
 iii. Navigation satellite
 Which one is correct?","কৃত্রিম উপগ্রহের অন্তর্ভূক্ত উপগ্রহগুলো- 
 i. আবহাওয়া উপগ্রহ 
 ii. সামরিক উপগ্রহ 
 iii. নৌ পরিবহন উপগ্রহ 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"Mr. Karim has fruit shop. He uses one kind of chemical to ripen green fruits. 
 What is the name of the chemical?","করিম সাহেবের ফলের দোকান আছে। তিনি কাঁচা ফলগুলো পাকাতে এক ধরনের রাসায়নিক পদার্থ ব্যবহার করনে। 
 রাসায়নিক পদার্থটির নাম কি?",Auxin,Ethylene,Gibberellins,Abscisic Acid,অক্সিন,ইথিলিন,জিব্বেরেলিন,অ্যাবসাইসিক এসিড,b
"Mr. Karim has fruit shop. He uses one kind of chemical to ripen green fruits.
 The characteristic of this chemical is-
 i. root grow up in cutting
 ii. Found in leaves and roots
 iii. Seedling gives rise to the stem of the tree
 Which one is correct?","করিম সাহেবের ফলের দোকান আছে। তিনি কাঁচা ফলগুলো পাকাতে এক ধরনের রাসায়নিক পদার্থ ব্যবহার করনে।
উক্ত রাসায়নিক পদাথের বৈশিষ্ট্য-
 i. শাখা কলমে মূল গজায়
 ii. পাতা ও মূলে দেখা যায়
 iii. চারা গাছের কান্ডের বৃদ্ধি ঘটায় 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which one belongs to platyhelminthes phylum?,কোনটি প্লাটিহেলমিনথেস পর্বের প্রাণী?,Tape worm,Round worm,Earth worm,Leech,ফিতাকৃমি,গোলকৃমি,কেঁচো,জোঁক,a
What is peperomia?,পেপারেমিয়া কীসের নাম?,A plant,A disease,A mdecine,An animal,গাছের,রোগের,ঔষধের,প্রাণীর,a
"Plant absorbs mineral slta from soil-
 i. By inactive absorption 
 ii. By active absorption 
 iii. By the absorption of water 
 Which one of following is correct?","মাটি থেকে উদ্ভিদের খনিজ লবণ শোষণ সম্পন্ন হয়-
 i. নিষ্কিয় শোষণের মাধ্যমে 
 ii. সক্রিয় শোষণের মাধ্যমে
 iii. পানি শোষণের মাধ্যমে 
 নিচের কোনটি সঠিক",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"CuCO_{3}\xrightarrow[]{heat}A+CO_{2}
 In the 'A' marked position of the equation there is-","CuCO_{3}\xrightarrow[]{তাপ}A+CO_{2}
 সমীকরণের A চিহ্নিত স্থানে বসবে-",Cu,O_{2},Cu_{2}O,CuO,Cu,O_{2},Cu_{2}O,CuO,d
"CucO3-A+CO2
 What type of stem's rection is?","CuCO_{3}\xrightarrow[]{তাপ}A+CO_{2}
উদ্দীপকের বিক্রিয়াটি কোন ধরনের?",Addition,Decomposition,Substitution,Combustion,সংযোজন,বিয়োজন,প্রতিস্থাপন,দহন,b
How many types of nucleic acid are there?,নিউক্লিক এসিড কয় ধরনের,1,2,3,4,1,2,3,4,b
How many types of cell division are there in the animal body?,জীবদেহে কয় ধরনের কোষ বিভাজন দেখা যায়?,2,3,4,5,2,3,4,5,b
Form each eye an individual plant grows- Which one of the following is that plant?,প্রতিটি চোখ থেকে একটি স্বাধীন উদ্ভিদের জন্ম হয়। সেই উদ্ভিদ নিচের কোনটি?,Potato,Ginger,Pudina,Garlic,আলু,আদা,পুদিনা,রসুন,a
"Vegetative reproduction of plants means-
 i. reproduction by segmentation of plants 
 ii. reproduction through root
 iii. Reproduction by without reproductive cell
 Which one of following is correct?","উদ্ভিদের অঙ্গজ প্রজনন বলতে বুঝায়- 
 i. দেহের খন্ডায়নের সাহায্যে বংশবৃদ্ধি
 ii. মূলের সাহায্যে বংশবৃদ্ধি 
 iii. জনন কোষ ছাড়া বংশবৃদ্ধি",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
How many electron are there in the element oxygen?,অক্সিজেন মৌলটিতে ইলেকট্রন সংখ্যা কত?,2,6,8,16,2,6,8,16,c
The value of acceleration due to gravity 'g' is higher in_,অভিকর্ষজ ত্বরণ G এর মান সবচেয়ে বেশি-,equator region,polar region,at the center of the earth,at moon,বিষুব অঞ্চলে,মেরু অঞ্চলে,পৃথিবীর কেন্দ্রে,চাঁদে,b
"There is a larges phylum in the animal kingdom. In this phylum, they can survive everywhere on land, in fresh water and in brackish sea water. Many species of this phylum can fly with the help of wings. 
 Which characteristics of the following are observed in the above phylum?
 i. Body is segmented and joint appendages are present.
 ii. Body cavity filled with blood and is know as haemocoel
 iii. Body tubular and covered with thick skin
 Which one is correct?","প্রাণিজগতের সবচেয়ে বৃহত্তম একটি পর্ব আছে। যে পর্বে পৃথিবীর প্রায় সর্বত্র সকল পরিবেশে, স্থলে সাদু পানি ওসমুদ্রে বাস করে। এ পর্বের অনেক প্রজাতির প্রাণী ডানার সাহায্যে উড়তে পারে।
উক্ত পর্বে নিচের কোন কোন বৈশিষ্ট্যগুলো লক্ষ্য করা যায়? 
 i. দেহ বিভিন্ন অঞ্চলে বিভক্ত ও সন্ধিযুক্ত উপাঙ্গ বিদ্যমান 
 ii. দেহের রক্তপূর্ণ গহ্বর হিমোসিলা নামে পরিচিত
 iii. দেহ নলাকার ও পুরু ত্বক দ্বারা আবৃত
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one of the followings is termed as the facroty of urine production?,নিচের কোনটিকে মূত্র তৈরিরি কারখানা হিসেবে অভিহিত করা যায়?,Lung,Skin,Liver,Kidney,ফুসফুস,ত্বক,যকৃত,বৃত্ত,d
"In the Newton law of gravitation-
 i. every particle in the unverse attracts each other
 ii. The force of attraction is proportional to the product of their masses 
 iii. The force of attraction is proportional to the square of the distance between them
 Which one is correct?","নিউটনের মহাকর্ষ সূত্রের ক্ষেত্রে- 
 i. মহাবিশ্বের প্রতিটি বস্তুকণা একে অপরকে নিজের দিকে আকর্ষণ করে
 ii. আকর্ষণ বলের মান বস্তুকণাদ্বয়ের ভরের গুণফলে সমানুপাতিক 
 iii. আকর্ষণ বলের মান বস্তুর দূরত্বের বর্গের সমানুপাতিক
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
In the burning of candle what type of energy is transformed?,মোম প্রজ্বলনে কোন শক্তির পরিবর্তন ঘটে?,Electric energy,Light energy,Heat energy,Chemical energy,বিদ্যুৎশক্তি,আলোকশক্তি,তাপশক্তি,রাসায়নিক শক্তি,d
What is the international unit of mass?,আন্তর্জাতিক পদ্ধতিতে ভরের একক কোনটি?,Centigram,Kg,Quintal,Gram,সেন্টিগ্রাম,কেজি,কুইন্টাল,গ্রাম,b
How many electrons are there in the outemost orbit of sodium atom?,সোডিয়াম পরমাণুর সর্বশেষ শক্তিস্তরে কয়টি ইলেকট্রন থাকে?,1,2,8,11,1,2,8,11,a
Which one is fleshy fruits?,কোনটি রসাল ফল?,Bean,Lady's finger,Mango,Mustard,শিম,ঢেঁড়স,আম,সরিষা,c
Which one of the following is formula of vinegar?,ভিনেগারের সংকেত নিচের কোনটি?,HOOC-COOH,H_{2}SO_{4},HCI,CH_3COOH,HOOC-COOH,H_{2}SO_{4},HCI,CH_{3}COOH,d
"Hydrogen+Oxygen\rightarrow Water. 
 i. Addition reaction 
 ii. Combustion reaction
 iii. Substitution reaction
 Which one is correct?","হাইড্রোজেন+ অক্সিজেন \rightarrow  পানি--
 i. সংযোজন বিক্রিয়া 
 ii. দহন বিক্রিয়া 
 iii. প্রতিস্থাপন বিক্রিয়া
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"For the deficiency of which vitamin, night blindness disease is occurred?",কোন ভিটামিনের অভাবে রাতকানা রোগ হয়?,C,D,A,E,সি,ডি,এ,ই,c
"Which hormone is presen in fruits, flowers, seeds, leaves and roots?","ফল, ফুল, বীজ, পাতা ও মূলে কোনহরমোনটি দেখা যায়?",Auxin,Gibberellin,Ethylene,Cytokinins,অক্সিন,জিব্বেরেলিন,ইথিলিন,সাইটোকইনিন,c
"Moni is playing cricket at the roof of a bilding suddenly, the bat of mass 2000 gram is falling down from his hand. 
 What is the weight of Moni's bat?"," দালানের ছাদে মণি ক্রিকেট খেলছিল। এক পর্যায়ে ২০০ গ্রাম ভরের ব্যাটটি হাত থেকে নিচে পড়ে গেল। 
 মণির ব্যাটের ওজন কত?",19.6 Newton,20.41 Newton,196 Newton,19600 Newton,19-6 নিউটন,20-41 নিউটন,196 নিউটন,19600 নিউটন,a
"Moni is playing cricket at the roof of a bilding suddenly, the bat of mass 2000 gram is falling down from his hand. 
 The above phenomenon occurred-
 i. due to acceleration due to gravity
 ii. Due to gravitational force 
 iii. Due to the attracton of earth
 Which one of following is correct?","দালানের ছাদে মণি ক্রিকেট খেলছিল। এক পর্যায়ে ২০০ গ্রাম ভরের ব্যাটটি হাত থেকে নিচে পড়ে গেল।
উল্লিখিত ঘটনাটি- 
 i. অভিকর্ষজ ত্বরণের কারণে
 ii. মহাকর্ষ বলের কারণে
 iii. পৃথিবীর আকর্ষণের কারণে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Actually what is Sclera?,চোখের শ্বেতমন্ডল মূলত কী?,Cornea,Light sensitive membrance,Circular hole,Opaque covering,কর্ণিয়া,আলোকগ্রাহী পর্দা,গোলাকার ছিদ্রপথ,অস্বচ্ছ আবরণ,d
In the body of which animal is there cell with characteristies named Cnidoblast?,কোন প্রানীর দেহে নিডোব্লাস্ট নামক বৈশিষ্ট্যপূর্ণ কোষ থাকে?,Hydra,Scypha,Mussels,Cockroach,হাইড্রা,স্কাইফা,ঝিনুক,আরশোলা,a
What happens if swelled dry grapes are kept in honey?,পানিতে ডুবানো ফুলে যাওয়া কিসমিস মধুতে রাখলে কী ঘটে?,Diffusion,Osmosis,Transpiration,Imbibition,ব্যাপন,অভিস্রবণ,প্রস্বেদন,ইমবাইবিশন,b
which step of mitosis cell division is transitory?,মাইটোসিস কোষ বিভাজনের কোন ধাপটি স্বল্পস্থায়ী?,Prophase,Anaphase,Metaphasc,Pro-metaphase,প্রোফেজ,এনাফেজ,মেটাফেজ,প্রো- মেটাফেজ,d
When a ray of light enters to wind medium from glass medium if the angle of incidence is 32 the refraton ray goes through the surface of separation medium. In this case whate is the refraction anlge?,আলো কাচ থেকে বায়ু মাধ্যমে যাওয়ার সময় আপতন কোণ ৩২^{\circ} হলে প্রতিসরিত রশ্নিটি মাধ্যমের বিভেদতল বরাবর যায়। এক্ষেত্রে প্রতিসরণ কোণের মান কত?,0^{\circ},32^{\circ},90^{\circ},180^{\circ},০^{\circ},৩২^{\circ},৯০^{\circ},১৮০^{\circ},c
Which hormone helps to heal wonds of plants?,উদ্ভিদের ক্ষতস্থান পূরণে সাহায্য করে কোন হরমোন?,Florigen,Ethylinc,Gibberellin,Indole acitic acid,ফ্লোরিজেন,ইথিলিন,জিব্বেরেলিন,ইন্ডোল অ্যাসেটিক এসিড,d
"There are fish, meat and milk in the daily food chart of Sabu. But there is no vegetables and coloured fruits.
 With which disease can Sabu be affected because of absent elements in his food chart?","সাবুর প্রতিদিন খাদ্য তালিকায় মাছ, মাংস ও দুধ থাকে। কিন্তু শাকসবজি ও রঙিন ফলমুল থাকে না। 
খাদ্য তালিকায় অনুপস্থি উপাদানগুলোর অভাবে সাবুর কোন রোগটি হতে পারে?",Scurvy,Rickets,Cretinism,Night Blindness,স্কার্ভি,রিকেটস,ক্লোটিনিজম,রাতকানা,d
"There are fish, meat and milk in the daily food chart of Sabu. But there is no vegetables and coloured fruits.
 The foods in Sabu's food chart-
 i. helps to body building 
 ii. Helps to produce energy 
 iii. Repairs the body
 Which on is correct?","সাবুর প্রতিদিন খাদ্য তালিকায় মাছ, মাংস ও দুধ থাকে। কিন্তু শাকসবজি ও রঙিন ফলমুল থাকে না।
সাবুর খাদ্য তালিকায় খাবারগুলো- 
 i. দেহ গঠনে সাহায্য করে
 ii. শক্তি উৎপাদনে সাহায্য করে
 iii. দেহের ক্ষয়পূরণ করে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What type of scales is found in the bodyof hammer fish?,হাতুড়ি মাছের দেহে কোন ধরনের আইশ থাকে?,Cycloid,Ganoid,Placoid,Ctenoid,সাইক্লোয়েড,গ্যানয়েড,প্লাকয়েড,টিনয়েড,c
"CaO+ 2HCI\rightarrow \fbox{x}  + H_{2}O
 What is the compound X in the rection?",CaO+ 2HCI\rightarrow  \fbox{x}  + H_{2}O বিক্রিয়াটিতে X যৌগটি কী?,Base,Acid,Alkail,Salt,ক্ষার,এসিড,ক্ষারক,লবণ,d
Which of the following has its wons light?,কোনটির নিজস্ব আলো আছে?,Planet,star,Arificial satellite,Natural satellite,গ্রহ,নক্ষত্র,কৃত্রিম উপগ্রহ,প্রাকিৃতিকউপগ্রহ,b
"As a result of osmosis-
 i. cell sap of plant increase 
 ii. Petal of flowers closes or opens
 iii. Keeps stem and leaves fresh
 Which one of the following is correct?","অভিস্রবণের ফলে -
 i. উদ্ভিদ কোষের রসস্ফীতি ঘটে
 ii. ফুলের পাপড়ি বন্ধ বা খুলতে পারে
 iii. কান্ড ও পাতা সতেজ থাকে
 নিচের কোনটি সঠিক",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
The reproduction of which occurs through offset?,কোনটির প্রজনন অফসেটের মাধ্যমে হয়?,Spirodela,Minite,Onion,Guava,টোপাপানা,পুদিনা,পিঁয়াজ,পেয়ারা,a
"If the wighte of an object in the south pole is 49.15 Newton, What would its mass be?",দক্ষিণ মেরুতে কোন বস্তুর ওজন ৪৯.১৫ নিউটন হলে এর ভর কত?,5kg,9.78 kg,9.79 kg,9.80 kg,৫ কেজি,৯.৭৮ কেজি,৯.৭৯ কেজি,৯.৮০ কেজি,a
In which region of the rarth the value of acceleration due to gravity is 9.78m/sec^{2}?,পৃথিবীর কোন অঞ্চলে অভিকর্ষজ ত্বরণের মান৯.৭৮ মিটার/সেকেন্ড^{2} ?,in the polar region,In the eqator region,Tropical region,On the surface of the earth,মেরু অঞ্চলে,বিষুবীয় অঞ্চলে,ক্রাস্তীয় অঞ্চলে,পৃথিবীর পৃষ্ঠে,b
"S+O_{2}\xrightarrow[]{heat}X 
 Of what type is the reaction shown in thestem?","S+O_{2}\xrightarrow[]{তাপ}X
 উদ্দীপকের সংঘটিত বিক্রিয়াটি কোন ধরনের?",Decomposition reaction,Combustion reaction,Neutralization reaction,Substitution reaction,বিয়োজন বিক্রিয়া,দহন বিক্রিয়া,প্রশমন বিক্রিয়া,প্রতিস্থাপন বিক্রিয়া,b
"S+O_{2}\xrightarrow[]{heat}X 
 The X compound mentiond in the stem is-
 i. liquid
 ii. Having pungent fragrance 
 iii. Produced by direct contact of sulphur and xoygen
 Which one is correct?","S+O_{2}\xrightarrow[]{তাপ}X
উদ্দীপকের X যৌগটি- 
 i. তরল 
 ii. ঝাঝালো গন্ধবিশিষ্ট
 iii. সালফার ও অক্সিজেনের প্রত্যক্ষ সংযোগে উৎপন্ন হয়
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
At which phase of mitosis cell division do half of the chromosome go towards northern polar region and the other half go towards southern ploar region and the other half go towards southern polar region?,মাইটোসিস কোষ বিভাজনের কোন ধাপে ক্রোমোজোমের অর্ধেক উত্তর মেরুর দিকে এবং অর্ধেক দক্ষিণ মেরুর দিকে গমন করে?,Prophase,Metaphase,Anaphase,Teloplase,প্রোফেজ,মেটাফেজ,অ্যানাফেজ,টেলোফেজ,c
Which molecule has more than one valency?,কোন মৌলের একাধিক যোজনী আছে?,Calcium Hydroxide,Silver,Florne,Led,ম্যাগনেসিয়াম,সিলভার,ফ্লোরিন,লেড,d
