Which one of the following solutions has the highest pH-value?,নিচের কোন দ্রবণের pH মান সবচেয়ে বেশি?,10-2 M HCI,5×10-2 M H2SO4,10-1MNaOH,10-4 M Na2CO3,10^{-2} M HCl,5\times 10^{-2}} M H_{2}SO_{4},10^{-1}M NaOH,10^{-4}M Na_{2}CO_{3},c
"Which one of the following periodic properties shows exception in
case of Nitrogen and oxygen?",নাইট্রোজেন ও অক্সিজেনের ক্ষেত্রে কোন পর্যায়বৃত্ত ধর্মের ব্যতিক্রম দেখা যায়?,electron affinity,Ionization energy,Electronegativity,Atomic radius,ইলেকট্রন আসক্তি,আয়নিকরণ শক্তি,র্,পারমাণবিক ব্যাসার্ধ,b
In which case K_{p} is greater than K_{c}?,নিম্নে্নের কোন বিক্রিয়ায় K_{p} > K_{c}?,\frac{1}{2}H_{2}(g)+\frac{1}{2}I_{2}(g)\rightleftharpoons HI(g),\frac{1}{2}N_{2}(g)+\frac{3}{2}H_{2}(g)\rightleftharpoons NH_{3}(g),PCl_{5}(g)\rightleftharpoons PCl_{3}(g)+Cl_{2}(g),2SO_{2}(g)+O_{2}(g)\rightleftharpoons 2SO_{3}(g),\frac{1}{2}H_{2}(g)+\frac{1}{2}I_{2}(g)\rightleftharpoons HI(g),\frac{1}{2}N_{2}(g)+\frac{3}{2}H_{2}(g)\rightleftharpoons NH_{3}(g),PCl_{5}(g)\rightleftharpoons PCl_{3}(g)+Cl_{2}(g),2SO_{2}(g)+O_{2}(g)\rightleftharpoons 2SO_{3}(g),c
Which orbital is possible?,নিচের কোন অরবিটালটি সম্ভব?,1p,4s,3f,2d,1p,4s,3f,2d,b
"Which ion/ions have the number of electrons equal to that of argon atom?
i. Ca^{2+}   ii. Al^{3+}
iii. CI^{-}
Which one is correct?","নিচের কোন আয়ন/আয়নগুলোর ইলেকট্রন সংখ্যা আর্গন পরমাণুর ইলেকট্রন সংখ্যার সমান?
 i. Ca^{2+}
 ii. Al^{3+}
 iii. Cl^{-}
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Which orbital takes part pie orbital formation?,নিচের কোন অরবিটালটিি পাই বন্ধন গঠনে অংশগ্রহণ করে?,s-orbital,p-orbital,d-orbital,f-orbital,s-অরবিটাল,p-অরবিটাল,d-অরবিটাল,f-অরবিটাল,b
Which one of the following has the least electro-negativity?,নিচের কোনটির তড়িৎ ঋণাত্মকতা সবচেয়ে কম?,He,C,O,F,He,C,O,F,a
Which salt is solble in water?,নিচের কোন লবণটি পানিতে দ্রবীভূত হয়?,AgF,AgCI,AgBr,AgI,AgF,AgCl,AgBr,AgI,a
Which one of the following cation can polarizw on anion most?,নিচের কোন ধনাত্মক আয়নটি ঋণাত্মক আয়নের বেশি পোলারায়ন ঘটাতে পারে?,Na^{+},Mg^{2+},Fe^{2+},Al^{3+},Na^{+},Mg^{2+},Fe^{2+},Al^{3+},d
"sp^{3} hybridization occurs in-
i. CH_{4}        ii. NH_{3}
iii. H_{2}O
Which one is correct?","sp^{3} সংকরণ সংঘটিত হয়-
 i. CH_{4}-এ
 ii. NH_{3}-এ
 iii. H_{2}O-এ
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which one is the conjugate acid of HSO_{4}^{-}?,নিচের কোনটি HSO_{4}^{-} এর অনুবন্ধী অম্ল?,SO_{4}^{-2},SO_{3}^{2-},H_{2}SO_{3},H_{2}SO_{4},SO_{4}^{2-},SO_{3}^{2-},H_{2}SO_{3},H_{2}SO_{4},d
Which process is exothermic?,নিচের কোন পদ্ধতিটি তাপোৎপাদী?,Condensation,Bond dissociation,Melting,Evaporation,ঘনীভবন,বন্ধন বিভাজন,গলন,বাষ্পীভবন,a
"Catalyst-
i.increases the rate of reaction
ii.decreases the rate of reaction
iii.helps attain equilibrium faster
Which one is correct?","অনুঘটক-
 i. বিক্রিয়ার গতি বাড়ায়
 ii. বিক্রিয়ার গতি কমায়
 iii. দ্রততর সাম্যাবস্থায় নিয়ে আসে
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
What is pH of 1% HCI solution?,1% HCl দ্রবণের pH কত?,0.56,2,2.5,5.6,0.56,2,2.5,5.6,a
Which one is not acidic buffer?,কোনটি অম্লীয় বাফার নয়?,H_{3}PO_{4}^{-}+Na_{2}HPO_{4},HS^{-}+Na_{s}2,CO_{3}^{2-}+HCO_{3}^{-},CH_{3}COOH+CH_{3}COONa,H_{3}PO_{4}^{-}+Na_{2}HPO_{4},HS^{-}+Na_{2}S,CO_{3}^{2-}+HCO_{3}^{-},CH_{3}COOH+CH_{3}COONa,c
"The bonds resent in H_{3}N-BF_{3} are-
i. ionic bond
ii. covalent bond
iii. coordinate covalent bond
which one is correct?","H_{3}N ও BF_{3}-এ যে বন্ধনগুলো বর্তমান-
 i. আয়নিক বন্ধন
 ii. সমযোজী বন্ধন
 iii. সন্নিবেশ সমযোজী বন্ধন
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"Vinegar related information-
i. its pH 4.74 prevents bacteria growth
ii. vegetables can be preserved by pickling
iii. makes protein dissociation easy
Which one is correct?","ভিনেগার সংশ্লিষ্ট তথ্যসমূহ হলো-
 i. এর pH 4.74 ব্যাকটেরিয়া বৃদ্ধিতে বাধা দেয়
 ii. পিকলিং প্রকিয়ায় সবজি সংরক্ষণ সম্ভব
 iii. প্রোটিনের বিয়োজন সহজ করে
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is pH of 1% NaOH solution?,1% NaOH দ্রবণের pH কত?,0.8,13.4,13.2,1,0.8,13.4,13.2,1,b
"Vineger is-
i. 6-10% acetic acid
ii. used as preservative
iii. Strong acid
Which one is correct?","ভিনেগার-
 i. 6-10% অ্যাসিটিক এসিড
 ii. খাদ্য সংরক্ষক হিসেবে ব্যবহৃত হয়
 iii. শক্তিশালী এসিড
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"Polarization depends on-
i.size of cation
ii.soize of anion
iii.charge of cation and anion
which one is correct?","পোলারায়ন নির্ভর করে-
 i. ক্যাটায়নের আকারের উপর
 ii. অ্যানায়নের আকারের উপর
 iii. ক্যাটায়ন ও অ্যানায়নের চার্জ বা আধানের উপর
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which one has the largest wavelength range in eletromagnetic spectrum,ইলেক্ট্রোম্যাগনেটিক বর্ণালিতে নিচের কোনটির তরঙ্গদৈর্ঘ্য দীর্ঘ?,UV-ray,TV-ray,IR-ray,X-ray,UV-রশ্মি,TV-রশ্মি,IR-রশ্মি,X-রশ্মি,b
"What is the orbital,when 1=2 and n=3?",যখন l = 2 এবং n = 3 কোন অরবিটালটি সঠিক?,2d,3p,3d,3f,2d,3p,3d,3f,c
On which criteria the strength of Hydracids depend on?,হাইড্রাসিডসমূহের তীব্রতা নির্ভর করে কোনটির উপর?,Size of anion,Size of cation,"Oxidation number 
of central atom","Charge density of 
central atom",অ্যানায়নের আকার,ক্যাটায়নের আকার,কেন্দ্রীয় পরমাণুর জারণ সংখ্যা,কেন্দ্রীয় পরমাণুর চার্জ ঘনত্ব,a
"A+Ba(NO_{3})_{2}\rightarrow white precipitate \xrightarrow[]{HCl} insoluble; which radical is present in'A'
compound?",A+Ba(NO_{3})_{2}\rightarrow সাদা অধঃক্ষেপ \xrightarrow[]{HCl} অদ্রবণীয়; 'A' যৌগে নিচের কোন মূলকটি বিদ্যমান?,CO_{3}^{2-},CI^{-},NH_{4}^{+},SO_{4}^{2-},CO_{3}^{2-},Cl^{-},NH_{4}^{+},SO_{4}^{2-},d
Which of the following is used in crystalyzation of pure table salt?,বিশুদ্ধ খাদ্য লবণের কেলাসনে নিম্নের কোনটি ব্যবহৃত হয়?,NH_{4}CI,HCI,BaCI_{2},H_{2}SO_{4},NH_{4}Cl,HCl,BaCl_{2},H_{2}SO_{4},b
Which relation is correct by consideribg size?,আকারের ক্ষেত্রে কোন সম্পর্কটি সঠিক?,Na>Na^{+},F>F^{-},AI^{3+}>Mg^{2+},O>O^{2-},Na > Na^{+},F > F^{-},Al^{3+} > Mg^{2+},O > O^{2-},a
"Melting point of metal increases ,when-
i.more electrons exist in metal lattice
ii.ionization potential decreases
iii.size of atoms become smaller
Which one is correct?","ধাতুর গলনাঙ্ক বৃদ্ধি পায়, যখন-
 i. ধাতব কেলাসে মুক্ত ইলেকট্রন বেশি থাকে
 ii. আয়নিকরণ বিভব হ্রাস পায়
 iii. পরমাণুর আকার ক্ষুদ্র হয়
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
"What is the relation between degree of dissociation and concentration 
of weak electrolyte?",মৃদু তড়িৎবিশ্লেষ্যের বিয়োজন মাত্রা ও গণমাত্রার মধ্যে সম্পর্ক কী?,"Degree of dissociation
is proportional to concentration","Degree of dissociation
is proportional to the square root of concentration","Degree of dissociation is 
inversely proportional to concentration","Degree of dissociation
is inversely proportional to the square root of concentration",বিয়োজন মাত্রা ঘনমাত্রার সমানুপাতিক,বিয়োজন মাত্রা ঘনমাত্রার বর্গমূলের সমানুপাতিক,বিয়োজন মাত্রা ঘনমাত্রার ব্যস্তানুপাতিক,বিয়োজন মাত্রা ঘনমাত্রার বর্গমূল্যের ব্যাস্তনুপাতিক,d
Which one will act as a buffer solution?,নিচের কোনটি বাফার দ্রবণ হিসেবে কাজ করবে?,HF(aq)+NaF,CH_{3}COOH + CH_{3}COONa,HCOOH+CH_{3}COONa,NH_{4}OH+(NH_{4})_{2}CO_{3},HF(aq) + NaF,CH_{3}COOH + CH_{3}COONa,HCOOH + CH_{3}COONa,NH_{4}OH + (NH_{4})_{2}CO_{3},b
What is the characteristic of chemical equilibrium?,রাসায়নিক সাম্যবস্থার বৈশিষ্ট্য কোনটি?,"Completeness of
the reaction",Irreversibility of the reaction,"Effectiveness of 
catalyst","Stability of the
equilibrium",বিক্রিয়ার সমাপ্তি,বিক্রিয়ার একমুখীতা,প্রভাবকের প্রয়োজনীয়তা,সাম্যের স্থিতিশীলতা,d
What is called the equimolr mixture of glucose and fructose?,সমমোলার গ্লুকোজ ও ফ্রুক্টোজের মিশ্রণকে কী বলে?,Sucrose,Invert sugar,Malt,Maltage,সুক্লোজ,ইনভার্ট সুগার,মল্ট,মল্টোজ,b
Which set of quantum number is acceptable for an electron?,কোনো ইলেকট্রনের জন্য কোয়ান্টাম সংখ্যার কোন সেটটি গ্রহণযোগ্য?,"(1, 1, 1, +\frac{1}{2})","(2, 0, 1, +\frac{1}{2})","(4, 2, -1, -\frac{1}{2})","(3, 1, -2, -\frac{1}{2})","(1, 1, 1, +\frac{1}{2})","(2, 0, 1, +\frac{1}{2})","(4, 2, -1, -\frac{1}{2})","(3, 1, -2, -\frac{1}{2})",c
Which of the following pH values is applicable for IM HCI solution?,নিচের কোন pH মাটি 1M HCI দ্রবণের জন্য প্রযোজ্য?,3,2,1,0,3,2,1,6,d
Which of the following compounds has relatively strong H-bond?,নিচের কোন যৌগেে তুলনামূলক সবল হাইড্রোজেন বন্ধন উপস্থিত?,Ethanol,Hydrogen chloride,Ammonia,Water,ইথানল,হাইড্রোজেন ক্লোরাইড,অ্যামোনিয়া,পানি,d
Which basic radical has electron in 'd' orbital of the following compounds?,নিচের কোন যৌগের ক্ষারীয় মূলকের d-অরবিটালে ইলেকট্রন আছে?,ScCI_{3},TiCI_{4},CrSO_{4},CaSO_{4},ScCl_{3},TiCl_{4},CrSO_{4},CaSO_{4},c
"In between Mg(OH)_{2} and AI(OH)_{3} -
i.AI(OH)_{3} is more covalent
ii.melting point of Mg (OH)_{2} is higher
iii.Ai(OH)_{3} is a weaker base than Mg(OH)_{2}
Which one is correct?","Mg(OH)_{2} এবং Al(OH)_{3} এর মধ্যে-
 i. Al(OH)_{3} অধিক সমযোজী
 ii. Mg(OH)_{2} এর গলনাঙ্ক বেশি
 iii. Mg(OH)_{2} অপেক্ষা Al(OH)_{3} দুর্বল ক্ষারক
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
"What will be the nature of the mixture if 100ml.0.01M HCI and 70ml 0.02M
NH_{4}OH solution are mixed together?",100 mL 0.01M HCl এবং 70 mL 0.02M NH_{4}OH দ্রবণ একত্রে মিশালে মিশ্রণের প্রকৃতি হবে-,Acidic buffer,Basic buffer,Neutral,Acidic,অম্লীয় বাফার,ক্ষারীয় বাফার,নিরপক্ষে,অম্লীয়,b
In which compound the bond angle is the highet?,কোন যৌগটিতেে বন্ধন কোণ সর্বোচ্চ?,C_{2}H_{2},C_{2}H_{4},NH_{3},H_{2}S,C_{2}H_{2},C_{2}H_{4},NH_{3},H_{2}S,a
Which one is the characteristic of \alpha -particle?,\alpha -কণার বৈশিষ্ট্য কোনটি?,"It has two protons
and two electrons",It is vary slow moving particle,It is positive charged particle,"It's mass-number 
is 2",এতে দুটি প্রোটন ও দুটি ইলেকট্রন আছে,এটা খুব ধীর গতিসম্পন্ন কণা,ইহা ধনাত্মক চার্জিত কণা,এর ভর সংখ্যা 2,c
Which of the following compound is coloured?,কোনটি রঙিন যৌগ?,NiSO_{4},AI_{2}(SO_{4})_{3},ZnSO_{4},Sc_{2}(SO_{4})_{3},NiSO_{4|,Al_{2}(SO_{4})_{3},ZnSO_{4|,Sc_{2}(SO_{4})_{3},a
As a result of what changes the value of the equilibrium constant changes?,কীসের পরিবর্তনের ফলে সাম্যধ্রুবকের মান পরিবর্তিত হয়?,Temperature,Concentration,Volume,Catalyst,তাপমাত্রা,ঘনমাত্রা,আয়তন,প্রভাবক,a
"Bohr's Atom Model can describe-
i. Li^{+} ion's spectrum
ii.  Absorption and emission of energy of a rotational electron
iii. angular momentum of an electron= \frac{nh}{2\pi}
Which one is correct?","বোর পরমাণু মডেল ব্যাখ্যা করতে পারে-
 i. Li^{+} আয়নের বর্ণালি
 ii. আবর্তনশীল ইলেকট্রনের শক্তি শোষণ ও বিকিরণ
 iii. ইলেকট্রনের কৌণিক ভরবেগ = \frac{nh}{2\pi}
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which of the following ionization requires the least energy?,নিচের কোন আয়নিকরণে সবচেয়ে কম শক্তি লাগে?,K\rightarrow K^{+}+e^{-},Ca\rightarrow Ca^{+}+e^{-},Mg\rightarrow Mg^{+}+e^{-},Na\rightarrow Na^{+}+e^{-},K\rightarrow K^{+}+e^{-},Ca\rightarrow Ca^{+}+e^{-},Mg\rightarrow Mg^{+}+e^{-},Na\rightarrow Na^{+}+e^{-},a
Which one is present in Malt mixture?,মল্ট মিশ্রণে নিচের কোনটি আছে?,Ethanol,Methanol,Ethanal,Vinegar,ইথানল,মিথানল,ইথান্যাল,ভিনেগার,a
By which reagent both Cu^{2+} and Fe^{2+} ions can be detected?,কোন বিকারক দিয়ে Cu^{2+} এবং Fe^{2+} উভয় আয়ন শনাক্ত করা যায়?,Nessler solution,Ammonia solution,"Silver nitrate 
Solutions",H2S solution,নেসলার দ্রবণ,অ্যামোনিয়া দ্রবণ,সিলভার নাইট্রেট দ্রবণ,H_{2}S দ্রবণ,b
UV rays absorbed by money are emitted as which rays?,টাকা দ্বারা শোষিত UV রশ্মি কোন রশ্মি হিসাবে বিকিরিত হয়?,UV-ray,IR-ray,\delta -ray,Visible ray,UV-রশ্মি,IR-রশ্মি,\gamma- রশ্মি,Visible-রশ্মি,d
Which compound has higher polarization?,কোন যৌগটিতে অধিক পোলারায়ন ঘটে?,MgO,Na_{2}O,AI_{2}O_{3},CaO,MgO,Na_{2}O,Al_{2}O_{3},CaO,c
"In green Chemistry-
i. CCI_{4} is used as solvent
ii. waste production is kept to the minimum
iii. non-toxic substances are used
Which one is correct?","সবুজ রসায়নে-
 i. দ্রাবক হিসাবে CCl_{4} ব্যবহৃত হায়
 ii. বর্জ্য উৎপাদন সর্বনিম্ন রাখা হয়
 iii. বিষক্রিয়ামুক্ত দ্রব্যাদি ব্যবহৃত হয়
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
Which enzyme is used to produce glucose from moltose?,মল্টোজ হতে গ্লুকোজ উৎপাদনের ক্ষেত্রে কোন এনজাইম ব্যবহৃত হয়?,Diastase,Maltase,Zymase,Micoderma acity,ডায়াস্টেজ,ম্যালটেজ,জাইমেজ,মাইকোডারমা অ্যাসিটি,b
What is the pH of 0.3M CH_{3}COOH solution's?[K_{n}=1.8\times 10^{-5}],"0.3M CH_{3}COOH দ্রবণের pH কত?
 [K_a=1.8\times 10^{-5}]",2.63,3.62,1.34,2.87,2.63,3.62,1.34,2.87,a
A(g)+B(g)\rightleftharpoons AB(g); \Delta H=+Ve. If catalyst used in this reaction-,A(g)+B(g)\rightleftharpoons AB(g); \bigtriangleup H = +ve বিক্রিয়াটিতে প্রভাবক ব্যবহার করলে-,rate will change,"equilibrium constant 
will change","the reaction will 
stop","equilibrium will
change",হার পরিবর্তিত হবে,সাম্যধ্রুবক পরিবর্তিত হবে,বিক্রিয়া থেমে যাবে,সাম্যাবস্থা পরিবর্তিত হবে,a
Which molecule has the highest bond angle?,কোন অণুটির বন্ধন কোণের মান সর্বোচ্চ?,H_{2}S,PH_{3},NH_{3},BCI_{3},H_{s},PH_{3},NH_{3},BCl_{3},d
"What is the angular momentum of rotating electrom of hydrogen
atom at normal state?",স্বাভাবিক অবস্থায় হাইড্রোজেন পরমাণুর আবর্তনশীল ইলেকট্রনের কৌণিক ভরবেগ কত?,1.05\times 10^{-34}Js,2.11\times 10^{-34}Js,3.16\times 10^{-34}Js,4.22\times 10^{-24}Js,1.05\times 10^{-34}Js,2.11\times 10^{-34}Js,3.16\times 10^{-34}Js,4.22\times 10^{-34}Js,a
What materual coated screen did Rutherford use in his experiment?,রাদারফোর্ড তার পরীক্ষায় কোন পদার্থের প্রলেপযুক্ত পর্দা ব্যবহার করেন?,Zinc Sulphite,Zinc Sulphate,Zinc  Sulfide,Zinc Phosphate,জিংক সালফাইট,জিংক সালফেট,জিংক সালফাইড,জিংক ফসফেট,c
What is it called to preserve food by dipping in concentrated salt solution?,গাঢ় লবণের দ্রবণে খাদ্যদ্রব্য ডুবিয়ে সংরক্ষণ করাকে কী বলা হয়?,Pickling,Curing,Smoking,Canning,কিলিং,কিউরিং,স্মোকিং,ক্যানিং,b
Which is the correct order of the acids according to their strength?,এসিডেগুলোর তীব্রতার সঠিক ক্রম কোনটি?,HClO_{4}>H_{2}SO_{3}>HNO_{3}>H_{3}PO_{4},HClO_{4}>HNO_{3}>H_{3}PO_{4}>H_{2}SO_{3},HCLO_{4}>H_{3}PO_{4}>HNO_{3}>H_{2}SO_{3},HCLO_{4}>H_{2}SO_{3}>H_{3}PO_{4}>HNO_{3},HClO_{4}>H_{2}SO_{3}>HNO_{3}>H_{3}PO_{4},HClO_{4}>HNO_{3}>H_{3}PO_{4}>H_{2}SO_{3},HClO_{4}>H_{3}PO_{4}>HNO_{3}>H_{2}SO_{3},HClO_{4}>H_{2}SO_{3}>H_{3}PO_{4}>HNO_{3},b
"Bohr's atom model can explain-
i.electric neutrality of atom
ii.atomic spectra
iii.shape of orbit
Which one is correct?","বোর পরমাণু মডেল ব্যাখ্যা করতে পারে-
 i. পরমাণুর তড়িৎ নিরপেক্ষতা
 ii. পারমাণবিক বর্ণালি
 iii. কক্ষপথের আকার
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"According to which scientist,rotating electrons constantly emit energy?",কোন বিজ্ঞানীর মতে আবর্তনশীল ইলেকট্রন ক্রমাগত শক্তি বিকিরণ করে?,Heisenberg,Einstein,Max Plank,Maxwell,হাইজেনবার্গ,আইনস্টাইন,ম্যাক্স প্লাঙ্ক,ম্যাক্সওয়েল,d
How many maximum number of electrons contained in any orbital?,যে কোনো অরবিটালে সর্বোচ্চ ধারণকৃত ইলেকট্রন সংখ্যা কতটি?,2n^{2},(2l+1),2(2l + 1),2(2n+1),2n^{2},(2l + 1),2(2l + 1),2(2n+1),c
"What is the exact relation between solubility, S and solubility product,
K_{sp} of the compound A_{2}B_{3}?","A_{2}B_{3} যৌগের দ্রাব্যতা, S ও দ্রাব্যতা গুণফল, K_{sp} এর মধ্যে সঠিক সম্পর্ক কোনটি?",K_{sp} = 108S^{5},K_{sp} = 36S^{5},K_{sp} = 6S^{5},K_{sp} = 6S^{2},K_{sp}=108 S^{5},K_{sp}=36 S^{5},K_{sp}=6 S^{5},K_{sp}=6 S^{2},a
Which gas is produced if calcium carbide reacts with water?,ক্যালসিয়াম কার্বাইড পানির সাথে বিক্রিয়া করে কোন গ্যাসটি উৎপন্ন করে?,CO_{2},CO,C_{2}H_{4},C_{2}H_{2},CO_{2},CO,C_{2}H_{4},C_{2}H_{2},d
What is the chemical formula of water gas?,পানি গ্যাসের সংকেত কোনটি?,H_{2}O+CO,H_{2}+CO,H_{2}O+NH_{3},H_{2}+NO_{2},H_{2}O+CO,H_{2}+CO,H_{2}O+NH_{3},H_{2}+NO_{2},b
"What is the relation between degree of dissociation and concentration 
of an acid or a base?",অম্ল বা ক্ষারের বিয়োজন মাত্রার সাথে দ্রবণের ঘনমাত্রার সম্পর্ক কোনটি?,"Inversely
 proportional","Inversely proportional
to square",proportional,"Inversely proportional
to square root",ব্যাস্তানুপাতিক,বর্গের ব্যস্তানুপাতিক,সমানুপাতিক,বর্গমুলের ব্যস্তানুপাতিক,d
"Under which reaction, K_{p}=K_{e}?",নিচের কোন বিক্রিয়ায় K_{p}=K_{e}?,A_{2}+B_{2}\rightleftharpoons 2AB,A_{2}+3B_{2}\rightleftharpoons 2AB_{3},C+2D\rightleftharpoons A,C+D\rightleftharpoons 3A,A_{2}+B_{2}\rightleftharpoons 2AB,A_{2}+3B_{2}\rightleftharpoons 2AB_{3},C+2D\rightleftharpoons A,C+D\rightleftharpoons 3A,a
"The pH=1.5 of a solution,what will be the concentration of H+ ion?",কোনো দ্রবণের pH=1.5 হলে ঐ দ্রবণের H_{+} আয়নের ঘনমাত্রা কত?,3.16\times 10^{-2},3.16\times 10^{-3},4.0\times 10^{-2},4.0\times 10^{-4},3.16\times 10^{-2},3.16\times 10^{-3},4.0\times 10^{-2},4.0\times 10^{-4},a
Which one is the strongest acid?,কোনটি শক্তিশালী এসিড?,HNO_{2},HNO_{3},H_{2}SO_{4},H_{2}SO_{3},HNO_{2},HNO_{3},H_{2}SO_{4},H_{2}SO_{3},c
"A_{2}(g)+B_{2}(g)\rightleftharpoons 2AB(g); \Delta H = +ve According to the stem-
i.the reaction is endothermic
ii.equilibrium constand Kp and Kc are equal
iii.no effect of pressure on equilibrium atate
Which one is correct?","A_{2}(g)+B_{2}(g)\rightleftharpoons 2AB(g); \Delta H = +ve উদ্দীপক অনুসারে-
 i. বিক্রিয়াটি তাপহারী
 ii. সাম্যধ্রুবক K_{p} ও K_{e} এর মান সমান
 iii. সাম্যাবস্থার উপর চাপের প্রভাব নেই
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"2AB_{2}(g)+B_{2}(g)\rightleftharpoons 2AB_{3}(g)
In the equilibrium reaction-
i.Unit of K_{p} is atm^{-1}
ii.K_{c}=K_{p}RT
iii.The value of K_{p} change with the change of temperature
Which one is correct?","2AB_{2}(g)+B_{2}(g)\rightleftharpoons 2AB_{3}(g)
সাম্য বিক্রিয়াটিতে-
 i. K_{p} একক atm^{-}
 ii. K_{c} = K_{p}RT
 iii. তাপমাত্রা পরিবর্তনে K_{p} এর মান পরিবর্তিত হয়
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
"2AB_{2}(g)+B_{2}(g)\rightleftharpoons 2AB_{3}(g)
The production of AB_{3}(g) increases in the equilibrium reaction for-
i.the increase of temperature
ii.the increase of pressure
iii.removing AB_{3}(g) form the reaction vessel
Which one is correct?","2AB_{2}(g)+B_{2}(g)\rightleftharpoons 2AB_{3}(g)
সাম্য বিক্রিয়াটিতে AB_{3}(g) এর উৎপাদন বৃদ্ধি পাবে-
 i. তাপমাত্রা বৃদ্ধি করলে
 ii. চাপ বৃদ্ধি করলে
 iii. বিক্রিয়ার পাত্র থেকে AB_{3}(g) গ্যাস অপসারণ করলে
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
