English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What is the derivative of sec^{-1} \left ( \frac{1 + x^{2}}{1 - x^{2}} \right )?,sec^{-1} \left ( \frac{1 + x^{2}}{1 - x^{2}} \right ) এর অন্তরক সহগ কত?,\frac{1}{(x \sqrt{x^{2} - 1}),\frac{- 2}{(\sqrt{1 - x^{2}})},\frac{1}{(1 + x^{2})},\frac{2}{(1 + x^{2})},\frac{1}{(x \sqrt{x^{2} - 1}),\frac{- 2}{(\sqrt{1 - x^{2}})},\frac{1}{(1 + x^{2})},\frac{2}{(1 + x^{2})},d
What is the n^{th} derivative of cos(ax + b)?,cos(ax + b) এর n-তম অন্তরক সহগ কত?,(-1)^{n} a^{n} sin \left ( \frac{n\pi}{2} + ax + b \right ),a^{n} sin \left ( \frac{n\pi}{2} + ax + b \right ),cos \left ( \frac{n\pi}{2} + ax + b \right ),a^{n} cos \left ( \frac{n\pi}{2} + ax + b \right ),(-1)^{n} a^{n} sin \left ( \frac{n\pi}{2} + ax + b \right ),a^{n} sin \left ( \frac{n\pi}{2} + ax + b \right ),cos \left ( \frac{n\pi}{2} + ax + b \right ),a^{n} cos \left ( \frac{n\pi}{2} + ax + b \right ),d
"If A = \begin{bmatrix} 2 & -3 \\ 1 & 6 \end{bmatrix}, then
 i. A is a skew symmetric matrix
 ii. |A| = 15
 iii. A is not an involuntory matrix
 Which one is correct?","A = \begin{bmatrix} 2 & -3 \\ 1 & 6 \end{bmatrix} হয়, তবে-
 i. A একটি বিপ্রতিসম ম্যাট্রিক্স
 ii. |A| = 15
 iii. A একটি অভেদঘাতি ম্যাট্রিক্স নয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",c
Which is the inverse matrix of \begin{bmatrix} 4 & 3 \\ 3 & 2 \end{bmatrix} ?,\begin{bmatrix} 4 & 3 \\ 3 & 2 \end{bmatrix} ম্যাট্রিক্সের বিপরীত ম্যাট্রিক্স কোনটি?,\begin{bmatrix} 2 & -3 \\ -3 & 4 \end{bmatrix},\begin{bmatrix} 2 & 3 \\ -3 & 4 \end{bmatrix},\begin{bmatrix} -2 & 3 \\ 3 & -4 \end{bmatrix},\begin{bmatrix} -4 & 3 \\ 3 & -2 \end{bmatrix},\begin{bmatrix} 2 & -3 \\ -3 & 4 \end{bmatrix},\begin{bmatrix} 2 & 3 \\ -3 & 4 \end{bmatrix},\begin{bmatrix} -2 & 3 \\ 3 & -4 \end{bmatrix},\begin{bmatrix} -4 & 3 \\ 3 & -2 \end{bmatrix},c
"If \begin{bmatrix} m-2 & 6 \\ 2 & m-3 \end{bmatrix} is singular matrix, m = ?","যদি \begin{bmatrix} m-2 & 6 \\ 2 & m-3 \end{bmatrix} একটি ব্যতিক্রমী ম্যাট্রিক্স হয়, তবে m = ?","\text{- 2, - 3}","1, - 6","6, - 1","2, - 3","\text{- 2, - 3}","1, - 6","6, - 1","2, - 3",c
"What is the (3, 2)^{th} cofactor of the determinant \begin{vmatrix} 1 & 2 & 3 \\ 2 & 3 & 4 \\ 1 & 5 & 7 \end{vmatrix}?","\begin{vmatrix} 1 & 2 & 3 \\ 2 & 3 & 4 \\ 1 & 5 & 7 \end{vmatrix} নির্ণায়কের (3, 2) তম সহগুণক কোনটি?",2,3,4,5,2,3,4,5,a
"x + y + 4 = 0 and x - y - 2 = 0 are two straight lines.
 
 What is the point of intersection of the lines?","x + y + 4 = 0 এবং x - y - 2 = 0 দুইটি সরলরেখার সমীকরণ।
 
 রেখা দুইটির ছেদ বিন্দুর স্থানাঙ্ক কোনটি?","(3, 1)","(1, 3)","(-3, -1)","(-1, -3)","(3, 1)","(1, 3)","(-3, -1)","(-1, -3)",d
"x + y + 4 = 0 and x - y - 2 = 0 are two straight lines.
 
 What is the area of the triangle formed with x-axis and the given lines?","x + y + 4 = 0 এবং x - y - 2 = 0 দুইটি সরলরেখার সমীকরণ।
 
 x-অক্ষের সাথে রেখা দুইটি যে ত্রিভুজ গঠন করে তার ক্ষেত্রফল কত?",9 sq. unit,6 sq. unit,4 sq. unit,3 sq. unit,9 বর্গ একক,6 বর্গ একক,4 বর্গ একক,3 বর্গ একক,a
"A straight line pass through (-5, 10) and makes an angle tan^{-1}\frac{3}{4} with the positive direction of x-axis. The equation of the straight line is-","(-5, 10) বিন্দুগামী সরলরেখা x-অক্ষের ধনাত্মক দিকের সাথে tan^{-1}\frac{3}{4} কোণ উৎপন্ন করে। সরলরেখার সমীকরণ-",4x + 3y - 10 = 0,3x - 4y - 55 = 0,3x + 4y + 55 = 0,4x + 3y + 30 = 0,4x + 3y - 10 = 0,3x - 4y - 55 = 0,3x + 4y + 55 = 0,4x + 3y + 30 = 0,b
"If A(-1, 0) is a point on the curve y = x^{3} - 3x^{2} - x + 3, then-
 i. slope at A is 8
 ii. equation of the tangent at A is 8x - y + 8 = 0
 iii. equation of the normal at A is x - 8y - 1 = 0
 Which one is correct?","A(-1, 0) বিন্দুটি y = x^{3} - 3x^{2} - x + 3 বক্ররেখার উপর হলে-
 i. A বিন্দুর ঢাল = 8
 ii. A বিন্দুতে স্পর্শকের সমীকরণ 8x - y + 8 = 0
 iii. A বিন্দুতে অভিলম্বের সমীকরণ x - 8y - 1 = 0
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",a
\int \frac{x}{sqrt{1 - x^{2}}} dx = ?,\int \frac{x}{sqrt{1 - x^{2}}} dx = কত?,\frac{x^{2}}{2} + C,- \sqrt{1 - x^{2}} + C,\sqrt{1 - x^{2}} + C,\sqrt{1 + x} + C,\frac{x^{2}}{2} + C,- \sqrt{1 - x^{2}} + C,\sqrt{1 - x^{2}} + C,\sqrt{1 + x} + C,b
\int e^{x} \left ( \frac{1}{x} + lnx \right ) dx = ?,\int e^{x} \left ( \frac{1}{x} + lnx \right ) dx = কত?,e^{x} lnx + C,e^{x} + lnx + C,e^{x} \frac{1}{x} + C,e^{x} + \frac{1}{x} + C,e^{x} lnx + C,e^{x} + lnx + C,e^{x} \frac{1}{x} + C,e^{x} + \frac{1}{x} + C,a
\int_{0}^{ln2} \frac{e^{x}}{1 + e^{x}} dx = ?,\int_{0}^{ln2} \frac{e^{x}}{1 + e^{x}} dx = কত?,ln \frac{2}{3},2,ln \frac{3}{2},3,ln \frac{2}{3},2,ln \frac{3}{2},3,c
\int_{0}^{\frac{\pi}{2}} cos^{2} x dx = ?,\int_{0}^{\frac{\pi}{2}} cos^{2} x dx = কত?,1,\text{- 1},\frac{\pi}{2},\frac{\pi}{4},1,\text{- 1},\frac{\pi}{2},\frac{\pi}{4},d
"If f(x) = 5, then \lim_{x \to 0} \frac{f(x + h) - f(x)}{h} = ?","f(x) = 5 হলে, \lim_{x \to 0} \frac{f(x + h) - f(x)}{h} = ?",\text{- 1},0,1,\infty,\text{- 1},0,1,\infty,b
What is the slope of the line perpendicular to the line 4x - 3y - 51 = 0?,4x - 3y - 51 = 0 সরলরেখার উপর লম্ব রেখার ঢাল কত?,\frac{4}{3},- \frac{4}{3},\frac{3}{4},- \frac{3}{4},\frac{4}{3},- \frac{4}{3},\frac{3}{4},- \frac{3}{4},d
"If A(3, -2), B(4, 6) and C(5, 7) are the vertices of a triangle, then-
 i. centroid \left ( 4, \frac{11}{3} \right )
 ii. the midpoint of BC is \left ( \frac{9}{2}, \frac{13}{2} \right )
 iii. the equation of AB is 8x - y - 26 = 0 
 Which one is correct?","A(3, -2), B(4, 6) এবং C(5, 7) কোনো ত্রিভুজের শীর্ষবিন্দু হলে-
 i. ভারকেন্দ্র \left ( 4, \frac{11}{3} \right )
 ii. BC এর মধ্যবিন্দু \left ( \frac{9}{2}, \frac{13}{2} \right )
 iii. AB এর সমীকরণ 8x - y - 26 = 0 
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",d
The circle x^{2} + y^{2} - 4x - 10y + 4 = 0 touches at-,x^{2} + y^{2} - 4x - 10y + 4 = 0 বৃত্তটি স্পর্শ করে-,x-axis,y-axis,both axis,origin,x-অক্ষকে,y-অক্ষকে,উভয় অক্ষকে,মূলবিন্দুকে,a
The line x + y = 4 touches the circle x^{2} + y^{2} - 12x - 8y + 34 = 0. Which is the point of contact?,x + y = 4 রেখাটি x^{2} + y^{2} - 12x - 8y + 34 = 0 বৃত্তকে স্পর্শ করে। স্পর্শ বিন্দুর স্থানাঙ্ক কোনটি?,"(1, 3)","(3, 1)","(3, 2)","(2, 5)","(1, 3)","(3, 1)","(3, 2)","(2, 5)",b
"Which is the tangent of the circle x^{2} + y^{2} = 20 at the point (2, 4)?","x^{2} + y^{2} = 20 বৃত্তের (2, 4) বিন্দুতে স্পর্শকের সমীকরণ কোনটি?",x + 2y + 10 = 0,x + 2y = 10,2x + y - 10 = 0,2x - y - 10 = 0,x + 2y + 10 = 0,x + 2y = 10,2x + y - 10 = 0,2x - y - 10 = 0,b
"If A is a square matrix and A^{2} = I, then A is called-","যদি A একটি বর্গ ম্যাট্রিক্স এবং A^{2} = I হয়, তবে A কে বলে-",Nilpotent matrix,Involuntory matrix,Null matrix,Skew-symmetric matrix,শূন্যঘাতি ম্যাট্রিক্স,অভেদঘাতি ম্যাট্রিক্স,শূন্য ম্যাট্রিক্স,বিপ্রতিসম ম্যাট্রিক্স,b
"Which one is the co-factor of (1, 2)^{th} entry of the determinant \begin{vmatrix} 1 & -2 & 3 \\ 0 & 1 & -2 \\ -1 & 0 & 2 \end{vmatrix}?","\begin{vmatrix} 1 & -2 & 3 \\ 0 & 1 & -2 \\ -1 & 0 & 2 \end{vmatrix} নির্ণায়কটির (1, 2) তম ভুক্তির সহগুণক কোনটি?",4,2,\text{- 2},\text{- 4},4,2,\text{- 2},\text{- 4},b
"If (-1, \sqrt{3}) is the cartesian coordinate of a point, then which one is the polar coordinate of the point?","কোনো বিন্দুর কার্তেসীয় স্থানাঙ্ক (-1, \sqrt{3}) হলে, বিন্দুটির পোলার স্থানাঙ্ক কোনটি?","\left ( 2, \frac{2\pi}{3} \right )","\left ( 2, - \frac{\pi}{3} \right )","\left ( 2, \frac{\pi}{3} \right )","\left ( 4, \frac{2\pi}{3} \right )","\left ( 2, \frac{2\pi}{3} \right )","\left ( 2, - \frac{\pi}{3} \right )","\left ( 2, \frac{\pi}{3} \right )","\left ( 4, \frac{2\pi}{3} \right )",a
"If the sides of any triangle are a, b, c and area is \Delta, then sinA = ?","যেকোনো ত্রিভুজের বাহু a, b, c এবং এর ক্ষেত্রফল \Delta হলে, sinA = কত?",\frac{2\Delta}{ca},\frac{2\Delta}{bc},\frac{2\Delta}{ab},\frac{2\Delta}{abc},\frac{2\Delta}{ca},\frac{2\Delta}{bc},\frac{2\Delta}{ab},\frac{2\Delta}{abc},b
"In \Delta ABC, cosA = sinB - cosC, then which one is the value of \angle A?","\Delta ABC এ cosA = sinB - cosC হলে, \angle A এর মান কোনটি?",\frac{\pi}{4},\frac{\pi}{3},\frac{\pi}{6},\frac{\pi}{2},\frac{\pi}{4},\frac{\pi}{3},\frac{\pi}{6},\frac{\pi}{2},d
"The straight line 3x - 4y - 12 = 0 intersect the x and y axis at the point A and B.
 
 Which one is the coordinate of point B?","3x - 4y - 12 = 0 সরলরেখাটি x ও y অক্ষকে যথাক্রমে A ও B বিন্দুতে ছেদ করে?
 
 B বিন্দুর স্থানাঙ্ক কত?","(4, 0)","(0, 3)","(0, -3)","(0, 4)","(4, 0)","(0, 3)","(0, -3)","(0, 4)",c
"The straight line 3x - 4y - 12 = 0 intersect the x and y axis at the point A and B.
 
 Which straight line is perpendicular to the given stem straight line and passes through the point (1, 2)?","3x - 4y - 12 = 0 সরলরেখাটি x ও y অক্ষকে যথাক্রমে A ও B বিন্দুতে ছেদ করে?
 
 উদ্দীপকের সরলরেখার উপর লম্ব এবং (1, 2) বিন্দুগামী সরলরেখার সমীকরণ কোনটি?",4x + 3y - 10 = 0,4x + 3y - 12 = 0,3x - 4y + 12 = 0,4x - 3y - 10 = 0,4x + 3y - 10 = 0,4x + 3y - 12 = 0,3x - 4y + 12 = 0,4x - 3y - 10 = 0,a
Centre of the circle r^{2} + 2r sin\theta = 3 is-,r^{2} + 2r sin\theta = 3 বৃত্তটির কেন্দ্র-,"(1, 0)","(-1, 0)","(0, 1)","(0, -1)","(1, 0)","(-1, 0)","(0, 1)","(0, -1)",d
"If y = sin^{2}x^{2}, then which one is the value of \frac{dy}{dx}?",y = sin^{2}x^{2} হলে \frac{dy}{dx} এর মান কত?,2sinx^{2},2xsinx^{2},2xsin2x^{2},2x^{2}sin2x^{2},2sinx^{2},2xsinx^{2},2xsin2x^{2},2x^{2}sin2x^{2},c
"If y = (x + 1) tan^{-1}x - x, then \frac{dy}{dx} = ?",y = (x + 1) tan^{-1}x - x হলে \frac{dy}{dx} = ?,2tan^{-1}x,2xtan^{-1}x,xtan^{-1}x,\frac{2x}{1 + x^{2}},2tan^{-1}x,2xtan^{-1}x,xtan^{-1}x,\frac{2x}{1 + x^{2}},b
"Which one is the tangent of the equation which is drawn on the circle x^{2} + y^{2} = 25 at the point (4, 3)?","x^{2} + y^{2} = 25 বৃত্তের (4, 3) বিন্দুতে অঙ্কিত স্পর্শকের সমীকরণ কোনটি?",3x + 4y - 25 = 0,3x + 4y + 25 = 0,4x + 3y - 25 = 0,4x + 3y + 25 = 0,3x + 4y - 25 = 0,3x + 4y + 25 = 0,4x + 3y - 25 = 0,4x + 3y + 25 = 0,c
"When the function f(x) will be increasing at the point x = a, then-",x = a বিন্দুতে f(x) ফাংশন ক্রমবর্ধমান হবে যদি-,f'(a) = 0,f'(a) < 0,f'(a) \neq 0,f'(a) > 0,f'(a) = 0,f'(a) < 0,f'(a) \neq 0,f'(a) > 0,d
"If the order of the matrices A, B and C are respectively 4 \times 3, 3 \times 4 and 7 \times 4, then what is the order of (B + A^{T}).C^{T}?","A, B ও C ম্যাট্রিক্সগুলোর মাত্রা যথাক্রমে 4 \times 3, 3 \times 4 and 7 \times 4 হলে, (B + A^{T}).C^{T} মাট্রিক্সের মাত্রা কত?",3 \times 4,4 \times 3,3 \times 7,4 \times 7,3 \times 4,4 \times 3,3 \times 7,4 \times 7,c
Which one is the maximum value of f(x) = x(2a - x)?,f(x) = x(2a - x) এর সর্বোচ্চ মান কোনটি?,a,2a,a^{2},2a^{2},a,2a,a^{2},2a^{2},c
Which one is the length of intercept from x axis by the circle x^{2}+ y^{2} - 2x + 6y - 6 = 0?,x^{2}+ y^{2} - 2x + 6y - 6 = 0 বৃত্তটি দ্বারা x-অক্ষের খন্ডিত অংশের দৈর্ঘ্য কত একক?,2\sqrt{2},2\sqrt{7},2\sqrt{10},2\sqrt{15},2\sqrt{2},2\sqrt{7},2\sqrt{10},2\sqrt{15},b
Which one is the value of \int_{0}^{1} \frac{e^{5x} + e^{3x}}{e^{x} + e^{-x}} dx?,\int_{0}^{1} \frac{e^{5x} + e^{3x}}{e^{x} + e^{-x}} dx এর মান কোনটি?,4(e^{4} - 1},\frac{1}{5}(e^{5} - 1),5(e^{5} - 1),\frac{1}{4}(e^{4} - 1),4(e^{4} - 1},\frac{1}{5}(e^{5} - 1),5(e^{5} - 1),\frac{1}{4}(e^{4} - 1),d
"cos2A =
 i. - 2sin^{2}A + 1
 ii. 2cos^{2}A - 1
 iii. \frac{1 - tan^{2}A}{sec^{2}A}
 Which one is correct?","cos2A =
 i. - 2sin^{2}A + 1
 ii. 2cos^{2}A - 1
 iii. \frac{1 - tan^{2}A}{sec^{2}A}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",d
"\begin{bmatrix} 2 & - 4 \\ - 4 & -8 \end{bmatrix} is a-
 i. square matrix
 ii. singular matrix
 iii. symmetric matrix
 Which one is correct?","\begin{bmatrix} 2 & - 4 \\ - 4 & -8 \end{bmatrix} একটি-
 i. বর্গ ম্যাট্রিক্স
 ii. ব্যতিক্রমী ম্যাট্রিক্স
 iii. প্রতিসম ম্যাট্রিক্স
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i এবং ii,i এবং iii,ii এবং iii,"i, ii এবং iii",b
Which one is the perpendicular distance between the two straight lines y - x = 4 and y = x in unit?,y - x = 4 এবং y = x সরলরেখাদ্বয়ের মধ্যবর্তী লম্ব দূরত্ব কত একক?,4,2,4\sqrt{2},2\sqrt{2},4,2,4\sqrt{2},2\sqrt{2},d
What is the value of 2sin^{2}15\degree?,2sin^{2}15\degree এর মান কত?,\frac{2 - \sqrt{3}}{2},\frac{\sqrt{3} + 1}{2},\frac{\sqrt{3} - 1}{2},\frac{2 + \sqrt{3}}{2},\frac{2 - \sqrt{3}}{2},\frac{\sqrt{3} + 1}{2},\frac{\sqrt{3} - 1}{2},\frac{2 + \sqrt{3}}{2},a
Which one is the area of the triangle formed by the straight line x + y - 4 = 0 with the axis in square unit?,x + y - 4 = 0 সরলরেখাটি অক্ষদ্বয়ের সাথে যে ত্রিভুজ তৈরি করে তার ক্ষেত্রফল কত বর্গ একক?,4,8,16,32,4,8,16,32,b
