Urine is light yellow due to the presence of which one?,কোনটির উপস্থিতির জন্য মূত্রের রঙ হালকা হলুদ হয়?,Urea,Creatinine,Urichrome,Uric acid,ইউরিয়া,ক্রিয়াটিনিন,ইউরোক্রোম,ইউরিক এসিড,c
How many male gametes are produced by the divison of pollea generative cell?,পরাগরেণুর জেনারেটিভ কোষটি বিভাজিত হয়ে কতটি পুংজননকোষ সৃষ্টি করে?,2,4,6,8,2,4,6,8,a
Which of the following helps in metabolic and physiological functions in body?,নিচের কোনটি দেহে বিপাকীয় ও শরীরবৃত্তীয় কাজে সহায়তা করে?,Albumin,Thyroxine,Pepsin,Ammonea,অ্যালবুমিন,থাইরক্সিন,পেপসিন,অ্যামোনিয়া,b
RNA contains uracil instead of which one?,RNA-তে ইউরাসিল থাকে কোনটির পরিবর্তে?,Thymine,Cytosine,Guanine,Adenine,থায়ামিন,সাইটোসিন,গুয়ানিন,এডিনিন,a
Carolus Linnaeus is a scientist of which country?,ক্যারোলাস লিনিয়াস কোন দেশের বিজ্ঞানী?,Sweden,Pakistan,Germany,Canada,সুইডেন,পাকিস্তান,জার্মানি,কানাডা,a
Which is the scientific name of cockroach?,আরশোলার বৈজ্ঞানিক নাম কোনটি?,Vibrio cholerae,Apis indica,Periplaneta americana,Plasmodium vivax,Vibrio cholerae,Apis indica,Periplaneta ameracana,Plasmodium vivax,c
By contact with which leucoplast is converted to chioroplast?,লিউকোপ্লাস্ট কোনটির সংস্পর্শে এসে ক্লোরোপ্লাস্টে রূপান্তরিত হয়?,Soil,Light,Air,Water,মাটি,আলো,বায়ু,পানি,b
Which of the following plants contains phloem parenchyma?,নিচের কোন উদ্ভিদে ফ্লোয়েম প্যারেঙ্কাইমা থাকে?,Rice,Pumpkin,Wheat,Maize,ধান,কুমড়া,গম,ভুট্টা,b
What is the amount of organic and inorganic materials in blood?,রক্তে জৈব এবং অজৈব পদার্থের পরিমাণ কত?,2-4%,3-5%,5-7%,8-9%,২-৪%,৩-৫%,৫-৭%,৮-৯%,d
Which is the full form of ATP?,ATP এর পূর্ণরপ কোনটি?,Adenosine monophosphate,Adenosine diphosphate,Adenosine triphosphate,Adenosine pentaphosphate,অ্যাডিনোসিন মনোফসফেট,অ্যাডিনোসিন ডাইফসফেট,অ্যাডিনোসিন ট্রাইফসফেট,অ্যাডিনোসিন পেন্টাফসফেট,c
The first stable substance of which plant is 4-carbon based oxalocctic acid?,কোন উদ্ভিদের প্রথম স্থায়ী পদার্থ ৪-কার্বনবিশিষ্ট অক্সালো এসিটিক এসিড?,Sugarcane,Mango,Black berry,Jackfruit,আখ,আম,জাম,কাঁঠাল,a
How many numbers of ATP are produced in Krebs cycle?,ক্রেবস চক্রে কতটি ATP উৎপন্ন হয়?,22,24,26,28,২২টি,২৪টি,২৬টি,২৮টি,b
Which contains poly-saccharide?,কোনটিতে বহু শর্করা পাওয়া যায়?,Grape,Orange,Wheat,Sugar,আঙ্গুর,কমলা,গম,চিনি,c
Which of the following produces alkaline urine if eaten?,নিচের কোনটি খেলে ক্ষারীয় মূত্র তৈরি হয়?,Apple,Catla fish,Beef,Peanut,আপেল,কাতল মাছ,গরুর মাংস,চিনাবাদাম,a
What is the percentage of nitrogen in protein?,আমিষে শতকরা কত ভাগ নাইট্রোজেন থাকে?,14,16,15,17,14,15,16,17,c
What is the average lifespan of platelets?,অণুচক্রিকার গড় আয়ু কতদিন?,2-10 days,5-10 days,7-10 days,8-10 days,২-১০ দিন,৫-১০ দিন,৭-১০ দিন,৮-১০ দিন,b
Which of the following is responsible for constipation?,কোষ্ঠকাঠিন্য হওয়ার জন্য দায়ী নিচের কোনটি?,Skin of fruits,Stem of plants,Grain,Mutton,ফলের খোসা,উদ্ভিদের ডাটা,শস্য দানা,খাসির মাংস,d
Which food contains fat soluble vitamins?,কোন খাবারটিতে চর্বিতে দ্রবণীয় ভিটামিন আছে?,Red ata,Mugdal,Tomato,Butter,লাল আটা,মুগডাল,টমেটো,মাখন,d
How much water present in human urine?,মানুষের মূত্রের কতভাগ পানি?,90,92,95,97,90,92,95,97,a
Which is bisexual flower?,উভলিঙ্গ ফুল কোনটি?,Gourd,Pumpkin,Jhinga,China-rose,লাউ,কুমড়া,ঝিঙ্গা,জবা,d
Which blood group is called universal blood donor?,সর্বজনীন রক্তদাতা বলা হয় রক্তের কোন গ্রুপকে?,A,B,AB,O,A,B,AB,O,d
What is the length of a chromosome?,একটি ক্রোমোজোমের দৈর্ঘ্য সাধারণত কত?,3.5 to 30.0 microns,3.5 to 35.0 microns,4.5 to 30.0 microns,5.5 to 30.0 microns,3.5 থেকে 30.0 মাইক্রন,3.5 থেকে 35.0 মাইক্রন,4.5 থেকে 30.0 মাইক্রন,55 থেকে 30.0 মাইক্রন,a
Which of the flower has no fragrance?,কোন ফুলের সুগন্ধ নেই?,Rose,Tube rose,Mustard,Vallisnaria,গোলাপ,রজনীগন্ধা,সরিষা,পাতাশেওলা,d
What is the name of the juice secreted from endocrine gland?,অন্তঃক্ষরা গ্রন্থি থেকে নিঃসৃত রসকে কী বলে?,Enzyme,Plasma,Lymph,Hormone,এনজাইম,প্লাজমা,লসিকা,হরমোন,d
"Found in Trachea-
i. Pseudo stractified epithelial tissue
ii. Ciliated epithelial tissue
iii. Cuboidal epithelial tissue
Which one is correct?","ট্রাকিয়াতে পাওয়া যায়-
 i. সিউডো-স্ট্র্যাটিফাইড আবরণী টিস্যু
 ii. সিলিয়াযুক্ত আবরণী টিস্যু
 iii. কিউবয়ডাল আবরণী টিস্যু
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
How many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,গ্লাইকোলাইসিস প্রক্রিয়ায় দুই অণু গ্লুকোজ থেকে কয় অণু পাইরুভিক এসিড সৃষ্টি হয়?,1,2,3,4,1,2,3,4,d
Which one is the optimum temperature for respiration?,শ্বসনের জন্য উত্তম তাপমাত্রা কোনটি?,20\degree C  - 30\degree C,20\degree C - 35\degree C,20\degree C - 45\degree C,20\degree C - 46\degree C,20\degree C - 30\degree C,20\degree C - 35\degree C,20\degree C - 45\degree C,20\degree C - 46\degree C,c
In which year Watson and Crick discovered double helix modl of DNA?,কত সালে Watson ও Crick DNA অণুর ডাবল হেলিক্স কাঠামো আবিষ্কার করেন?,1949,1951,1952,1953,1949,1951,1952,1953,d
Which one of the following flowers has monadelphous filament?,কোনটিতে একগুচ্ছ পরাগদণ্ড রয়েছে?,china-rose,Pea,Cotton tree,Datura,জবা,মটর,শিমুল,ধুতুরা,a
Who is the father of genetics?,বংশগতিবিদ্যার জনক কে?,Darwin,Mendel,Watson,Linneus,ডারউইন,মেন্ডেল,ওয়াটসন,লিনিয়াস,b
In which animal internal fertilization occurs?,কোন প্রাণীটিতে অন্তঃনিষেক সংঘটিত হয়?,Rui,Shark,Mrigal,Nilotica,রুই,হাঙ্গর,মৃগেল,তেলাপিয়া,b
"How many types of epithelial tissues are there according to shape, location and function?","আকৃতি, অবস্থান এবং কাজের প্রকৃতিভেদে আবরণী টিস্যু কয় প্রকার?",3,4,5,6,3,4,5,6,a
Which one of the following is formula for pyruvic acid?,গ্লাইকোলাইসিস প্রক্রিয়ায় দুই অণু গ্লুকোজ থেকে কয় অণু পাইরুভিক এসিড সৃষ্টি হয়?,C_{3}H_{4}O_{3},C_{6}H_{12}O_{6},C_{2}H_{5}OH,CH_{3}OH,1,2,3,4,d
Which one is the external facor of photosynthesis?,সালোকসংশ্লেষণের বাহ্যিক প্রভাবক কোনটি?,Water,Chlorophyll,Potassium,Enzyme,পানি,ক্লোরোফিল,পটাশিয়াম,এনজাইম,a
Which tissue is found in aquation plants that contain air-chamber?,জলজ উদ্ভিদে বায়ুকুঠুরীযুক্ত কোন টিস্যু থাকে?,Selerenchyma,Collenchyma,Arenchyma,Tracheid,স্কেরেনকাইমা,কোলেনকাইমা,অ্যারেনকাইমা,ট্রাকিড,c
By which part embryo is implanted with the uterus wall?,কীসের সাহায্যে ভ্রূণ জরায়ুর সাথে সংস্থাপিত হয়?,Amnion,Blood vessel,Umbilical cord,Placenta,অ্যামনিয়ন,রক্তনালী,আম্বিলিকাল কর্ড,অমরা,d
"In case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. Upper three cells are degenerated and the lower one is dividing.
Which process is occured for the formation of four cells in above stem?","স্ত্রী-গ্যামেটোফাইট উৎপত্তির ক্ষেত্রে একটি স্ত্রী জনন মাতৃকোষ থেকে চারটি হ্যাপ্লয়েড কোষ সৃষ্টি হয়। উপরের তিনটি কোষ বিনষ্ট হয় এবং নিচের কোষটি বিভাজিত হতে থাকে।
 
 উদ্দীপকে উল্লিখিত চারটি কোষ উৎপাদনে কোন প্রক্রিয়া সংঘটিত হয়?",Mitosis,Meiosis,Amitosis,Binary fission,মাইটোসিস,মিয়োসিস,অ্যামাইটোসিস,দ্বি-বিভাজন,b
"In case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. Upper three cells are degenerated and the lower one is dividing.
During the formation of gametophyte of stem-
i. Forms antipodal cell
ii. Forms secondary nucleus
iii. Forms egg apparatus
Which one is correct?","স্ত্রী-গ্যামেটোফাইট উৎপত্তির ক্ষেত্রে একটি স্ত্রী জনন মাতৃকোষ থেকে চারটি হ্যাপ্লয়েড কোষ সৃষ্টি হয়। উপরের তিনটি কোষ বিনষ্ট হয় এবং নিচের কোষটি বিভাজিত হতে থাকে।
 
 উদ্দীপকের গ্যামেটোফাইট উৎপত্তির সময়-
 i. প্রতিপাদ কোষ গঠন করে
 ii. গৌণ কেন্দ্রিকা গঠন করে
 iii. গর্ভযন্ত্র গঠন করে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one of the following bears the characteristics of eye and skin colours of human.,কোনটি মানুষের চোখের রঙ ও চামড়ার গঠন বৈশিষ্ট্য বহন করে?,Ribosome,Centriole,Chromosome,Nucleolus,রাইবোসোম,সেন্ট্রিওল,ক্রোমোসোম,নিউক্লিওলাস,c
Which one is responsible for protein synthesis?,কোনটি প্রোটিন সংশ্লেষণ করে?,Chromoplast,Ribosome,Centrosome,Golgi body,ক্রোমোপ্লাস্ট,রাইবোজোম,সেন্ট্রোজোমে,গলজি বস্তু,b
Which one is the length of a chromosome (in mcron)?,একটি ক্রোমোজোমের দৈর্ঘ্য কত মাইক্রন?,0.2-2.0,2.0-30.0,2.5-30.0,3.5-30.0,০.২-২.০,২.০ - ৩০.০,২.৫ - ৩০.০,৩.৫ - ৩০.০,d
How many autosomes are present in human body?,মানবদেহে অটোজোম সংখ্যা কয়টি?,22,23,44,46,22,23,44,46,c
Which one is present in TMV as the nucleic acid?,TMV তে নিউক্লিক এসিড হিসেবে কোনটি থাকে?,DNA,RNA,Inorganic phosphate,Glucose,DNA,RNA,অজৈব ফসফেট,গ্লুকোজ,b
How many cells are present in egg apparatus?,গর্ভযন্ত্রে কয়টি কোষ থাকে?,2,3,4,6,2,3,4,6,b
"Function of thyroxin hormone-
i. body growth
ii. mental development
iii. helps in metabolism
Which one is correct?","থাইরক্সিন হরমোনের কাজ-
 i. দৈহিক বৃদ্ধি
 ii. মানসিক বৃদ্ধি
 iii. বিপাকে সহায়তা
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
How many days later the structure of brain starts to form after fertilization?,নিষিক্তকরণের কতদিন পর মস্তিষ্কের গঠন শুরু হয়?,14,28,35,56,14,28,35,56,b
Which one transports cell sap?,কোষরসের পরিবহন কিসের মাধ্যমে হয়?,Tracheid,Sieve cell,Companion cell,Vessel,ট্রাকিড,সিভনল,সঙ্গীকোষ,ভেসেল,a
"Mr. Goni planted some trees in his garden in which the first stable sustance of CO_2 reduction path way is Oxaloacetic acid.
Mr. Goni planted-
i. maize
ii. brinjal
iii. sugarcane
Which one is correct?","গনি সাহেব তার বাগানে এমন কিছু গাছ লাগিয়েছেন যার CO_{2} বিজারণের প্রথম স্থায়ী পদার্থ অক্সালো এসিটিক এসিড।
 
 গনি সাহেব লাগিয়েছেন-
 i. ভুট্টা
 ii. বেগুন
 iii. আখ
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
"Mr. Goni planted some trees in his garden in which the first stable sustance of CO_2 reduction path way is Oxaloacetic acid.
How many carbon atoms are present in the mentioned stable substance of the stem?","গনি সাহেব তার বাগানে এমন কিছু গাছ লাগিয়েছেন যার CO_{2} বিজারণের প্রথম স্থায়ী পদার্থ অক্সালো এসিটিক এসিড।
 
 উদ্দীপকে বর্ণিত স্থায়ী পদার্থটি কত কার্বন বিশিষ্ট?",2,3,4,5,2,3,4,5,c
Which of the following element deficiency is responsible for red colored spot?,পাতায় লাল দাগ দেখা যায় কোন পুষ্টি উপাদানের অভাবে?,P,K,Ca,S,P,K,Ca,S,d
"What are the products of photosynthesis?
i. C_{6}H_{12}O_{6}
ii. CO_{2}
iii. H_{2}O
Which one is correct?","সালোকসংশ্লেষণের উপজাত দ্রব্য-
 i. C_{6}H_{12}O_{6}
 ii. CO_{2}
 iii. H_{2}O
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Which food belongs to the second level of food pyramid from top?,খাদ্য পিরামিডের উপর থেকে ২য় স্তরে কোন খাদ্য রয়েছে?,Egg and Fish,Gourd and Mango,Meat and Oil,Rice and Bread,ডিম ও মাছ,কুমড়া ও আম,মাংস ও তেল,ভাত ও রুটি,a
Which branch of Biology deals with the structure of tissues?,টস্যুসমূহের গঠন কোন শাখায় আলোচনা করা হয়?,Histology,Embryology,Endocrinology,Cytology,হিস্টোলজি,এমব্রায়োলজি,এন্ডোক্রাইনোলজি,সাইটোলজি,a
In which of the following kingdom does the diatom belong to?,ডায়াটম কোন রাজ্যের জীব?,Monera,Protista,Fungi,Plantae,মনেরা,প্রোটিস্টা,ফানজাই,প্লানটি,b
"Parts of Mitochondria-
i. cristae
ii. grana
iii. membrane
Which one is correct?","মাইটোকন্ড্রিয়ার অংশ-
 i. ক্রিস্টি
 ii. গ্রানা
 iii. ঝিল্লি
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Which one of the following is C_{4} plant?,নিচের কোনটি C_{4} উদ্ভিদ?,Sugarcane,Mango,Water lily,Chinese hibiscus,আখ,আম,শাপলা,জবা,a
"Chloroplast is present in-
i. parenchyma cell
ii. collenchyma cell
iii. schirenchyma cell
Which one is correct?","ক্লোরোপ্লাস্ট থাকে-
 i. প্যারেনকাইমা কোষে
 ii. কোলেনকাইমা কোষে
 iii. স্কেরেনকাইমা কোষে
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"Ratan is 39 years old. His weight is 69 kg and height is 170 cm.
Applicable for Ratan-","রতনের বয়স ৩৯ বছর। তার ওজন ৬৯ কেজি এবং উচ্চতা ১৭০ সে.মি.।
 
 রতনের ক্ষেত্রে প্রযোজ্য-",Less body weight,Possesses good health,Excessive body weight,Excessive fat,শরীরের ওজন কম,সুস্বাস্থ্যের অধিকারী,শরীরের ওজন অতিরিক্ত,অতিরিক্ত মোটাত্ব,b
"Ratan is 39 years old. His weight is 69 kg and height is 170 cm.
Which one is the BMR (Calone) of Ratan?","রতনের বয়স ৩৯ বছর। তার ওজন ৬৯ কেজি এবং উচ্চতা ১৭০ সে.মি.।
 
 রতনের BMR কত ক্যালরি?",1596.1,1915.32,2194.64,2473.96,1596,1915,2195,2474,a
Which of the following blood corpuscle engulfs the germs?,জীবাণু ভক্ষণ করে নিচের কোন কণিকা?,Neutrophil,Eosinophil,Basophil,Thrombocyte,নিউট্রোফিল,ইওসিনোফিল,বেসোফিল,থ্রম্বোসাইট,a
Which antibody is present in blood group B?,B রক্তের গ্রুপে কোন অ্যান্টিবডি থাকে?,b,a,Not present,"a, b",b,a,নেই,"a, b",b
Which blood vessel is responsible for oxygented blood transporting to left atrium?,কোনটির ভিতর দিয়ে অক্সিজেনযুক্ত রক্ত বাম অলিন্দে প্রবেশ করে?,Aorta,Superior venacava,Pulmonary artery,Pulmonary vein,মহাধমনি,ঊর্ধ্ব মহাশিরা,ফুসফুসীয় ধমনি,ফুসফুসীয় শিরা,d
Which one is the pre-requisite of kidney transplantation?,কিডনি প্রতিস্থাপনের জন্য আবশ্যকীয় শর্ত কোনটি?,Parents,Matching of blood group,Matching of tissue,Brain dead,পিতামাতা,রক্তগ্রুপ ম্যাচ,টিস্যু ম্যাচ,ব্রেন ডেড,c
Which one is the color of kidney?,বৃক্কের রঙ কেমন?,Reddish,Slightly yellow,Red,Yellow,লালচে,হালকা হলুদ,লাল,হলুদ,a
When Blackman divided photosynthesis into two phases?,ব্ল্যাকম্যান কত সালে সালোকসংশ্লেষণ প্রক্রিয়াকে দুটি পর্যায়ে ভাগ করেন?,1905,1915,1920,1925,1905,1915,1920,1925,a
What is called the part where anther and filament are connected?,পরাগধানী ও পুংদন্ডের সংযোগকারী অংশকে কী বলা হয়?,Pollen tube,Connective,Pollen,Pollensac,পোলেন টিউব,যোজনী,পরাগরেণু,পরাগথলি,b
Which one is the importance of self-pollination?,স্ব-পরাগায়নের গুরুত্ব কোনটি?,Emerge dversity,Increase adaptation ability,Increase the germination rate of seed,Save the purity of seed,বৈচিত্র্যের আবির্ভাব ঘটে,অভিযোজন ক্ষমতা বৃদ্ধি পায়,বীজের অঙ্কুরোদগমের হার বৃদ্ধি পায়,বীজের চরিত্রগত বিশুদ্ধতা রক্ষা হয়,d
What is the ratio of possibility of inheriting thalassemia from carrier father carrier mother?,বাহক বাবা ও বাহক মায়ের সন্তানদের ভিতর থ্যালসেমিয়া আক্রান্ত সন্তান জন্মের সম্ভাবনার অনুপাত কত?,1 : 2 : 1,1 : 1 : 1 : 1,1 : 3,2 : 1 : 1,১ : ২ : ১,১ : ১ : ১ : ১,১ : ৩,২ : ১ : ১,a
What is the name of the part of chromosome where gene is present?,ক্রোমোসোমের যে স্থানে জিন অবস্থান করে তাকে কী বলে?,Locus,Chiasma,Crossing over,Spike,লোকাস,কায়াজমা,ক্রসিংওভার,স্পাইক,a
Which one is the utilization of Mandel's law?,মেন্ডেলের তত্ত্বের প্রয়োগ রয়েছে কোনটিতে?,Removing weeds from land,Production of improved variety of crops,Controlling insects,In molecular farming,জমির আগাছা নিরসনে,উন্নত জাতের শস্য উৎপাদনে,পোকা-মাকড় নিয়ন্ত্রণে,মলিকুলার ফার্মিং-এ,b
"Sumi got married 5 years ago. For the expectation of a boy they have three girl child. Her husband and mother-in-law blame her all time for this.
Which one is correct for the determination of sex of Sumi's childs?","৫ বছর পূর্বে সুমির বিয়ে হয়েছে। পুত্র সন্তানের আশায় তাদের এ পর্যন্ত তিন কন্যা সন্তান হয়েছে। এজন্য তার স্বামী ও শ্বাশুড়ি সারাক্ষণ তাকে দোষারোপ করে থাকে।
 
 সুমির, সন্তানদের লিঙ্গ নির্ধারণের ক্ষেত্রে কোনটি সঠিক?",22 + XX,22 + XY,44 + XX,44 + XY,22 + XX,22 + XY,44 + XX,44 + XY,a
"Sumi got married 5 years ago. For the expectation of a boy they have three girl child. Her husband and mother-in-law blame her all time for this.
Sumi can have a boy, if-
i. 'Y' bearing sperm comes from husband
ii. 'X' bearing sperm comes from husband
iii. fertilized zygote is XY
Which one is correct?","৫ বছর পূর্বে সুমির বিয়ে হয়েছে। পুত্র সন্তানের আশায় তাদের এ পর্যন্ত তিন কন্যা সন্তান হয়েছে। এজন্য তার স্বামী ও শ্বাশুড়ি সারাক্ষণ তাকে দোষারোপ করে থাকে।
 
 সুমির সন্তান হবে যদি-
 i. স্বামী থেকে Y বহনকারী শুক্রাণু আসে
 ii. স্বামী থেকে X বহনকারী শুক্রাণু আসে
 iii. নিষিক্ত জাইগোট XY হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
What is the function of mitochondria?,মাইটোকন্ড্রিয়ার কাজ কোনটি?,Protect the cell,Produce energy,Reproduce,Produce food,কোষকে রক্ষা,শক্তি উৎপাদন,বংশ বৃদ্ধি,খাদ্য তৈরি,b
Which part of plastid absorbed sunlight?,প্লাস্টিডের কোথায় সূর্যালোক আবদ্ধ হয়?,Grana,Stoma,Matrix,Lemellum,গ্রানা,স্টোমা,ম্যাট্রিক্স,ল্যামেলাম,a
A Plant turns into which colour with the presence of xanthophyll?,জ্যান্থোফিল থাকলে উদ্ভিদ কী বর্ণ ধারণ করে?,Red,Blue,Yellow,Orange,লাল,নীল,হলুদ,কমলা,c
Which one is the function of Lysosome?,লাইসোজোমের কাজ কোনটি?,Protein synthesis,Store food,Works as a flow medium,Kill germs,আমিষ সংশ্লেষণ,খাদ্য সঞ্চয়,প্রবাহ পথের নির্দেশনা,জীবাণু ধ্বংস,d
Protein synthesis organelle are-,প্রোটিন সংশ্লেষী অঙ্গাণুগুলো হলো-,centrosome and chromosome,nucleolus and lysosome,ribosome and endoplasmic reticlum,lysosome and ribosome,সেন্ট্রোসোম ও ক্রোমোসোম,নিউক্লিওলাস ও লাইসোজোম,রাইবোজোম ও এন্ডোপ্লাজমিক জালিকা,লাইসোজোম ও রাইবোজোম,c
Which amount of energy is stored in the last phosphate group of each mole of ATP?,প্রতিমোল ATP অণুর প্রান্তীয় ফসফেট গ্রুপে কত কিলোক্যালরি শক্তি জমা থাকতে পারে?,7.1 kCal,7.3 kCal,7.6 kCal,7.9 kCal,7.1 kCal,7.3 kCal,7.6 kCal,7.9 kCal,b
Which one is the external factors of photosynthesis?,কোনটি সালোকসংশ্লেষণ প্রক্রিয়ার বাহ্যিক প্রভাবক?,Oxygen,Carbohydrates,Potassium,Enzymes,অক্সিজেন,শর্করা,পটাশিয়াম,এনজাইম,a
The addition of an inorgnaic phosphate with ADP is called-,ADP এর সাথে অজৈব ফসফেট যুক্ত হওয়াকে বলা হয়-,photolysis,oxidative phos phorylation,photophosphorylation,fermentation,ফটোলাইসিস,অক্সিডেটিভ ফসফোরাইলেশন,ফটোফসফোরাইলেশন,ফার্মেন্টেশন,c
Which one is insects pollinated flower?,পতঙ্গপরাগী ফুল কোনটি?,Rice,Taro,Mustard,Sugarcane,ধান,কচু,সরিষা,আখ,c
Which is the necessary nutrient for the growth of root and stem of lsugar beet?,সুগারবিট এর মূল এবং কাণ্ডের বৃদ্ধির জন্য কোন পুষ্টি উপাদান প্রয়োজন?,Boron,Iron,Chlorine,Potassium,বোরন,আয়রন,ক্লোরিন,পটাশিয়াম,c
"Blood group of Sharif is AB^{+}, Mithuns's AB^{-} and Rayhan's O^{-}, Mithun-
i. can donate blood to Sharif
ii. can recived blood from Sharif
iii. can receive blood from Rayhan
Which one is correct?","শরিফের ব্লাড গ্রুপ AB^{+} মিথুনের AB^{-} এবং রায়হানের O^{-} । মিথুন-
 i. শরিফকে ব্লাড দিতে পারবে
 ii. শরিফের থেকে ব্লড নিতে পারবে
 iii. রায়হানের ব্লাড নিতে পারবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
What is the amount of urination of a normal adult man?,একজন স্বাভাবিক মানুষ প্রতিদিন কত মিলিলিটার (প্রায়) মূত্র ত্যাগ করে?,1000 ml,1200 ml,1500 ml,1800 ml,1000,1200,1500,1800,c
"In case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
Which one is correct?","কিডনি বিকল হলে-
 i. মূত্রের পরিমাণ কম হয়
 ii. প্রোটিন জাতীয় খাবার কম খেতে হয়
 iii. রক্তে ক্রিয়েটিনিন কমে যায়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
