English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"In case of a falling object-
  i. Kinetic energy keeps increasing continuously 
 ii. Acceleration keeps increasingcontinuously
  iii. Potential energy keeps decreasing continuously 
 Which one is correct?","পতনশীল বস্তুর ক্ষেত্রে-
 i. গতিশক্তি ক্রমাগত বৃদ্ধি পায়
 ii. ত্বরণ ক্রমাগত বৃদ্ধি পায়
 iii. স্থিতিশক্তি ক্রমাগত হ্রাস পায়
 নিচের কোনটি সঠিক?",i,iii,i and iii,"I , ii and iii",i,iii,i ও iii,"i, ii ও iii",c
"The velocity of a vehicle is increasing at the rate of 0.4ms^{-1}, 0.8ms^{-1}, 1.2ms^{-1} and 1.6ms^{-1}. The vehicle is moving in","একটি গাড়ির বেগ যথাক্রমে 0.4ms^{-1}, 0.8ms^{-1}, 1.2ms^{-1} ও 1.6ms^{-1} হারে বাড়ছে। এই ক্ষেত্রে গাড়িটি চলছে-",uniform acceleration,uniform momentum,uniform velocity,non-uniform acceleration,সুষম ত্বরণে,সুষম ভরবেগে,সুষম বেগে,অসম ত্বরণে,a
What is the motion of an object oscillating by a spring?,স্প্রিং এ ঝুলানো দুলতে থাকা বস্তুর গতি কীরূপ?,Periodic motion,Circular motion,Translational motion,Sinuous motion,পর্যায় গতি,ঘূর্ণন গতি,চলন গতি,বক্র গতি,a
A moving object's kinetic energy will be 27 times if the object's-,কোনো গতিশীল বস্তুর গতি শক্তি 27 গুণ হবে যদি বস্তুর-,mass is 9 times and velocity 3 times,momentum is 3 times,both mass and velocity will be 3 times,mass in 3 times and velocity 9 times,ভর নয়গুণ ও বেগ তিনগুণ হয়,ভরবেগ তিনগুণ হয়,ভর ও বেগ প্রত্যেকটি তিনগুণ হয়,ভর তিনগুণ ও বেগ নয় গুণ হয়,c
What is the source of renewable energy?,নবায়নযোগ্য শক্তির উৎস কোনটি?,Oil,Nuclear,Geothermal,coal,তেল,নিউক্লিয়ার,ভূতাপীয়,কয়লা,c
Which of the following is semi- conductor?,নিচের কোনটি অর্ধ-পরিবাহী?,Glass,Gold,Rubber,Germanium,কাচ,সোনা,রাবার,জার্মেনিয়াম,b
What is used in a nuclear reactor to absorbe neutron?,নিউক্লিয়ার রিঅ্যাক্টরে নিউট্রন শোষণ করার জন্য কোনটি ব্যবহৃত হয়?,Control rod,proton,uranium,Uranium,কন্ট্রোল রড,প্রোটিন,ইউরেনিয়াম,নিউট্রিনো,a
Which one is the unit of intensity of sound ?,শব্দের তীব্রতার একক কোনটি?,Wm^{-1},Wm^{-2},Jm^{-2},Nm^{-2},Wm^{-1},Wm^{-2},Jm^{-2},Nm^{-2},b
The length of one smallest division of main scale of a slide calipers is 1 mm. Number of division of vernier scale is 10. What is the vernier constant ?,একটি স্লাইড ক্যালিপার্সের প্রধান স্কেলের ক্ষুদ্রতম 1 ঘরের দৈর্ঘ্য 1 mm । ভার্নিয়ার স্কেলের ভাগ সংখ্যা 10 । ভার্নিয়ার ধ্রুবকের মান কত?,0.01 cm,0.001mm,0.001 m,0.1 m,0.01 cm,0.001mm,0.001 m,0.1 m,a
If an object is thrown certically upwaed with a velocity 100 ms^{-1} at what maximum height will it reach?,100 ms^{-1} বেগে খাড়া উপরের দিকে নিক্ষিপ্ত বস্তু সর্বোচ্চ কত উচ্চতায় উঠবে?,510 m,410 m,210 m,110 m,510 m,410 m,210 m,110 m,a
Which one is fundamental unit?,কোনটি মৌলিক একক?,Joule,Newton,Candela,Pascal,জুল,নিউটন,ক্যান্ডেলা,প্যাসকেল,c
Who predicted the existence of an anti light particle by the combination of quantum theory and the theory of relativity?,কোয়ান্টাম তত্ত্বের সাথে থিওরি অব রিলেটিভিটি ব্যবহার করে কোন বিজ্ঞানী প্রতি পদার্থের অস্তিত্ব ঘোষণা করেন?,Maxwell,Dirac,Einstein,Einstein,ম্যাক্সওয়েল,ডিরাক,আইনস্টাইন,প্ল্যাঙ্ক,b
"In case of efficiency
 i. efficiency = \frac{Energy wasted}{Total energy given}
 ii. efficiency = \frac{Output effective energy}{Total energy given}
 iii. efficiency = \frac{Energy given - Energy wasted}{Total energy given}
 Which one is correct?","কর্মদক্ষতার ক্ষেত্রে-
 i. কর্মদক্ষতা = \frac{অপচয়কৃত শক্তি}{মোট প্রদত্ত শক্তি}
 ii. কর্মদক্ষতা = \frac{লভ্য কার্যকর শক্তি}{মোট প্রদত্ত শক্তি}
 iii. কর্মদক্ষতা = \frac{প্রদত্ত শক্তি - অপচয়কৃত শক্তি}{প্রদত্ত শক্তি}
 নিচের কোনটি সঠিক?",i,i and iii,ii and iii,"i, ii and iii",i,i ও iii,ii ও iii,"i, ii ও iii",c
Which one is non renewable energy?,কোনটি অনবায়নযোগ্য শক্তি?,Geothermal,Hydroelectricity,Solar energy,Nuclear energy,জিওথার্মাল,জলবিদ্যুৎ,সৌরশক্তি,নিউক্লিয়ার শক্তি,d
Which one is the dimension of stress?,পীড়নের মাত্রা কোনটি?,ML^{-1}T^{-2},ML^{2}T^{-2},ML^{2}T^{-3},ML^{-2}T^{-3},ML^{-1}T^{-2},ML^{2}T^{-2},ML^{2}T^{-3},ML^{-2}T^{-3},a
"The volume of an onject an object of mass 100 kg is 0.2 m^{3}. If the object is released in water, then it will-",100 kg ভরের কোনো একটি বস্তুর আয়তন 0.2 m^{3} । বস্তুটি পানিতে ছেড়ে দিলে-,float with half immersed,float with partly immersed,float with completely immersed,cmpletely sink placing at the bottom,অর্ধেক নিমজ্জিত অবস্থায় ভাসবে,আংশিক নিমজ্জিত অবস্থায় ভাসবে,সম্পূর্ণ নিমজ্জিত অবস্থায় ভাসবে,সম্পূর্ণ ডুবে তলদেশে স্থিত হবে,a
Which one is the unit of Young's modulus?,ইয়াংস মডুলাসের একক কোনটি?,Nm^{-2},Nm^{-1},Nm^{-3},Nm^{-3},Nm^{-2},Nm^{-1},Nm^{-3},Nm^{-3},a
The height of a man is 168 cm. What is the required minimum length of a mirror to see a full-length image?,একজন ব্যাক্তির উচ্চতা 168 cm । পূর্ণবিম্ব দেখার জন্য তার কমপক্ষে কত দৈর্ঘ্যের সমতল দর্পণের প্রয়োজন?,84 cm,168 cm,112 cm,336 cm,84 cm,168 cm,112 cm,336 cm,a
What will be the image if an object is placed between the principal focus and pole of a concave mirror?,অবতল দর্পণে প্রধান ফোকাস ও মেরুর মধ্যে লক্ষ্যবস্তু রাখলে বিম্বটি কেমন হবে?,Real and inverted,Virtual and erect,Virtual and diminished,Real and magnified,বাস্তব ও উল্টো,অবাস্তব ও সোজা,অবাস্তব ও খর্বিত,বাস্তব ও বিবর্ধিত,b
Which relation is correct?,কোন সম্পর্কটি সঠিক?,F_{s} = - K_{x},\frac{1}{u} + \frac{1}{f} = \frac{1}{v},T = 2\pi \sqrt{\frac{g}{1}},f = v\lambda,F_{s} = - K_{x},\frac{1}{u} + \frac{1}{f} = \frac{1}{v},T = 2\pi \sqrt{\frac{g}{1}},f = v\lambda,a
1 picometer = How much cenbtimeter?,1 পিকোটার = কত সেন্টিমিটার?,10^{-8},10^{-16},10^{-12},10^{-10},10^{-8},10^{-16},10^{-12},10^{-10},d
"Determine the length of the rod. For masuring the rod use a Slide calipers scale amd found the reading of main scame was 5 cm, Vernier constant is 0.1mm.","একটি দন্তকে স্নিইড ক্যালিপার্সের সাহায্যে পরিমাণ করতে গিয়ে তার প্রধান স্কেল পাঠ 5 cm, ভার্নিয়ার সমপাতন 7 cm এবং ভার্নিয়ার ধ্রুবক 0.1 mm । দন্ডটির দৈর্ঘ্য নির্ণয় কর।",5.7cm,5.7 mm,5.07 mm,5.07 cm,5.7 cm,5.7 mm,5.07 mm,5.07 cm,d
"Velocity is a-
 i. fundamental quantity 
 ii. Vectory quantity 
 iii.dimension = LT^{-1}
 Which one is correct?","বেগ একটি- 
 i. মৌলিক রাশি 
 ii. ভেক্টর রাশি
 iii. মাত্রা = LT^{-1}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"Renewable energy source-
 i. tide 
 ii. Solar energy 
 iii.biogas
 Which one is correct?","নবায়নযোগ্য শক্তির উৎস- 
 i. জোয়ারভাটা
 ii. সৌরশক্তি
 iii. বায়োগ্যাস
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one is the unit of elastic modulus?,স্থিতিস্থাপক গুণাঙ্কের একক কোনটি?,kgns^{-2}kgns^{-3},kgms^{-1},Nm^{-2},Js^{-1],kgns^{-2}kgns^{-3},kgms^{-1},Nm^{-2},Js^{-1],c
How much power in Watt when a man of mass 70 kg clinb in the hill of height 100 m for using 5 minutes? [g = 9.8 ms^{-2}],"70 কেজি ওজনের একজন ব্যক্তি 5 মিনিটে 100 m উচু পাহাড়ে উঠে, তার ক্ষমতা কত ওয়াট?
 [g = 9.8 ms^{-2}]",3500,1400,228.67,0.14,3500,1400,228.67,0.14,c
"Two bodies of equal volune but-
 i. higher density has heavier
 ii. Lower dinsity has heavier 
 iii.lower density has lighter
 Which one is correct?","দুই বস্তুর আয়তন সমান হলেও যার- 
 i. ঘনত্ব বেশি সেটি ভারী
 ii. ঘনত্ব কম সেটি ভারী
 iii. ঘন্তব কম সেটি হালকা
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
The area of a small amd bigger piston of hydraulis press is 10 cm^{2} and 350cm^{2}. How much force poroduce in bigger piston when 100 N force applied on the smaller piston?,একটি হাইড্রোলিক প্রেসের ছোট ও বড় পিস্টনের ক্ষেত্রফল যথাক্রমে 10cm^{2} ও 350 cm^{2} । ছোট পিস্টনে 100 বল প্রয়োগ করলে বড় পিস্টনে কত বল পাওয়া যাবে?,20 N,3500 N,5000 N,10000 N,20 N,3500 N,5000 N,10000 N,B
Which one happen when time period os greater of a particle in a wave?,তরঙ্গের কোনো কণার পর্যায়কাল বেশি হলে কী ঘটবে?,Decreasing frequency,Increasing frequency,Stop frequency,Frequency unchanged,কম্পাঙ্ক কমে যাবে,কম্পাঙ্ক বেড়ে যাবে,কম্পাঙ্ক থেমে যাবে,কম্পাঙ্ক সমান থাকবে,a
What is the ratio of wave length of the waves that produce in two tuning fork of frequency 200 Hz and 800 Hz?,দুইটি সুর শলাকার কম্পাঙ্ক 200Hz ও 800 Hz শলাকা দুটি হতে প্রাপ্ত তরঙ্গ দৈর্ঘ্যর অনাপাত কত?,01:04,04:01,01:02,02:01,01:04,04:01,01:02,02:01,b
Which instrument used to catch the reflecting wave fot determine the depth of thr ocean?,সমুদ্রের গভীরাত নির্ণয়ে প্রতিফলিত কোন যন্ত্রটি দ্বারা ধারণ করা হয়?,Geophone,Radar,Telescope,Periscope,জিওফোন,রাডার,টেলিস্কোপ,পেরিস্কোপ,a
Which type of image not form in convex mirror?,উত্তল দর্পণে কোন প্রতিবিম্ব উৎপন্ন হয় না?,Virtual,Straight,Real,Small in size,অসদ,সোজা,বাস্তব,আকার ছোট,c
Why concave mirror use in telescope?,টেলিস্কোপে অবতল দর্পণ ব্যবহার করা হয় কেন?,For create clear image,Magnification of the image,Smaller image,Image is upright,স্পস্ট প্রতিবিম্ব তৈরি করা,প্রতিবিম্ব বিবর্ধিত করা,প্রতিবিম্ব খর্বিত করা,প্রতিবিম্ব সোজা করা,a
Which one is the unit of specific resistance?,আপেক্ষিক রোধের একক কোনটি?,\Omega m,\Omega / m,(\Omegam)^{-1},\Omega / m^{2},\Omega m,\Omega / m,(\Omegam)^{-1},\Omega / m^{2},a
How many times the kinetic energy of a definite mass when it's velocity replaced by twice time?,কোন নির্দিষ্ট ভরের কোনো বস্তুর বেগ দ্বিগুন করলে গতিশক্তি কত গুন হবে?,Four time,Twice time,Half,Equal,চারগুন,দ্বিগুন,অর্ধেক,সমান,a
"If a sound with 2 KHz passes through an iron pipe in 5130 Ms^{-1} Belocity, what will be the wavelwnght of thet sound?",2 kHz কম্পাঙ্কবিশিষ্ট শব্দ লোহার পাইপে 5130 ms^{-1} বেগে সঞ্চালিত হলে উক্ত শব্দের তরঙ্গদৈর্ঘ্য কত?,0.38 m,1.18m,2.57 m,5.13 m,0.38 m,1.18m,2.57 m,5.13 m,c
"the specific resistance of a conductor will change if-
 i. The conductor's length changes 
 ii. Temperature changes 
 iii.material changes
 Which one is correct?","পরিবাহী পদার্থের আপেক্ষিক রোধ পরিবর্তন হবে যদি
 i. পরিবাহীর দৈর্ঘ্য পরিবর্তন হয়
 ii. তাপমাত্রা পরিবর্তন হয়
 iii. উপাদান পরিবর্তন হয়
 নিচের কোনটি সঠিক?",i,iii,i and ii,ii and iii,i,iii,i ও ii,ii ও iii,d
What is the velocity of sound in Mercury?,পারদে শব্দের বেগ কত?,1284 ms^{-1},1450 ms^{-1},1493 ms^{-1},12000ms^{-1},1284 ms^{-1},1450 ms^{-1},1493 ms^{-1},12000ms^{-1},b
"If a moving fan is switched off, what will be the type of motion of the blades of the fan?",চলন্ত ফ্যানের লুইচ বন্ধ করে দিলে ফ্যানের পাখার গতি কোন ধরনের?,Circular,Periodic,Translational,Harmonic,ঘূর্ণন,পর্যাবৃত্ত,চলন,স্পন্দন,a
Pascal is the unit of which quantity?,প্যাসকেল নিচের কোন রাশির একক?,stress,Strain,Linetic energy,Buoyancy,পীড়ন,বিকৃতি,গতিশক্তি,প্লবতা,a
the atmospheric pressure of a certain place is 93296 Pa. density of lerocene is 800 kgm^{-3} and density of benzene is 980 kgm^{-3} in that place. Which one is correcet?,"কোনো স্থানের বায়ুমণ্ডলীয় চাপ 93296 Pa. কেরোসিনের ঘনত্ব 800 kgm^{-3} এবং বেনজিনের ঘনত্ব 980 kgm^{-3}.
 নিচের কোনটি সঠিক?",Height of Mercury column is 76 cm,Height of water column is 9.52 m,Height of kerosene column is 9.71 m,Height of benzene column is 11.9 m,পারদ স্তম্ভের উচ্চতা 76 cm,পানি স্তম্ভের উচ্চতা 9.52 m,কেরোসিন স্তম্ভের উচ্চতা 9.71 m,বেনজিন স্তম্ভের উচ্চতা 11.9 m,b
who gave correct mathematical explanation of quantum theory of rediation?,বিকিরণ সংক্রান্ত কোয়ান্টাম সংখ্যায়ন তত্ত্বের সঠিক গাণিতিক ব্যাখ্যা প্রদান করেন-,Einstein,Satyendra Nath Bose,Max planck,Maxwell,আইনস্টাইন,সত্যেন্দ্রনাথ বসু,ম্যাক্স প্ল্যাঙ্ক,ম্যাক্সওয়েল,c
What is the equivalent resistanrae of the circuit?,বর্তনীর তুল্যরোধ কত?,3.94\Omega,5.5\Omega,8.1\Omega,8.55\Omega,3.94\Omega,5.5\Omega,8.1\Omega,8.55\Omega,b
What is the fuel of fusion?,ফিউশনের জ্বালানী কোনটি?,Helium,Hydrogen,"uraniu,",Water,হিলিয়াম,হাইড্রোজেন,ইউরেনিয়াম,পানি,b
Which friction one faces while swimming ?,পানিতে সাঁতার কাটার সময় কোন বাধা অতিক্রম করতে হয়?,Static friction,sliding griction,Rolling friction,Fluid friction,স্থিতি ঘর্ষণ,গতি ঘর্ষণ,আবর্ত ঘর্ষণ,প্রবাহী ঘর্ষণ,d
A player throws a ball up with the velocity 72 Kmh^{-1} certicallyt. What will be the maximum height the ball eill teavel?,একজন খেলোয়াড় একটি বলকে 72 Kmh^{-1} বেগে খাড়া উপরের দিকে ছুড়লে বলটা সর্বোচ্চ কত উপরে উঠবে?,40.81 m,20.41 m,14.69 m,7.34 m,40.81 m,20.41 m,14.69 m,7.34 m,b
Which has least elasticity?,নিচের কোনটির স্থিতিস্থাপকতা কম?,Wood,Glass,Bone,Aluminium,কাঠ,কাচ,হাড়,অ্যালুমিনিয়াম,c
Which two fundamental forces form electroweak force?,নিচের দুটি মৌলিক বলের সমন্বয়ে ইলেক্ট্রোউইক ফোর্স গঠিত?,Gravitational force and electrival force,Strong nuclear force and weak nuclear forcce,Electromagnrtic force and weak nuclear force,Gravitational force and strong nuclrar force,মহাকর্ষ বল ও তড়িৎ বল,সবল নিউক্লিয় বল ও দুর্বল নিউক্লিয় বল,তাড়িত চৌম্বক বল ও দুর্বল নিউক্লিয় বল,মহাকর্ষ বল ও সবল নিউক্লিয় বল,c
What colour a redn rpse turn into in red colour?,লাল আলোতে লাল গোলাপ ফুল কোন বর্ণের দেখায়?,red,pink,Green,Blue,লাল,গোলাপী,সবুজ,নীল,a
Which scientist first gave the idea of the solar centric solar system?,কোন বিজ্ঞানী সূর্যকেন্দ্রিক সৌরজগতের ধারণা দিয়েছিলেন?,Galileo,Copernicus,Aristarchus,Seleucus,গ্যালিলিও,কোপার্নিকাস,আরিস্তারাকস,সেলেউকাস,b
"Motion of the vibration of an atom-
 i. Linear motion
 ii. Periodic motion 
 iii.harmonic motion
 Which one is correct?","পরমাণুর কম্পনের গতি
 i. সরল রৈখিক গতি
 ii. পর্যাবৃত্ত গতি
 iii. স্পন্দন গতি
 নিচের কোনটি সঠিক?",i,iii,ii and iii,"i, ii and iii",i,iii,ii ও iii,"i, ii ও iii",c
If absolute errors are equal. Which books length's relative error will be more? The length-,চূড়ান্ত ত্রুটি সমান হলে কোন বইটির দৈর্ঘ্যের আপেক্ষিক ত্রুটি বেশি হবে? যার দৈর্ঘ্য-,10 cn,15 cn,20 cn,25 cm,10 cm,15 cm,20 cm,25 cm,a
"What is percentage of visible planets, stars amd galaxies of the unicerse can the physicist explain?","পদার্থবিজ্ঞানীরা বিশ্ব ব্রক্ষ্মন্ডের দৃশ্যমান গ্রহ, নক্ষত্র ও গ্যালাক্সির কত শতাংশ ব্যাখ্যা করতে পারেন?",4%,5%,6%,7%,4%,5%,6%,7%,a
Which two of the forces combine electro-weak force?,‘ইলেকট্রো উইক ফোর্স কোন দুইটি বলের সমন্বিত রুপ?,Electromagnetic force amd geavitatiomal force,Electromagnetic force amd weak nuclear force,Electromagnetic force amd strong nuclear,strong nuclear force amd weak nuclear force,বিদ্যুৎ চৌম্বকীয় বল এবং মহাকর্ষ বল,বিদ্যুৎ চৌম্বকীয় বল এবং দূর্বল নিউক্লিউ বল,বিদ্যুৎ চৌম্বকীয় বল এবং সবল নিউক্লিউ বল,সকল নিউক্লিয় বল এবং দূর্বল নিউক্লিয় বল,b
By which equation will the mass of the object be possible to convert into energy?,কোন সূত্রের সাহায্য বস্তুর ভরকে শক্তিতে রুপান্তর করা সম্ভব?,E = \frac{1}{2} mv^{2},E = mgh,E = mc^{2},F = ma,E = \frac{1}{2} mv^{2},E = mgh,E = mc^{2},F = ma,c
What is the amount of Uranium in nature?,প্রকৃতিতে ইউরেনিয়াম এর পরিমান কত?,0.90%,0.70%,0.60%,0.40%,0.90%,0.70%,0.60%,0.40%,b
"Which one of follewowing conditions do the laws of falling bodies of Galileo follow?
 i. All bodies fall from rest 
 ii. All bodies fall from same height 
 iii. All bodies fall freely 
 Which one is correct?","বিজ্ঞানী গ্যালিলিও এর পড়ন্ত বস্তুর সূত্রগুলো নিচের কোন শর্তগুলো মেনে চলে? 
 i. স্থির অবস্থা থেকে বস্তুগুলো পড়তে হবে 
 ii. একই উচ্চতা থেকে বস্তুগুলো পড়তে হবে 
 iii. বস্তুগুলো মুক্তভাবে পড়তে হবে",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
How much stronger is electromagnetic force than gravitational force?,বিদ্যুৎ চৌম্বকীয় বল মাধ্যকর্ষণ শক্তি তুলনায় কতগুণ শক্তিশালী?,10^{36},10^{39},10^{63},10{93},10^{36},10^{39},10^{63},10{93},a
What is the value of gravitational constant G?,মহাকাষীয় ধ্রুবক G এর মান কত?,6.67 \times 10^{11}Nm^{2}kg^{-2},6.67 \times 10^{-11}Nm^{-2}kg^{-2},6.67 \times 10^{-11}Nm^{2}kg^{-2},6.67 \times 10^{11}Nm^{2}kg^{-1},6.67 \times 10^{11}Nm^{2}kg^{-2},6.67 \times 10^{-11}Nm^{-2}kg^{-2},6.67 \times 10^{-11}Nm^{2}kg^{-2},6.67 \times 10^{11}Nm^{2}kg^{-1},c
"Density of cork is 0.25 \times 10^{3}kg/m^{3}, What percentage of the cork will remain under water if it is released in water to float?","কর্কের ঘনত্ব 0.25 \times 10^{3} kgm^{=-3} হলে, পানিতে ভাসিয়ে দিলে তার কত শতাংশ পানির নিচে থাকবে?",25%,15%,10%,5%,25%,15%,10%,5%,a
Which one is the unit of pressure?,চাপের একক নিচের কোনটি?,kgm^{-1}s^{-2},kgm^{2}s^{-2},kgms^{-2},kgm^{2}s^{-3},kgm^{-1}s^{-2},kgm^{2}s^{-2},kgms^{-2},kgm^{2}s^{-3},a
A stick of a match box is rubbed with box by-a-force-of-3N. What amount of energy is consumed in rubbibg the stick if ir is stretched 4 cm?,একটি ম্যাচ বাক্সের কাঠি দিয়ে বাক্সে 3 N বলে ঘষা হলো। কাঠিটিকে 4 cm টানা হলে কাঠি ঘষতে কত শক্তি ব্যয় হলো?,0.12 J,1.2 J,1.176 J,12 J,0.12 J,1.2 J,1.176 J,1.2 J,a
"Whose unit is Nm^{-2}?
 i. pressure
 ii. Stress
 iii.Modulus of elasticity
 Which one is correct?","Nm^{-2} কোনটির একক? 
 i. চাপ 
 ii. পীড়ন
 ii. স্থিতিস্থাপক গুণাঙ্ক
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
The depth of a pond is 3m. What will be the pressure at the bottom of the pond?,একটি পুকুরের গভীরতা 3 m হলে উহার তলদেশে চাপ কত হবে?,2.94 \times 10^{4}Pa,2.09 \times 10^{4}Pa,0.29 \times 10^{4}Pa,2.94 \times 10^{-4}Pa,2.94 \times 10^{4}Pa,2.09 \times 10^{4}Pa,0.29 \times 10^{4}Pa,2.94 \times 10^{-4}Pa,a
"Buoyancy is-
 i. the weight of liquid displaced by the object 
 ii. The resultant upwars force
 iii. Vpg
 Which one is correct?","প্লবতা হলো- 
 i. বস্তু কর্তৃক অপসারিত প্রবাহীর ওজন
 ii. লব্ধি উদ্ধমূখী বল
 iii. Vpg
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
At what position of a concave mirror is the bulb used in torch light kept?,টর্চলাইটে ব্যবহৃত বালবটি অবতল আয়নার কোথায় বসানো থাকে?,Between focal point and pole,Outside the focal point,At the centre of curvature,At focal point,ফোকাস মেরুর মধ্যে,ফোকাস ও বিন্দুর বাহির,বক্রতার কেন্দ্র,ফোকাস বিন্দুতে,d
An object is placed at a distaner 30 cm from a concave mirror and image is formed at a didtance 30 cm away. What will be the focal lengtht of the mirror?,অবতল দর্পণ হতে 30 cm দূল বস্ত রাখলে 30 cm দূরে প্রতিবিম্ব গঠিত হয়। দর্পণটির ফোকাস দূরত্ব কত?,0.30 m,0.15 m,1.00 m,1.5 m,0.30 m,0.15 m,1.00 m,1.5 m,b
