English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What is the ratio bhtween RBC and WBC?,লোহিত কণিকা ও শ্বেত রক্তকণিকার অনুপাত কত?,1:25,25:1,1:700,700:1,১:২৫,২৫:১,১:৭০০,৭০০:১,d
Whice enzymc digest protein?,কোনটি আমিষ পরিপাককারী এনজাইম?,Lypase,Lactase,Renin,Isomaltase,লাইপেজ,ল্যাকটেজ,রেনিন,আইসোমলটেজ,c
Where maximum food absorb in the digestive tract?,সবচেয়ে বেশি খাদ্যসার শোষণ হয় কোথায়?,llieum,Jejunum,Caecum,Duodenum,ইলিয়াম,জেজুনাম,সিকাম,ডিওডেনাম,a
Whice is not responsible for blood clotting in blood vessel?,রুক্তনালিতে রক্ত জমাট বদ্ধ না হওয়ার জন্য দায়ী কোনটি,Cholecystokinin,Histamine,Heparine,Enterokinin,কোলেসিস্টেকাইনিন,হিস্টামিন,হেপারিন,এন্টারোকাইনিন,c
"In cardiac muscle-
 i. intercalated disk
 ii. Fasciculus
 iii. Myofibril
 Which one is correct?","কার্ডিয়াক পেশিতে থাকে-
 i. ইন্টারক্যালেটেড ডিস্ক
 ii. ফ্যাসিকুলাস
 iii. মায়োফাইব্রিল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which is secreted from the wall of alveolus?,কোনটি অ্যালভিওলাসের প্রাচীর থেকে ক্ষরণ হয়?,Plasma fluid,Seroud fluid,Mucin,Surfactant,প্লাজমা ফ্লুইড,সেরাস ফ্লুইড,মিউসি,সারফেকটেন্ট,d
Which is called pace-maker of heart?,কোনটিকে হৃৎপিন্ডের পেসমেকার বলা হয়?,Sino-atrial node,Purkinje fibre,Atrio-ventricular node,Bundle of His,সাইনো অ্যাট্রিয়াল নোড,পাারকিনজি তন্তু,অ্যাট্রিও-ভেনট্রিকুলার নোড,বান্ডেল অব হিজ,a
What is the broad part of the forehead of the Grasshopper called?,ঘাস ফড়িং এর কপালের চওড়া অংশকে কী বলে?,Clypeus,Frons,Gena,Vertex,ক্লাইপিয়াস,ফ্রান্স,জেনা,ভার্টেক্স,b
Which plays role in creation of red blood corpuscles?,লোহিত রক্তকণিকা সৃষ্টিতে ভূমিকা রাখে কোনটি?,Keto acid,Folic acid,Lactic acid,Amino acid,কিটো এসিড,ফলিক এসিড,ল্যাকটিক এসিড,অ্যামিনো এসিড,b
Which process helped by mantle membrane?,ম্যান্টল পর্দাসহায়তা করে কোন প্রক্রিয়ায়?,Respiration,Absorption,Circulation,Digestion,শ্বসন,শোষণ,সংবহন,পরিপাক,a
"The children of Mr. and Mrs. Naim are 50% more likely to be infected with sex-linked disease and 50% more likely to be carriers.
 When can children be like that according to stem?","জনাব নাইম দম্পতির সন্তান্দের ৫০% লিঙ্গ নির্ধারিত রোগে আক্রান্ত এবং ৫০% বাহক হওয়ার সম্ভাবনা রয়েছে।
 
 উদ্দীপকের আলোকে সন্তানরা কখন এমন হতে পারে?","Father infected,mother normal","Father normal,nother infected","Father infected,mother carrier",Both parents are infected,"বাবা আক্রান্ত, মা স্বাভাবিক","বাবা স্বাভাবিক, মা আক্রান্ত","-বাবা আক্রান্ত, মা বাহক",বাবা-মা উভয়েই আক্রান্ত,c
Which is the smallest part of small intestine?,ক্ষুদ্রান্ত্রের ক্ষুদ্র অংশ কোনটি?,Pylorus,Duodenum,Jejunum,Ileum,পাইলোরাস,ডিওডেনাম,জেজুনাম,ইলিয়াম,b
"Non-functionanl and unformed organs of the human body are-
 i. nictitating membrane
 ii. Ear muscles
 iii. Appendix
 Which one is correct?","মানবদেহের অকার্যকর ও অগঠিত অঙ্গ-
 i. উপপল্লব
 ii. কর্ণপেশি
 iii. অ্যাপেনডিক্স
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,i.ii & iii,i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
What Kinds of chemical substance is heparin?,হেপারিন কী ধরনের রাসায়নিক পদার্থ?,Lipoprotein,Phospho protein,Muco protein,Fivo protein,লিপোপ্রেটিন,ফসফোপ্রোটিন,মিউকোপ্রাটিন,ফ্ল্যাভোপ্রোটিন,c
"Haemocoel associated Phylums are-
 I. mollusca
 ii. Annelida
 iii. Arthropoda","হিমোসিলযুক্ত পর্ব
 i. Mollusca
 ii. Annelida
 iii. Arthropoda
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Which cartilage is seen in pubic symphysis?,পিউবিক সিমফাইসিসে কোন ধরনের তরুণাস্থি দেখা যায়?,White fibrous,Yellow fibrous,Calcified,Hyaline,শ্বেত তন্তুময়,পীত তন্তুময়,ক্যালসিফাইড,স্থায়ালিন,a
Which of the following artery is associated with the pseudo branch in Rui?,রুই মাছে সিউডোব্রাঙ্কের সাথে যুক্ত থাকে কোন ধমনি?,Ventral,Caudal,Carotid,Ophthalmic,অঙ্কীয়,কড়াল,ক্যাারোটিড,অ্যাপথ্যালমিক,d
Who identified the weak points of Darwin's theory at primary stage?,প্রাথমিক পর্যায় ডাউইন-এর মতবাদের দুর্বল দিকগুলো চিহ্নিত করেন কে?,T.H.Huxley,Spencer,Weismann,E.Haeckel,টি এইচ হাক্সলি,স্পেনসার ভাইজম্যান,ভাইজম্যান,ই. হেকেল,c
What time of second the stimulus stay in the AVN?,AVN এ উদ্দীপনা কত সেকেন্ড স্থায়ী থাকে?,0.3,0.03,0.09,0.16,0.3,0.03,0.09,0.16,c
How many gill arches are seen on each side of the pharynx of Rui fish?,রুই মাছের গলবিলের প্রতি পার্শ্বে কতগুলো ফুলকা আর্চ থাকে?,2,3,4,5,2,3,4,5,d
What type of white blood corpuscles is the huge in amount?,কোন ধরনের শ্বেত রক্তকণিকা পরিমাণে বেশি থাকে?,Neutrophil,Basophil,Eosinophil,Monocite,নিউট্রোফিল,বেসোফিল,ইওসিনোফিল,মনোসাইট,a
Which nerve plays role in the neural control of respiration?,শ্বসনের স্নায়ুবিক নিয়ন্ত্রণে কোন স্নায়ু ভূমিকা রাখে?,Abducens,Iliac,Olfactory,Vagus,অ্যাবডুসেন্স,ইলিয়াক,অলফ্যাক্টরি,ভ্যাগাস,d
Which is applicable for the intercalated disc related muscles?,ইন্টারক্যালেটেড ডিস্ক সংশ্লিষ্ট পেশির ক্ষেত্রে প্রযোজ্য কোনটি?,Easily exhausted,Constriction expand is spontaneous,Breanchless,Nucleus mumerous,সহজেই অবসাদগ্রস্ত হয়,সংকোচন-প্রসারণ স্বতঃস্ফূর্ত,শাখাবিতীন,নিউক্লিয়াস অসংখ্য,b
Which is the sex determaination methood of Grasshopper?,ঘাসফড়িং-এর লিঙ্গ নির্ধারণ পদ্ধতি কোনটি?,XX-XY,XX-XO,ZZ-ZW,ZZ-ZO,XX-XY,XX-XO,ZZ-ZW,ZZ-ZO,b
What is the name of the disease when any obstruction create in flowing blood to cardiac muscles through coronary artey?,করোনারি ধমনির মধ্য দিয়ে হৃদপেশিতে রক্ত প্রবাহ বাধাগ্রস্ত হলে সৃষ্ট রোগের নাম কী?,Angina,Heart failure,Heart attack,Stroke,অ্যাানজাইনা,হার্ট ফেইলিউর,হার্ট অ্যাটাক,স্ট্রোক,a
"Facial bones-
 i.vomar
 ii. Paletine
 iii. Parietal
 Which one is correct?","মুখমন্ডলীয় অস্থি-
 i. ভোমার
 ii. প্যালেটাইন
 iii. প্যারাইটাল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Otitis is a disease of which organ?,ওটিটিস মিডিয়া' কোন অঙ্গের রোগ?,Eye,Nose,Earth worm,Neck,চোখ,নাক,কান,গলা,c
What is the name of the largest bone in human body?,মানবদেহে সবচেয়ে বড় অস্থির নাম কী?,Stapes,Radius,Humerus,Femur,স্টেপিস,রেডিয়াস,হিউমেরাস,ফিমার,d
"Genotype of homozygous dominant is-
 i. TT
 ii.Tt
 iii.tt
 Which one is correct?","হোমোজাইগাস প্রকট বৈশিষ্ট্যের জিনোটাইপ-
 i. TT
 ii. Tt
 iii. tt
 নিচের কোনটি সঠিক?",i,ii,iii,i & ii,i,ii,iii,i ও ii,a
Which one is the ratio of dihybrid cross?,কোনটি ডাইহাইব্রিড ক্রসের অনুপাত?,2:01,3:01,1:02:01,9:3:3:1,২:১,৩:১,১:২:১,৯:৩:৩:১,d
"Mr. Sakil is a man of normal eye-sight.But his only son is colour-blind(Gene responsible for colour blindness is X normal gene is X'
 What is he genotype of his son?","সাকিল সাহেব স্বাভাবিক দৃষ্টিসম্পন্ন পুরুষ। কিন্তু উনার একমাত্র পুত্র বর্ণান্ধ। (বর্ণান্ধতার জন্য দায়ী জিন X^{c}, স্বাভাবিক জিন X^{t})
 
 সন্তানের জিনোটাইপ কী হবে?",X^{t}t^{t},X^{t}X^{c},X^{t}Y,X^{c}Y,X^{t} X^{t},X^{t} X^{c},X^{t} Y,X^{c} Y,d
"Mr. Sakil is a man of normal eye-sight.But his only son is colour-blind(Gene responsible for colour blindness is X normal gene is X'
Probable genotype of Mr. Sakil's wife is-
 i. X^{t}X^{t}
 ii. X^{t}X^{c}
 iii. X^{c}X^{c}
 Which one is correct?","সাকিল সাহেব স্বাভাবিক দৃষ্টিসম্পন্ন পুরুষ। কিন্তু উনার একমাত্র পুত্র বর্ণান্ধ। (বর্ণান্ধতার জন্য দায়ী জিন X^{c}, স্বাভাবিক জিন X^{t})
 
 সাকিল সাহেবর স্ত্রীর সম্ভাব্য জিনোটাইপ হবে-
 i. X^{t} X^{t}
 ii. X^{t} X^{c}
 iii. X^{c} X^{c}
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
Which class is evolved from Archaeopteryx?,Archaneopteryx থেকে কোন শ্রেষির উৎপত্তি হয়েছে,Osteichtyes,Amphibia,Reptilia,Aves,Osteichthyes,Amphibia,Reptilia,Aves,d
Which Era is called 'Age of Reptiles'?,সরীসৃপের যুগ বলা হয় কোন মহাকালকে?,Archeozoic,Proterozoic,Mesozoic,Paleozolc,আর্কিওজোয়িক,প্রোটারোজোয়িক,মেসোজোয়িক,প্যালিওজোয়িক,c
What is called the theory of natural selection?,প্রাকৃতিক নির্বাচন মতবাদকে কী বলা হয়?,Lamarkism,Darwinism,Neo-Lamarkism,Altruism,ল্যামর্কিজম,ডারউনিজম,নব্য-ল্যামার্কিজম,অ্যান্ট্রুইজম,b
Flame cell'-is the characteristic of which phylum?,শিখা কোষ'- কোন পর্বের প্রাণীদের বৈশিষ্ট্য?,Cnidaria,Platyhellmlinthes,Nematoda,Mollusca,Cnidaria,Platyhelminthes,Nemaloda,Mollusca,b
In which muscle is found 'Intercalated Dise'?,ইন্টাক্যালেটেড ডিস্ক পাওয়া যায় কোন পেশিতে?,Smooth muscle,Skeletal Muscle,Cardiac muscle,Voluntary muscle,মসৃণ পেশি,কঙ্কাল পেশি,কাার্ডিয়াক পেশি,ঐচ্ছিক পেশি,c
Which one of the following is a diploblastic animal?,নিচের কোনটি দ্বিভ্রূণস্তরী প্রাণী?,Hydra,Taenia,Fasciola,Hirudo,Hydra,Taemia,Fasciola,Hiraudo,a
Which anima is chordate but not vertebrate?,কোন প্রাণীটি কার্ডেট কিন্তু মেরুদন্ডী নয়?,Astropecten,Ascidia,Petromyzon,Scoliodon,Astopecten,Ascidia,Ptromyzon,Scoliodon,b
In which cell do hipnotoxin present?,হিপনোটক্সিন কোন কোষে থাকে?,Nutritive cell,Cnidocyte,Interstitial cell,Gland cell,পুষ্টি কোষ,নিভোসাইট,ইন্টারস্টিশিয়াল,গ্রন্থি কোষ,b
Which one of the following is correct?,নিচের কোনটি সঠিক?,Epidemis develops from embryonic endoderm,Gastrodermis develops from embryonic ectoderm,Coelenteron is covered with gastrodermis,Coelenteron is filled with coelomic fluid,এপিডার্মিস ভ্রূণীয় এন্ডোডার্ম থেকে উৎপন্ন হয়,গ্যাস্ট্রোডার্মিস ভ্রূণীয় এক্টোডার্ম থেকে উৎপন্ন হয়,সিলেন্টেরন গ্যাস্ট্রোডার্মিস দ্বারা আবৃত,সিলেন্টেরন সিলোমিক তরল দ্বারা পূর্ণ থাকে,c
How many regions are present in Grasshopper's body?,ঘাাসফড়িং এ দেহ কয়টি অঞ্চলে বিভক্ত?,2,3,4,5,2,3,4,5,b
which one is the unit of compound eye?,পুঞ্জাক্ষির একক কোনটি?,Ostia,Spiracle,Ocelli,Ommatidia,অস্টিয়া,সো্পাইরাকল,ওসেলি,ওমাটিডিয়াম,d
What is the name of scale found in Rui Fish?,রুই মাছের আঁইশের নাম কী?,Cycloid,Ptenoid,Placoid,Ganoid,স্টোইক্লয়েড,টিনয়েড,প্লাকয়েড,গ্যানয়েড,a
What is called the storage of glycogen in the liver?,যকৃতে গ্লাইকোজেন সঞ্চয়কে কী বলে?,Glycogenesis,Glycolysis,Glycogenolysis,Gluconeogenesis,গ্লাইকোজেনেসিস,গ্লাইকোলাইসিস,গ্লাইকোজেনোলাইসিস,গ্লুকোনিওজেনেসিস,a
Which one is an enzyme of Carbohydrate digestion?,কোনটি শর্করা পরিপাককারী এনজাইম?,Ptyalin,Pepsin,Tripsin,Lipase,টায়ালিন,পেপসিন,ট্রিপসিন,লাইপেজ,a
Which one of the following is an unit of lung,নিচের কোনটি ফুসফুসের একক?,Neuron,Nepgron,Alveolus,Bronchiole,নিউরন,নেফ্রন,অ্যালভিওলাস,ব্রঙ্কিওল,c
"During inspiration,it happens-
 i.contraction of diaphragm muscle
 ii. Contraction of inercostal muscle
 iii. Increase the volume of thorax
 Which one is correct?","প্রাশ্বাস বা শ্বাসগ্রহণের সময় ঘটে-
 i. ডায়াফ্রাম
 ii. ইন্টারকোস্টাল পেশির সংকোচন
 iii. বক্ষগহ্বরের আয়তন বৃদ্ধি
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
"Which blood group carrier is known as ""Universal Donor""?",কোন রক্তগ্রুপ বহনকারী ব্যক্তিকে সর্বজনীন দাতা বলা হয়?,A,B,O,AB,A,B,O,AB,c
The total number of lumber vertebrac in human vertebral column-,মানুষের মেরুদন্ডে লাম্বার কশেরুকার সংখ্যা-,4,5,6,7,4,5,6,7,b
Germplasm theory introduced by-,জার্ম প্লাজম মতবাদ প্রবর্তন করেন-,Weismann,Darwine,Huxley,Lamarck,ভ্যাইজম্যান,ডারউইন,হাক্সলে,ল্যার্মাাক,a
"Types of of pring (f1) produced from haemophilic father and normal mother will be-
 i. haemophilic carrier daughter
 ii. Normal son
 iii.haemophilic son
 Which one is correct?","হিমোফিলিক পুরুষ ও স্বাভাবিক মহিলার প্রজননে (F_{1}) সন্তান হবে
 i. হিমোফিলিক
 ii. স্বাভাবিক পুত্র
 iii. হিমোফিলিক পুত্র
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Alveolous founds in-,অ্যালভিওলাস পাওয়া যায়-,heart,brain,kidney,lung,হৃৎপিন্ডে,মস্তিষ্কে,বৃক্কে,ফুসফুসে,d
The second biggest phylum of the animal kindgom is-,প্রাণিজগতের দ্বিতীয় বৃহত্তম পর্বটি হলো-,Nwmatoda,Annelida,Mollusca,Arthropoda,নেমাটোডা,অ্যানিলিডা,মলাস্কা,আর্থ্রোপোডা,c
"Nematoda-borne diseases in humam are-
 i.taeniasis
 ii.filariasis
 iii.ascariasis","মানুষের নেমাটোড ঘটিত রোগ-
 i. টিনিয়াসিস
 ii. ফাইলেরিয়াসিস
 iii. অ্যাসকারিয়াসিস
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
Which one is Ovoviviparous?,নিম্নের কোনটি ডিম্ব জরায়ুজ প্রাণি-,Frog,Bird,Crocodile,Shark,ব্যাঙ,পাখি,কুমির,হাঙ্গর,d
"In case of hydra,appropriate characteristics are-
 i.rasial symmetry
 ii.choanocyte cells
 iii.coelenteron","হাইড্রার ক্ষেত্রে প্রযোজ্য-
 i. অরীয় প্রতিসাম্য
 ii. কোয়ানোসাইট কোষ
 iii. সিলেন্টেরন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Sensory organ of Rui fish is found in-,রুই মাছের ক্ষেত্রে সংবেদী অঙ্গ থাকে-,Operculum,swim bladder,lateral line,branchiostehgal membrane,কানকুয়ায়,পটকায়,পার্শ্বরেখায়,ব্র্রাঙ্কিওস্টেগাল পর্দায়,c
Gastric juice consists of-,গ্যাস্ট্রিক রসে কোনগুলো বিদ্যমান?,"Pepsin,renin,meusin","tripsin,renin,lipase","Pepsin,tripsin,lipase","Pepsin,tripsin,renin","পেপসিন, রেনিন, মিউসিন,","ট্রিপসিন, রেনিন, লাইপেজ","পেপসিন, ট্রিপসিন, লাইপেজ","পেপসিন, ট্রিপসিন, রেনিন",a
"Glycogen\xrightarrow[]{'X'}Glucose
 The process 'X' is called-","গ্লাইকোজেন \xrightarrow{'X'} গ্লুকোজ
 
 উদ্দীপকের X প্রক্রিয়াটি হলো-",Glycogenesis,Glycolysis,Gluconeogenesis,Glycogenesis,গ্লাইকোজেনেসিস,গ্লাইকোলাইসিস,গ্লাইকোনিওজেনেসিস,গ্লাইকোজেনেসিস,a
"Glycogen\xrightarrow[]{'X'}Glucose
The process as mentioned in the stem,stimulated by which hormone of the following?","গ্লাইকোজেন \xrightarrow{'X'} গ্লুকোজ
 
 উদ্দীপকের প্রক্রিয়াটি উদ্দীপিত হয় নিম্নের কোন হরমোন দ্বারা?",Glucagon,Gastrin,Tripsin,Insulin,গ্লুকাগন,গ্যাস্ট্রিন,ট্রিপসিন,ইনসুলিন,a
Which phase of cardiac cycle requires more times comparatively?,কার্ডিয়াক চক্রের কোন দশাটির তুলনামূলকভাবে বেশি দীর্ঘস্থায়ী?,Atrial systole,Atrial diastole,Ventricular systole,Ventricular diastole,অলিন্দের সিস্টোল,অলিন্দের ডায়াস্টোল,নিলয়ের সিস্টোল,নিলয়ের ডায়াস্টোল,b
pain that is felt in the chest due to less blood supply in cardiac muscle is known as-,হৃদপেশিতে রক্ত সঞ্চালন হ্রাস পেলে বুকের মাঝখানে যে ব্যাথা অনুভব হয় তাকে-,arrhythmia,coronary thrombosis,myocardial infarction,angina pectoris,অ্যারিথমিয়া,করোনারি থ্রাম্বোসিস,মোয়োকার্ডিয়াল ইনফার্কশন,অ্যানজাইনা পেকটোরিস,b
"What happens at atrial diadtole phase of cardiac cycle?
 i. Bicuspid and tricuspid valves remain close
 ii. 'Sub' sound produces
 iii.CO2 riched blood entered into right atrium through vena cave
 Which one is correct?","কার্ডিয়াক চক্রের অলিন্দের ডাস্টোল দশায় ঘটে-
 i. বাইকাসপিড ও ট্রাইকাসপিড কপাটিকা বন্ধ হয়
 ii. বৈশিষ্ট্যপূর্ণ হৃদধ্বনি ডাব সৃষ্টি হয়
 iii. CO_{2} সমৃদ্ধ রক্ত ভেনাক্যাভা দিয়ে ডান অলিন্দে প্রবেশ করে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
