English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What type of process is propagation of sound through air medium?,বায়ু মাধ্যমে শব্দ সঞ্চালন কোন ধরনের প্রক্রিয়া?,Isothermal,Isobaric,Isochroic,Adiabatic,সমোষ্ণ,সমচাপীয়,সমায়তন,রুদ্ধতাপীয়,d
"Which one is correct for Adiabatic expansion?
 [Here, \Delta W = external work, \Delta U = change in internal energy, \Delta Q = applied heat.]","রুদ্ধতাপীয় প্রসারণে কোনটি সঠিক? 
 [এখানে, \Delta W = বাহ্যিক কাজ, \Delta U = অন্তঃস্থ শক্তির পরিবর্তন, \Delta Q = প্রযুক্ত তাপ]",\Delta W = \Delta U,\Delta W = - \Delta U,\Delta Q = \Delta U,\Delta Q = - \Delta U,\Delta W = \Delta U,\Delta W = - \Delta U,\Delta Q = \Delta U,\Delta Q = - \Delta U,b
Which quantity is the reciprocal of resistance?,রোধের বিপরীত রাশি নিচের কোনটি?,Conductivity,Specific resistance,Co-efficient of temperature,Current density,পরিবাহিতা,আপেক্ষিক রোধ,উষ্ণতা গুণাঙ্ক,প্রবাহ ঘনত্ব,a
"In case of parallel combination of cells if nR \gg , the current flow I_{p} = ?","তড়িৎ কোষের সমান্তরাল সমবায়ে nR \gg r হলে বর্তনীর প্রবাহ, I_{p} = ?",\frac{E}{R},\frac{nE}{R},\frac{E}{nR},n \left ( \frac{E}{r} \right ),\frac{E}{R},\frac{nE}{R},\frac{E}{nR},n \left ( \frac{E}{r} \right ),a
What is the unit of pointing vector?,পয়েন্টিং ভেক্টরের একক কোনটি?,Jsm^{-2},Js^{2}m^{-2},Js^{-1}m^{-2},Js^{-1}m^{2},Jsm^{-2},Js^{2}m^{-2},Js^{-1}m^{-2},Js^{-1}m^{2},c
What amount of shunt is to be added with a galvanometer of resistance 35\Omega so that it can measure 8 times current flow than previous value?,35 \Omega রোধের একটি গ্যালভানোমিটারের সাথে কত মানের সান্ট যুক্ত করলে পূর্বের 8 গুণ তড়িৎপ্রবাহ পরিমাপ করা যাবে?,0.2 \Omega,0.24 \Omega,5.0 \Omega,210 \Omega,0.2 \Omega,0.24 \Omega,5.0 \Omega,210 \Omega,c
The actual length of an imaginary train is 80m and actual length of the platform is 100m. The train passes the platform with such a speed that the length of the train and the platform become equal. What was the velocity of the train?,"একটি কাল্পনিক ট্রেনের প্রকৃত দৈর্ঘ্য 80 m এবং রেলস্টেশন প্লাটফর্মের প্রকৃত দৈর্ঘ্য 100 m । ট্রেনটি এত বেগে প্লাটফর্মটি অতিক্রম করে গেল যে, অতিক্রমকালে ট্রেন ও প্লাটফর্মের দৈর্ঘ্য সমান হয়ে গিয়েছিল। ট্রেনটির বেগ কত ছিল?",\sqrt{5} c,\frac{5}{3} c,\frac{3}{5} c,\frac{c}{\sqrt{5}},\sqrt{5} c,\frac{5}{3} c,\frac{3}{5} c,\frac{c}{\sqrt{5}},c
The relationship between pressure and temperature in the case of an ideal gas during the thermal change is-,রুদ্ধতাপীয় পরিবর্তনের সময় আদর্শ গ্যাসের ক্ষেত্রে চাপ ও তাপমাত্রার সম্পর্ক হলো-,TP \frac{1 - \gamma}{\gamma} = constant,PT \frac{1 - \gamma}{\gamma} = constant,TP \frac{\gamma}{1 - \gamma} = constant,PT \frac{\gamma}{1 - \gamma} = constant,TP \frac{1 - \gamma}{\gamma} = ধ্রুবক,PT \frac{1 - \gamma}{\gamma} = ধ্রুবক,TP \frac{\gamma}{1 - \gamma} = ধ্রুবক,PT \frac{\gamma}{1 - \gamma} = ধ্রুবক,a
An ideal gas is expanded through a vaccum in a solid container covered with thermal insulator. As a result which of the following will happen?,তাপ অন্তরকের আবরণযুক্ত দৃঢ় পাত্রে একটি আদর্শ গ্যাস শূন্য মাধ্যমে প্রসারণ করা হলো। ফলে নিম্নের কোনটি ঘটবে?,There will be no change in the internal energy,The temperature will drop,There will be no change in pressure,The phase will change,অন্তঃস্থ শক্তির পরিবর্তন হবে না,তাপমাত্রা হ্রাস পাবে,চাপের কোনো পরিবর্তন হবে না,দশার পরিবর্তন হবে,b
What is the thermodynamic temperature equivalent to 98.6\degree F?,98.6\degree F তাপমাত্রার সমতুল্য থার্মোডায়নামিক তাপমাত্রা কত?,310.16 K,345.16 K,393.16 K,408.16 K,310.16 K,345.16 K,393.16 K,408.16 K,a
"Read the following statement-
 i. the temperature at which a substance is in solid, liquid and gaseous equilibrium is called triple point of that substance
 ii. the change that causes a change in the value of the thermal process
 iii. inability or impossibility of a system to convert energy or the inavailability of energy convertion is called entropy
 Which one is correct?","নিচের বিবৃতিগুলো লক্ষ্য করঃ
 i. যে তাপমাত্রায় কোনো পদার্থ কঠিন, তরল ও বায়বীয়রূপে সাম্যবস্থায় থাকে তাকে ঐ পদার্থের ত্রৈধ বিন্দু বলে
 ii. যে পরিবর্তনের কারণে তাপগতীয় স্থানাংকের মানের পরিবর্তন হয়, সেই পরিবর্তনকে তাপগতির প্রক্রিয়া বলে
 iii. কোনো সিস্টেমের শক্তি রূপান্তরের অক্ষমতা বা অসম্ভাব্যতাকে বা রূপান্তরের জন্য শক্তির অপ্রাপ্যতাকে এনট্রপি বলে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
How many times does the gas need to be expanded to get the same pressure in the isothermal process as the final pressure that is process of 1atm pressure.,"রুদ্ধতাপীয় 1 atm চাপে রাখা গ্যাসকে প্রসারিত করে দ্বিগুণ করা হলে যে চূড়ান্ত চাপ হয়, সমোষ্ণ প্রক্রিয়ায় সেই একই চাপ পেতে গ্যাসকে কতগুণ প্রসারিত করতে হবে?",1.4,2.6,5.2,7.8,1.4,2.6,5.2,7.8,b
Which of the following is the equation that determines the amount of heat generated by an electric current?,তড়িৎ প্রবাহের ফলে উৎপন্ন তাপের পরিমাণ নির্ণায়ক সমীকরণ নিচের কোনটি?,H = 0.24 V^{2} I t Cal,H = 0.24 \frac{V^{2}}{R} t Cal,H = 0.24 IRt Cal,H = 0.24 P^{2}t Cal,H = 0.24 V^{2} I t Cal,H = 0.24 \frac{V^{2}}{R} t Cal,H = 0.24 IRt Cal,H = 0.24 P^{2}t Cal,b
"If a security fuse has 5 amp written on it, it means-
 i. when connected to a circuit, it can tolerate an electric current upto 5 amperes
 ii. at a current more than 5 amperes, the fuse melts and disconnects the circuit
 iii. the fuse is connected in parallel with the supply line
 Which one is correct?","কোনো নিরাপত্তা ফিউজ এর গায়ে 5 A ফিউজ লেখা থাকলে এর অর্থ-
 i. কোনো বর্তনীতে যুক্ত করলে তা 5 A পর্যন্ত তড়িৎ প্রবাহ সহ্য করতে পারে
 ii. 5 A এর অধিক প্রবাহমাত্রায় ফিউজ গলে বর্তনী সংযোগ বিচ্ছিন্ন করে
 iii. ফিউজটি সরবরাহ লাইনের সাথে সমান্তরালে যুক্ত থাকে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Heat produced due to friction of two objects follows-,দুইটি বস্তুর মধ্যে ঘর্ষণের ফলে উৎপন্ন তাপ কোন প্রক্রিয়া অনুসরণ করে?,reversible process,irreversible process,adiabatic process,Isothermal process,প্রত্যাবর্তী প্রক্রিয়া,অপ্রত্যাবর্তী প্রক্রিয়া,রুদ্ধতাপীয় প্রক্রিয়া,সমোষ্ণ প্রক্রিয়া,b
The two ends of the voltemeter are connected to the two ends of the dry cell. Then a key and a resistor were connected in series combination and the current was turned on by turning the key.,একটি ভোল্টমিটার ও একটি শুষ্ককোষ নিয়ে ভোল্টমিটারের দুই প্রান্ত কোষের দুই প্রান্তের সাথে সংযুক্ত করা হলো। অতঃপর কোষের সাথে শ্রেণি সমবায়ে একটি চাবি ও একটি রোধক যুক্ত করে এবং চাবি বন্ধ করে তড়িৎ প্রবাহ চালনা করা হলো।,"In the first cas, the reading on the voltemer is the e.m.f.","In the second case, the reading on the voltemeter is the e.m.f.","In the first case, the reading is potential difference","In the second case, the reading is more than that of first case",প্রথম ক্ষেত্রে ভোল্টমিটারে যে পাঠ দেয় তা তড়িচ্চালক শক্তি,দ্বিতীয় ক্ষেত্রে যে পাঠ দেয় তা তড়িচ্চালক শক্তি,প্রথম ক্ষেত্রে যে পাঠ দেয় তা বিভব পার্থক্য,দ্বিতীয় ক্ষেত্রে যে পাঠ দেয় তা প্রথম ক্ষেত্রের পাঠের চেয়ে বেশি,a
Which is the correct of the following in the case of electromagnetic waves?,তড়িৎ চৌম্বক তরঙ্গের ক্ষেত্রে নিচের কোনটি সঠিক?,B = B_{0} sin\frac{2\pi}{\lambda} (ct - x),B = B_{0} sin 2\pi (ct - x),B = B_{0} sin\frac{2\pi}{\lambda} (x - ct),B = B_{0} sin 2\pi (x - ct),B = B_{0} sin\frac{2\pi}{\lambda} (ct - x),B = B_{0} sin 2\pi (ct - x),B = B_{0} sin\frac{2\pi}{\lambda} (x - ct),B = B_{0} sin 2\pi (x - ct),a
The reason for having two slits in Young's experiment is-,ইয়ং এর পরীক্ষায় দুটি চিড় থাকার কারণ হলো-,to increase intensity,one slit for frequency and the other for the wavelength,to create path difference,one slit for \vec{E} and other slit for \vec{B},তীব্রতা বাড়ানো,একটি চিড় কম্পাংকের জন্য অন্যটি তরঙ্গদৈর্ঘ্যের জন্য,পথ পার্থক্য সৃষ্টির জন্য,একটি চিড় \vec{E} এর জন্য অন্যটি \vec{B} এর জন্য,c
The unit of Plank's constant is equal to the unit of following any sum bellow:,প্লাংকের ধ্রুবকের একক নিচের কোন রাশির এককের সমান?,Momentum,Energy,Angular momentum,Frequency,ভরবেগ,শক্তি,কৌণিক ভরবেগ,কম্পাংক,c
"An astronaut A weight 30kg and is 30 years old. He boarded a spacecraft at a speed of 2.4 \times 10^{8}ms^{-1} and went in search of the galaxy. According to the calendar, when his twin brother B was 80 years old, he came to earth later. What will be the mass of A in the spacecraft?","একজন মহাশূন্যযানচারী A এর ভর 60 kg এবং বয়স 30 বছর। সে 2.4 \times 10^{8} ms^{-1} বেগে গতিশীল মহাশূন্যযানে চড়ে ছায়াপথ অনুসন্ধানে গেল। পঞ্জিকা অনুসারে তার জমজ ভাই B এর বয়স যখন 80 বছর হলো তখন সে পৃথিবীতে ফিরে এলো।
 মহাশূন্যযানে A এর ভর কত হবে?",90kg,100kg,110kg,120kg,90 kg,100 kg,110 kg,120 kg,b
The cause of the depletion layer at the junction of the p-n junction is-,p-n জাংশনে সংযোগস্থলে ডিপ্লেশন স্তর সৃষ্টির কারণ হলো-,waste ions,diffusion of charge carriers,persecution of electron,persecution of hole,অপদ্রব্য আয়ন,আধান বাহকের ব্যাপন,ইলেকট্রনের তাড়ন,হোলের তাড়ন,b
"Heat (H) generated due to flow of current through a conductor, heat H is-
 i. H \propto I^{2}
 ii. H \propto t
 iii. H \propto R
 Which one is correct?","পরিবাহীর মধ্য দিয়ে তড়িৎ প্রবাহের ফলে উৎপন্ন তাপ H হয়-
 i. H \propto I^{2}
 ii. H \propto t
 iii. H \propto R
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
For constructive interference the path difference between the over lapped waves will be-,গঠনমূলক ব্যতিচারের ক্ষেত্রে উপরিপাতিত তরঙ্গদ্বয়ের মধ্যে পথ পার্থক্য হবে-,even multiple of \frac{\lambda}{2},odd multiple of \frac{\lambda}{2},even multiple of \lambda,odd multiple of \lambda,\frac{\lambda}{2} এর যুগ্ম গুণিতক,\frac{\lambda}{2} এর অযুগ্ম গুণিতক,\lambda এর যুগ্ম গুণিতক,\lambda এর অযুগ্ম গুণিতক,a
By which theory Compton Effect can be explained?,কম্পটন ক্রিয়া কোন তত্ত্বের সাহায্যে ব্যাখ্যা করা যায়?,Corpuscular theory,Wave theory,Quantum theory,Electromagnetic theory,কণা তত্ত্ব,তরঙ্গ তত্ত্ব,কোয়ান্টাম তত্ত্ব,তড়িৎ চুম্বক তত্ত্ব,c
"A = (101101)_{2}, B = (101)_(2), C = (110111)_{2}
 i. A + C = (1100100)_{2}
 ii. A/B = (1001)_{2}
 iii. C - A = (101010)_{2}
 Which one is correct?","A = (101102)_{2}, B = (101)_{2}, C = (11011)_{2}
 i. A + C = (1100100)_{2}
 ii. A/B = (1001)_{2}
 iii. C - A = (101010)_{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
20 gm water boiled from 0\degree C temp. to 80\degree C temp. What will be the change of entropy?,20 gm পানিকে 0\degree C থেকে 80\degree C তাপমাত্রায় উত্তপ্ত করা হলো। এন্ট্রপির পরিবর্তন কত হবে?,21.59 JK^{-1},24.02 JK^{-1},40.20 JK^{-1},46.20 JK^{-1},21.59 JK^{-1},24.02 JK^{-1},40.20 JK^{-1},46.20 JK^{-1},a
Which one is the unit of entropy?,এনট্রপির একক নিচের কোনটি?,NK^{-1},JK^{-1},JK^{-1} mol^{-1},Unitless quantity,NK^{-1},JK^{-1},JK^{-1} mol^{-1},এককহীন রাশি,b
"Wheatstone Bridge principle operates on-
 i. Post office box
 ii. Potentiometer
 iii. Meter bridge
 Which one is correct?","হুইটস্টোন ব্রিজ নীতির ভিত্তিতে পরিচালিত হয়-
 i. পোস্ট অফিস বক্স
 ii. পটেনশিওমিটার
 iii. মিটারব্রিজ
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
"Following stem answer the questions within temperature 327\degree C and 27\degree C. Engine takes Q amount heat from source and realse heat 3000 J in sink.
 
 What is the value of Q?","একটি কার্ণো ইঞ্জিন 327\degree C ও 27\degree C তাপমাত্রা পরিসরে কাজ করে। ইঞ্জিনটি উৎস হতে Q পরিমাণ তাপ গ্রহণ করে সিংকে 3000 J তাপ বর্জন করে।
 
 Q এর মান কত?",1000 J,1500 J,2000 J,6000 J,1000 J,1500 J,2000 J,6000 J,d
What is the correct statement about shunt?,শান্ট সম্পর্কে সঠিক তথ্য কোনটি?,Greater value resistance that connect parallel,Shortest value resistance that connect parallel,Shortest value resistance that connect series,Greater value resistance that connect series,সমান্তরালে যুক্ত বৃহৎ মানের রোধ,সমান্তরালে যুক্ত স্বল্প মানের রোধ,শ্রেণিতে যুক্ত স্বল্প মানের রোধ,শ্রেণিতে যুক্ত বৃহৎ মানের রোধ,b
Which one is used to find out ration of EMF of a cell?,কোষের EMF তুলনা করতে ব্যবহৃত হয় কোনটি?,Galvanometer,Potentiometer,Meter bridge,Voltmeter,গ্যালভানোমিটার,পটেনশিওমিটার,মিটার ব্রিজ,ভোল্টমিটার,b
Following which one is the ratio of C_{p}/C_{v} in Helium gas?,হিলিয়াম গ্যাসের ক্ষেত্র C_{p}/C_{v} এর অনুপাত নিচের কোনটি?,1.67,1.41,1.33,Zero,1.67,1.41,1.33,শূন্য,a
"In case of transistor-
 i. I_{C} = I_{E} - I_{B}
 ii. \beta = \frac{\alpha}{1 - \alpha}
 iii. \alpha = \frac{\beta}{1 + \beta}
 Which one is correct?","ট্রানজিস্টরের ক্ষেত্রে-
 i. I_{C} = I_{E} - I_{B}
 ii. \beta = \frac{\alpha}{1 - \alpha}
 iii. \alpha = \frac{\beta}{1 + \beta}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
What is the phase difference when the path between two points is \frac{\pi}{8} of a wave?,তরঙ্গের দুই বিন্দুর মধ্য পথ পার্থক্য \frac{\lambda}{8} হলে দশা পার্থক্য কত?,\frac{\pi}{2},\frac{\pi}{4},\frac{\pi}{6},\frac{\pi}{8},\frac{\pi}{2},\frac{\pi}{4},\frac{\pi}{6},\frac{\pi}{8},b
What is the value of \epsilon_{0} \mu_{0}^{-\frac{1}{2}}?,\epsilon_{0} \mu_{0}^{-\frac{1}{2}} এর মান কোনটি?,8.85 \times 10^{-12} C^{2} N^{-1} m^{-2},9 \times 10^{9} Nm^{2} C^{-2},4\pi \times 10^{-7} TmA^{-1},3 \times 10^{8} ms^{-1},8.85 \times 10^{-12} C^{2} N^{-1} m^{-2},9 \times 10^{9} Nm^{2} C^{-2},4\pi \times 10^{-7} TmA^{-1},3 \times 10^{8} ms^{-1},d
"For changing adiabatic process-
 i. occurs suddenly
 ii. temperature constant
 iii. change of entropy is zero
 Which one is correct?","রুদ্ধতাপীয় পরিবর্তনের ক্ষেত্রে-
 i. হঠাৎ সংঘটিত হয়
 ii. তাপমাত্রা স্থির থাকে
 iii. এনট্রপির পরিবর্তন শূন্য
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Which one has minimum frequency?,নিচের কোনটির কম্পাঙ্ক সর্বাপেক্ষা কম?,Ultraviolet ray,Infrared ray,X-ray,Gamma ray,অতিবেগুনী রশ্মী,অবলোহিত রশ্মি,এক্স-রে,গামা রশ্মি,b
"""It is impossible to construct an engine which can extract heat continuosly from a source of heat and completely transforms into work""- which scientist gave this statement?","""কোনো নির্দিষ্ট পরিমাণ তাপশক্তি সম্পূর্ণভাবে যান্ত্রিক শক্তিতে রূপান্তর করার মতো যন্ত্র নির্মাণ সম্ভব নয়।""- উক্তিটি কোন বিজ্ঞানী প্রদান করেন?",Planck,Kelvin,Clausius,Carnot,প্লাংক,কেলভিন,ক্লসিয়াস,কার্ণো,d
"Transistor use in-
 i. amplifier
 ii. switch
 iii. rectifier
 Which one is correct?","ট্রানজিস্টর ব্যবহৃত হয়-
 i. অ্যামপ্লিফায়ার হিসেবে
 ii. সুইচ হিসেবে
 iii. রেকটিফায়ার হিসেবে
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
For which gas the graph in adiabatic process is more steep?,কোন গ্যাসের জন্য রুদ্ধতাপীয় লেখ অধিক খাড়া?,Neon,Oxygen,Ozone,Carbon di-oxide,নিয়ন,অক্সিজেন,ওজোন,কার্বন-ডাই-অক্সাইড,a
Potential depletion layer in reverse bias for P-N junction-,বিমুখী ঝোঁক প্রদানে P-N জাংশনের বিভব প্রাচীর-,decreasing,increasing,unchange,abolish,হ্রাস পায়,বৃদ্ধি পায়,অপরিবর্তিত থাকে,বিলুপ্ত হয়,b
The 'OR'-logic gate in Boolean Algebra is represented by-,OR-gate বুলিয়ান বীজগণিতের কোন ফাংশন নির্দেশ করে?,division,multiplication,addition,subtraction,ভাগ,গুণ,যোগ,বিয়োগ,c
Which of the following cannot be explaind by Huygen's Wave theory?,নিচের কোনটি হাইগেনসের তরঙ্গ তত্ত্বের সাহায্যে ব্যাখ্যা করা যায় না?,Reflection,Refraction,diffraction,polarization,প্রতিফলন,প্রতিসরণ,অপবর্তন,সমবর্তন,d
The path difference between two point on light wave is \frac{\lambda}{4}. What is the phase difference?,আলোক তরঙ্গের দুটি বিন্দুর পথ পার্থক্য \frac{lambda}{4} হলে দশা পার্থক্য হবে?,\pi,\frac{\pi}{2},\frac{\pi}{4},\frac{\pi}{8},\pi,\frac{\pi}{2},\frac{\pi}{4},\frac{\pi}{8},b
In which physical state entropy is the minimum?,কোন অবস্থায় এন্ট্রপি কম থাকে?,Solid,Liquid,Gaseous,Plasma,কঠিন,তরল,বায়বীয়,প্লাজমা,a
In which thermodynamic process no work is done on the system?,তাপগতিবিদ্যার কোন প্রক্রিয়ায় গ্যাসের উপর কোনো কাজ হয় না?,Isothermal,Isochoric,Isobaric,Adiabatic,সমোষ্ণ,সম-আয়তন,সমচাপীয়,রুদ্ধতাপীয়,b
"An electric conductor is divided into two equal halves, then-",একটি তারকে সমান দুইভাগ করলে-,specific resistance decreases,specific resistance increases,conductivity decreases,specific resistance remains the same,আপেক্ষিক রোধ কমে যায়,আপেক্ষিক রোধ বেড়ে যায়,বৈদ্যুতিক পরিবাহকত্ব কমে যায়,আপেক্ষিক রোধ একই থাকে,d
1 kW-hr =? J,এক কিলোওয়াট ঘন্টা = কত জুল?,36 \times 10^{5},36 \times 10^{6},36 \times 10^{3},3600,36 \times 10^{5},36 \times 10^{6},36 \times 10^{3},3600,a
"When s shunt is connected to a galvanometer of resistance 100\Omega , 99% of the input current bypass through the shunt. What is the resistance of shunt?",একটি গ্যালভানোমিটারের রোধ 100 \Omega এবং এর সাথে কত মানের একটি সান্ট যুক্ত করলে তড়িৎ প্রবাহমাত্রার 99% সান্টের মধ্যে দিয়ে যাবে?,2.01 \Omega,1.01 \Omega,1.10 \Omega,1.06 \Omega,2.01 \Omega,1.01 \Omega,1.10 \Omega,1.06 \Omega,b
"A constructive interference is observed due to superposition of two coherent source of same frequency and amplitude, when
 i. the two wave superimpose in same phase
 ii. their path difference is even multiple of \frac{\lambda}{2}
 iii. their phase difference is integer multiple of \pi
 Which one is correct?","দুটি সুসংগত উৎস হতে নির্গত সমান কম্পাংক ও সমান বিস্তারের দুটি আলোক তরঙ্গের উপরিপাতনের ফলে কোনো বিন্দুতে গঠনমূলক ব্যতিচার সৃষ্টি হবে যখন-
 i. তরঙ্গদ্বয় সমদশায় মিলিত হয়
 ii. তরঙ্গদ্বয়ের দশা পার্থক্য \frac{\lambda}{2} এর জোড় গুণিতক হয়
 iii. তরঙ্গদ্বয়ের দশা পার্থক্য \pi এর সরল গুণিতক হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which of the following has maximum wavelength?,নিচের কোন তরঙ্গের তরঙ্গদৈর্ঘ্য সবচেয়ে বেশি?,Visible spectrum,Radio wave,Infrared ray,Ultraviolet ray,দৃশ্যমান বিকিরণ,বেতার তরঙ্গ,অবলোহিত রশ্মি,অতিবেগুনী রশ্মি,b
What will be the relative mass of an object of test mass m_{0} moving at the speed of light?,m_{0} স্থির ভরসম্পন্ন একটি বস্তু যদি আলোর বেগে ধাবিত হয় তাহলে তার ভর হবে-,0,m_{0},2m_{0},\infinity,0,m_{0},2m_{0},\infty,d
"An object of length 30m is set in motion from its state of rest with a velocity 0.5C.
 What will be the relative length?",30 m দৈর্ঘ্যের কোনো বস্তু স্থির অবস্থা থেকে 0.5 c বেগে চলতে শুরু করলে গতিশীল অবস্থায় বস্তুর আপাত দৈর্ঘ্য কত হবে?,25.98 m,26.83 m,33.54 m,34.60 m,25.98 m,26.83 m,33.54 m,34.60 m,a
What is the base of decimal number system?,ডেসিমেল সংখ্যা পদ্ধতির ভিত্তি-,2,8,10,16,2,8,10,16,c
The binary expression for the number 25 is-,25 এর বাইনারী কোড হলো-,10011,11001,10101,10001,10011,11001,10101,10001,b
Which one is used to dope Germanium to form a n-type semiconductor?,জার্মেনিয়ামের সাথে নিচের কোন মৌলটি যুক্ত করলে N-type অর্ধপরিবাহী তৈরি হবে?,Aluminium,Gallium,Arsenic,Indium,অ্যালুমিনিয়াম,গ্যালিয়াম,আর্সেনিক,ইন্ডিয়াম,c
