English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
In which stage of mitosis division is chromosomal dance scene?,মাইটোসিস বিভাজনের কোন পর্যায়ে ক্রোমোসোমীয় নৃত্য দেখা যায়?,Prometaphase,Metaphase,Anaphase,Telophase,প্রো-মেটাফেজ,মেটাফেজ,অ্যানাফেজ,টেলোফেজ,a
What is the characteristics of Cycas?,Cycas এর বৈশিষ্ট্য কোনটি?,Coralloid root,Endosperm triploid,Fruit presence,Double fertilization occurs,কোরালয়েড মূল,ট্রিপ্লয়েড শস্য,ফল হয়,দ্বি-নিষেক ঘটে,a
"Characteristics of emasculation is-
 i. stamen elimination
 ii. occurs in unisexual flower
 iii. protect of self pollination
 Which one is correct?","ইমাস্কুলেশনের বৈশিষ্ট্য হলো-
 i. পুংকেশর অপসারণ
 ii. একলিঙ্গ ফুলে ঘটে
 iii. স্বপরাগায়ন রোধ
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
"There are two ways of carbon assimilation in photosynthesis, for instance : Calvin cycle and Hatch and slack cycle. Glucose is produces through the both cucles.
 
 Which enzyme is used in assimilation of CO_{2} in first cycle of the stem.","সালোকসংশ্লেষণে কার্বন বিজারণের দুটি পথ রয়েছে। যথা: ক্যালভিন চক্র এবং হ্যাচ ও স্ন্যাকের চক্র। উভয় চক্রের মাধ্যমেই গ্লুকোজ তৈরি হয়।
 উদ্দীপকের ১ম চক্রের ক্ষেত্রে CO_2 আত্তীকরণে কোন এনজাইম ব্যবহৃত হয়?",Pyruvic acid kinase,Dehydrogenase,Rubisco,Phosphatase,পাইরুভিক এসিড কাইনেজ,ডিহাইড্রোজিনেজ,রুবিস্কো,ফসফেটেজ,c
"There are two ways of carbon assimilation in photosynthesis, for instance : Calvin cycle and Hatch and slack cycle. Glucose is produces through the both cucles.
 
 In the stem, the second cycle is more developed than first one, because-
 i. huge carbohydrate is produced
 ii. occurs in low temperature
 iii. two types chloroplast presence
 Which one is correct?","সালোকসংশ্লেষণে কার্বন বিজারণের দুটি পথ রয়েছে। যথা: ক্যালভিন চক্র এবং হ্যাচ ও স্ন্যাকের চক্র। উভয় চক্রের মাধ্যমেই গ্লুকোজ তৈরি হয়।
 উদ্দীপকের ২য় চক্রটি ১ম চক্র থেকে উন্নত, কারণ-
 i. শর্করা উৎপাদন বেশি হয়
 ii. কম তাপমাত্রায় ঘটে
 iii. দুই ধরনের ক্লোরোপ্লাস্ট
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",c
In which stage of cell-cycle is DNA synthesis occurred?,কোষচক্রের কোন পর্যায়ে DNA সংশ্লেষণ ঘটে?,G_{1},S,G_{2},M,G_1,S,G_2,M,b
Which is the first permanent compund of C_{4} cycle?,C_4 চক্রের প্রথম স্থায়ী যৌগ কোনটি?,3-phosphoglyceric acid,Oxaloacetic acid,Pyruvic acid,Malic acid,৩-ফসফোগ্লিসারিক এসিড,অক্সালোএসিটিক এসিড,পাইরুভিক এসিড,ম্যালিক এসিড,b
"In sub-stage of meiosis-I, a shape like 'X' is created because of part being exchanged among two choromosomes.
 
 In which sub-stage does the process of the stem happen?","মিয়োসিস-১ এর কোনো এক উপপর্যায়ে দুটি ক্রোমোসোমের মধ্যে অংশ বিনিময়ের ফলে 'X' চিহ্নের মত আকৃতির সৃষ্টি হয়।
 উদ্দীপকের প্রক্রিয়াটি কোন উপপর্যায়ে সংঘটিত হয়?",Leptotene,Zygotene,Pachytene,Diplotene,লেপ্টোটিন,জাইগোটিন,প্যাকাইটিন,ডিপ্লোটিন,c
"In sub-stage of meiosis-I, a shape like 'X' is created because of part being exchanged among two choromosomes.
 
 As a result of this matter-
 i. a new type of chromosome is created
 ii. a new variation of organ is found
 iii. it creates mutation
 Which one is correct?","মিয়োসিস-১ এর কোনো এক উপপর্যায়ে দুটি ক্রোমোসোমের মধ্যে অংশ বিনিময়ের ফলে 'X' চিহ্নের মত আকৃতির সৃষ্টি হয়।
 উক্ত ঘটনাটির ফলে-
 i. নতুন ধরনের ক্রোমোসোমের সৃষ্টি হয়
 ii. জীবে নতুন ভেরিয়েশন দেখা যায়
 iii. মিউটেশনের সৃষ্টি হয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",a
In which fruit of the following is caryopsis seen?,নিচের কোন ফলটিতে ক্যারিওপসিস দেখতে পাওয়া যায়?,Banana,Water melon,Rice,Lady's finger,কলা,তরমুজ,ধান,ঢেঁড়স,c
By which process of the following is the characteristics of mother plant changed?,নিচের কোনটির মাধ্যমে মাতৃউদ্ভিদের বৈশিষ্ট্যের পরিবর্তন হয়?,Bulbil,Hybridization,Budding,Grafting,বুলবুলি,সংকরায়ন,মুকুলোদগম,দাবাকলম,b
How many molecules of ATP are expended in the glycolysis process?,গ্লাইকোলাইসিস প্রক্রিয়ায় ব্য্যিত শক্তি কত অণু ATP?,2,4,6,8,2,4,6,8,a
What is called the ground tissue of leaf?,পাতার গ্রাউন্ড টিস্যুকে কী বলে?,Cortex,Mesophyll,Pericycle,Pith,কার্টেক্স,মেসোফিল,পেরিসাইকেল,মজ্জা,b
Which is the first permanent compund in the process of carbon emissions in C_{3} plants?,C_r উদ্ভিদে কার্বন বিজারণ প্রক্রিয়ায় প্রথম স্থায়ী পদার্থ কোনটি?,Oxaloacetic acid,Malic acid,3-phosphoglyceraldehyde,3-phosphoglyceric acid,অক্সালো অ্যাসিটিক এসিড,ম্যালিক এসিড,৩-ফসফোগ্লিসারালডিহাইড,৩-ফসফোগ্লিসারিক এসিড,d
Which ion can absorbed fast?,কোন আয়ন সবচেয়ে দ্রুতগতিতে শোষিত হয়?,K^{+},Ca^{++},SO_{4}^{--},PO_{4}^{--},K^+,Ca^{++},SO_4,PO_4,a
Which process is capable of producing functional embryos from eggs without fertilization?,কোন প্রক্রিয়াটি নিষেক ক্রিয়া ছাড়া ডিম্বানু থেকে কর্মক্ষম ভ্রূণ উৎপাদনে সক্ষম?,Parthenogenesis,Apospory,Apogamy,Androgenesis,পার্থেনোজেনেসিস,অ্যাপোস্পোরি,অ্যাপোগ্যামি,অ্যান্ড্রোজেনেসিস,a
In which organelles of the cell happens the krebs cycle?,কোষের কোন অঙ্গাণুতে ক্রেবস চক্র সম্পন্ন হয়?,Golgi body,Ribosome,Mitochondria,Nucleus,গলজি বডি,রাইবোসোম,মাইটোকন্ড্রিয়া,নিউক্লিয়াস,c
"Reproduction occurred by the root-
 i. dahlia
 ii. potato
 iii. patal
 Which one is correct?","মূল দ্বারা জননকার্য সম্পন্ন করে-
 i. ডালিয়া
 ii. আলু
 iii. পটল
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Which statement is true in case of fermentation?,ফার্মেন্টেশনের ক্ষেত্রে কোন উক্তিটি সত্যি?,Used internal glucose of the body,Helds within the cell,It is one kind of anaerobic respiration,Does not occur in aquatic medium,দেহের অভ্যন্তরীণ গ্লুকোজ ব্যবহৃত হয়,এটি কোষের মধ্যে সম্পন্ন হয়,এটি এক প্রকার অবাত শ্বসন,জলীয় মাধ্যমে ঘটে না,c
What is the fate of the ovule after fertilization?,নিষেকের পর ডিম্বক কীসে পরিণত হয়?,Embryo,Seed,Fuit,Testa,ভ্রূণ,বীজ,ফল,টেস্টো,b
How many ATPs are produced when one molecule of glucose is oxidized during aerobic respiration?,সবাত শ্বসনে এক অণু গ্লুকোজ জারিত হয়ে কয়টি ATP উৎপন্ন করে?,34,35,36,38,34,35,36,38,c
In which plant may found sunken stomata?,লুকায়িত পত্ররন্ধ্র পাওয়া যায় কোন উদ্ভিদে?,Waterlily,Hydrilla,Water-hyacinth,Karabi,শাপলা,হাইড্রিলা,কচুরিপানা,করবী,d
Which is the common stem of the aerobic and anerobic respiration?,সবাত ও অবাত শ্বসনের অভিন্ন ধাপ কোনটি?,Glycolysis,Acetyle CO-A,Kerbs cycle,ETS,গ্লাইকোলাইসিস,অ্যাসিটাইল কো-এ,ক্রেবস চক্র,ETS,a
Which is the micro element for the nutrition of the plants?,উদ্ভিদের পুষ্টির জন্য মাইক্রোএলিমেন্ট কোনটি?,Calcium,Carbon,Sulphur,Copper,ক্যালসিয়াম,কার্বন,সালফার,কপার,d
The intrastetic part of a plant is-,উদ্ভিদের অন্তঃস্টিলীয় অংশ হচ্ছে-,hypodermis,epidermis,pith ray,cortex,হাইপোডার্মিস,এপিডার্মিস,মজ্জারশ্মি,কার্টেক্স,c
Who discovered the cell division?,কোষ বিভাজন কে আবিষ্কার করেন?,Bovery,Rudlaf Virchoae,W. Flaming,Strasburger,বোভেরি,রুডলফ ভিরচাও,ডব্লিও ফ্লেমিং,ট্রাসবাজার,c
"ATP is formed in the electron transport system-
 i. NADH_{2} Oxidation
 ii. Cyt b Oxidation
 iii. Cyt a Oxidation
 Which one is correct?","ইলেক্ট্রন প্রবাহ তন্ত্রে ATP সৃষ্টি হয়-
 i. NADH_2 জারণে
 ii. Cyt b জারণে
 iii. Cyt a জারণে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
"In case of damage of the ta root of cycas-
 i. produces adventitious roof
 ii. attached by anabaena
 iii. its shape is as like as sea coral
 Which one is correct?","সাইকাসের প্রধান মূল নষ্ট হওয়ার ফলে-
 i. অস্থানিক মূল সৃষ্টি হয়
 ii. Anabaena দ্বারা আক্রান্ত হয়
 iii. এর আকৃতি সামুদ্রিক প্রবালের মত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which is the characteristic of China rose?,জবা ফুলের বৈশিষ্ট্য কোনটি?,Stapulate leaf,Mono symmetrical,Perigynus,Basal placentation,উপপত্রযুক্ত,একপ্রতিসম,গর্ভকটি,মূলীয় অমরাবিন্যাস,a
What is called the division of nucleus?,নিউক্লিয়াসের বিভাজনকে কী বলে?,Interkinesis,Cytokinesis,Keryokinesis,Diakinesis,ইন্টারকাইনেসিস,সাইটোকাইনেসিস,ক্যারিওকাইনেসিস,ডায়াকাইনেসিস,c
"In which stage if cell division, nuclear membrane is disappeared?",কোষ বিভাজনের কোন ধাপে নিউক্লিয়ার মেমব্রেন বিলুপ্ত হয়?,Prophase,Pro-metaphase,Metaphase,Anaphase,প্রোফেজ,প্রো-মেটাফেজ,মেটাফেজ,অ্যানাফেজ,c
Which stage of Malarial parasite enters into human body?,ম্যালেরিয়া জীবাণুর কোন দশা মানুষের দেহে প্রবেশ করে?,Sporozoite,Cryptozoite,Schizont,Trophozoite,স্পেরোজয়েট,ক্রিপ্টোজয়েট,সাইজেন্ট,ট্রাফোজয়েট,a
Which one is the pland of Malvaceae family?,কোনটি Malvaceae গোত্রের উদ্ভিদ?,Ladies finger,Bamboo,Barley,Sugarcane,ঢেঁড়স,বাঁশ,বার্লিং,আখ,a
Which one is example of leptocentric vascular bundle?,লেপ্টেসেন্টিক ভাস্কুলার বান্ডলের উদাহরণ কোনটি?,Pteris,Cycas,Dracaena,Lycopodium,Pteris,Cycas,Dracaena,Lycopodium,c
"In which light, rate of photosynthesis is maximum?",কোন আলোতে সালোকসংশ্লেষণের হার সর্বোচ্চ?,Yellow,Blue,Red,Orange,হলুদ,নীল,লাল,কমলা,c
"Genome sequence is applied to-
 i. identify criminal
 ii. create callus
 iii. gene therapy
 Which one is correct?","জিনোম সিকোয়েন্স প্রয়োগ করা হয়-
 i. অপরাধী শনাক্তকরণে
 ii. ক্যালাস সৃষ্টিতে 
 iii. জিন থেরাপিতে
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",c
Which mineral ion is absorbed rapidly by root?,মূল দ্বারা কোন খনিজ আয়ন সবচেয়ে দ্রুত গতিতে শোষিত হয়?,K^+,Na^+,Mg^{++},Ca^{++},K^+,Na^+,Mg^{++},Ca^{++},a
In which of the following biological coin is produced?,নিচের কোনটিতে 'জৈবমুদ্রা' উৎপাদিত হয়?,Nucleus,Ribosome,Lysosome,Mitochondria,নিউক্লিয়াস,রাইবোসোম,লাইসোসোম,মাইটোকন্ড্রিয়া,d
Which one is ancient biotechnology?,কোনটি প্রাচীন জৈব প্রযুক্তি?,Genetic engineering,Curd preparation,Tissue culture,Antibiotic production,জিন প্রৈশল,দই তৈরি,টিস্যু কালচার,অ্যান্টিবায়োটিক উৎপাদন,b
Which one is called brain of cell?,কোষের মস্তিষ্ক বলা হয় কোনটিকে?,Nucleus,Mitochondria,Ribosome,Chloroplast,নিউক্লিয়াস,মাইটোকন্ড্রিয়া,রাইবোসোম,ক্লোরোপ্লাস্ট,a
Which one is used as explant to get haploid plant?,হ্যাপ্লয়েড উদ্ভিদ পাওয়ার জন্য Explant হিসেবে কোনটি ব্যবহার করা হয়?,Root tip,Potten grain,Embryo,Shoot tip,মূলশীষ,পরাগরেণু,ভ্রুণ,কাণ্ডশীষ,b
In which one hydothode may present?,কোনটিতে হাইডোথোড থাকতে পারে?,Leaf,Flower,Root,Stem,পাতা,ফুল,মূল,কাণ্ড,a
What is called the ground tissue of leaf?,পাতার গ্রাউন্ড টিস্যুকে কী বলে?,Mesophyll,Pith,Pith ray,Pericycle,মেসোফিল,মজ্জা,মজ্জারশ্মি,পরিচক্র,a
Which one is the carbohydrate factory of plant cell?,উদ্ভিদকোষের কার্বোহাইড্রেট ফ্যাক্টরী কোনটি?,Mitochondria,Endoplasmic reticulum,Golgi body,Ribosome,মাইটোকন্ড্রিয়া,এন্ডোপ্লাজমিক রেটিকুলাম,গলজিবস্তু,রাবোসোম,c
Which one is the common stage of aerobic and anaerobic respiration?,সবাত শ্বসন ও অবাত শ্বসনের অভিন্ন ধাপ কোনটি?,Kreb's cycle,Acetyl co-A formation,ETS,Glycolysis,ক্রেবস চক্র,অ্যাসিটাইল কো-এ সৃষ্টি,ETS,গ্লাইকোলাইসিস,d
Insulin is-,ইনসুলিন হলো-,Protein,vitamin,lipid,carbohydrate,প্রোটিন,ভিটামিন,লিপিড,কার্বোহাইড্রেট,a
If one subunit of Ribosome is 30s then another subunit is-,রাইবোসোমের একটি উপ-একক 30s হলে অন্যটি কত হবে?,60s,50s,40s,30s,60s,50s,40s,30s,b
What is called the division of Cytoplasm?,সাইটোপ্লাজমের বিভাজনকে কী বলে?,Karyokinesis,Cytokinesis,Metakinesis,Diakinesis,ক্যারিওকাইনেসিস,সাইটোকাইনেসিস,মেটাকাইনেসিস,ডায়াকাইনেসিস,b
"In which sub-stage, crossing over occurs?",কোন উপ-পর্যায়টিতে ক্রসিং ওভার ঘটে?,Leptotene,Zygotene,Pachytene,Diplotene,লেপ্টোনিন,জাইগোটিন,প্যাকাইটিন,ডিপ্লোটিন,c
In mitosis anaphase stage the shape of metacentric chromosomes are found-,মাইটোসিস অ্যানাফেজ ধাপে মেটাসেন্ট্রিক ক্রোমোসোমগুলো যে আকৃতির দেখায়-,V,J,L,I,V,J,L,I,a
"Applicable for the Pachytene sub-stage-
 i. chiasma formation
 ii. tetrad condition of chromosome
 iii. disappearance of nuclear membrane
 Which one is correct?","প্যাকাইটিন উপ-পর্যায়ের ক্ষেত্রে প্রযোজ্য-
 i. কায়াজমা সৃষ্টি
 ii. ক্রোমোসোমের টেট্রাড অবস্থা
 iii. নিউক্লিয়ার মেমব্রেনের বিলুপ্তি
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii, ও iii",a
"In which one, the characteristic of Poaceae family?",কোনটি Poaceae গোত্রের বৈশিষ্ট্য?,Stamens numerous,Verstile anther,Free-lateral stipules,Axile placentation,পুংকেশের অসংখ্য,সর্বমুখ পরাগধানী,মুক্ত পার্শ্বীয় উপপত্র,অক্ষীয় অমরা বিন্যাস,b
"After fertilization, converted form of ovule is-",নিষেকের পর ডিম্বকের পরিবর্তিত রূপ হলো-,seed,fruit,embryo,endosperm,বীজ,ফল,ভ্রূণ,সস্য,a
"In which plant of the following, the largest sperm is present?",সর্ববৃহৎ শুক্রাণু বিদ্যমান নিচের কোন উদ্ভিদে?,Pinus,Sequoia,Cycas,Gnetum,Pinus,Sequoia,Cycas,Gnetum,c
Placentation of China rose is-,জবা ফুলের অমরা বিন্যাস হলো-,basal,axile,apical,parietal,মূলীয়,অক্ষীয়,শীর্ষক,বহুপ্রান্তীয়,b
"By which of the following, variation is creates in characteristics?",কোনটির মাধ্যমে বৈশিষ্ট্যে ভিন্নতা সৃষ্টি হয়?,Hybridization,Cutting,Parthenogenesis,Self-fertilization,সংকরায়ন,শাখা কলম,পার্থেনোজেনেসিস,স্বনিষেক,a
The number of chromosome set in the endosperm Cycas is-,Cycas এর সস্যে ক্রোমোজোম সেট সংখ্যা হলো-,1,2,3,4,1,2,3,4,a
How many pollen grains will create from four pollen mother cells after meiosis division?,৪টি পরাগ মাতৃকোষ থেকে মিয়োসিস বিভাজনের পর কতটি পরাগরেণু তৈরি হবে?,2,4,8,16,2,4,8,16,d
How many Carbons contain the CO_{2} acceptor compound of C_{3} cycle?,C_3 চক্রের CO_2 গ্রহণকারী যৌগটি কত কার্বনবিশিষ্ট?,3,4,5,6,3,4,5,6,c
In which step of respiration Oxygen is used?,শ্বসনের কোন ধাপে অক্সিজেন ব্যবহৃত হয়?,Glycolusis,Formation of Acetyl Co-A,Kerbs cycle,Electron Transport System,গ্লাইকোলাইসিস,এসিটাইল কো-এ সৃষ্টি,ক্রেবস চক্র,ইলেক্ট্রন ট্রান্সপোর্ট তন্ত্র,d
In which light the photosynthesis is mostly occured?,কোন আলোতে সালোকসংশ্লেষণ বেশি ঘটে?,Orange,Indigo,Red,Green,কমলা,নীল,লাল,সবুজ,c
Which one of the following is a macronutrient?,নিচের কোনটি ম্যাক্রোনিউট্রিয়েন্ট?,Managanese,Nitrogen,Copper,Iron,ম্যাঙ্গানিজ,নাইট্রোজেন,কপার,লৌহ,b
"In which step of the following, chromatids move towards the poles?",নিচের কোন ধাপে ক্রোমাটিডগুলো মেরুমুখী চলতে শুরু করে?,Prohase,Metaphase,Anaphase,Telophase,প্রোফেজ,মেটাফেজ,অ্যানাফেজ,টেলোফেজ,c
Which one is absorbed as anions?,কোনটি অ্যানায়ন হিসেবে শোষিত হয়?,Chlorine,Calcium,Magnesium,Sodium,ক্লোরিন,ক্যালসিয়াম,ম্যাগনেসিয়াম,সোডিয়াম,a
In which plant the bundle sheath chloroplast is present?,কোন উদ্ভিদে বান্ডল সীথ ক্লোরোপ্লাস্ট বিদ্যমান?,Paddy,Wheat,Bamboo,Sugar-cane,ধান,গম,বাঁশ,আখ,d
Vascular bundle of arum root is-,কচুর মূলের ভাস্কুলার বান্ডল হলো-,leptocentric,hadrocentric,radial,conjoint,লেপ্টোসেন্ট্রিক,হ্যাড্রোসেন্ট্রিক,অরীয়,সংযুক্ত,c
"A meristem tissue in which cell division occur in one plane, what does it say?",যে ভাজক টিস্যুর কোষগুলো এক তলে বিভাজিত হয় তাকে কী বলে?,Rib,Mass,Plate,Apical meristem,রিব,মাস,প্লেট,শীর্ষস্থ,a
The first produced substance of the Krebs cycle-,ক্রেবস চক্রের প্রথম উৎপাদিত পদার্থ-,malic acid,citric acid,oxalic acid,lactic acid,ম্যালিক এসিড,সাইট্রিক এসিড,অক্সালিক এসিড,ল্যাকটিক এসিড,b
"Anatomical characteristics of plants roots are-
 i. vascular bundles are radial
 ii. protoxylem exach
 iii. phloem tissues are present both side of the xylem
 Which one is correct?","উদ্ভিদের মূলের অন্তর্গঠনের বৈশিষ্ট্য-
 i. পরিবহন কলাগুচ্ছ অরীয়
 ii. প্রোটোজাইলেম এক্সার্ক
 iii জাইলেমের উভয় পার্শ্বে ফ্লোয়েম কলা বিদ্যমান
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
"___ are made in reductional cell division.
 i. Gamete
 ii. Zygote
 iii. Diversity
 Which one is correct?","হ্রাসমূলক বিভাজনে তৈরি হয়-
 i. গ্যামেট
 ii. জাইগেট
 iii. বৈচিত্র্য
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Which of the following ions is rapidly absorbed?,নিচের কোন আয়ন দ্রুত গতিতে শোষিত হয়?,Ca,SO_{4},K,Mg,Ca,SO_4,K,Mg,c
Which of the following is required for photolysis of water?,পানির ফটোলাইসিসের জন্য কোনটি প্রয়োজন?,Mg,Mn,Ca,Fe,Mg,Mn,Ca,Fe,b
Which of the following is reproduced by the root?,নিচের কোনটিতে মূলের মাধ্যমে জনন হয়?,Stonecrop,Ginger,Banana,Dahlia,পাথরকুচি,আদা,কলা,ডালিয়া,d
Which is the main transpiration organ of plants?,উদ্ভিদের প্রধান প্রস্বেদন অঙ্গ কোনটি?,Root,Stem,Leaf,Flower,মূল,কাণ্ড,পাতা,ফুল,c
How many molecules of ATP are produced from one molecule of glucose in anaerobic respiration?,অবাত শ্বসনে এক অণু গ্লুকোজ থেকে কত অণু ATP তৈরি হয়?,2,6,24,38,2,6,24,38,a
"In the process of photosynthesis is produced-
 i. CO_{2}
 ii. H_{2}O
 iii. O_{2}
 Which one is correct?","সালোকসংশ্লেষণ প্রক্রিয়ায় উৎপাদন হয়-
 i. CO_2
 ii. H_{2}O
 iii. O_2
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
In which of the following stages does the crossing over begin?,নিচের কোন ধাপে ক্রসিং ওভার শুরু হয়?,Leptotene,Zygotene,Pachytene,Deplotene,লেপ্টোটিন,জাইগোটিন,প্যাকাইটিন,ডিপ্লোটিন,c
Vexillary aestivation can be seen in which plant?,ভেক্সিলারি এস্টিভেশন দেখা যায় কোন উদ্ভিদে?,Solanum tuberosum,Pisum sativum,Brassica napus,Calotropis procera,Solanum tuberausm,Pisum satvum,Brassica napus,Colotropis procera,b
What does say epidermis of root?,মূলের ত্বককে কী বলে?,Epidermis,Epiblema,Hypodermis,Cortex,এপিডার্মিস,এপিব্লেমা,হাইপোডার্মিস,কর্টেক্স,b
