English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which numbers are Fibonacci numbers in the following ?,নিচের কোন সংখ্যাগুলো ফিবোনাক্কি সংখ্যা?,"0, 1, 1, 2, 3, ….","0, 0, 1, 2, 3, ……","0, 1, 2, 3, 4, …..","0, 2, 4, 6, 8, ….","0, 1, 1, 2, 3, ... ...","0, 0, 1, 2, 3, ... ...","0, 1, 2, 3, 4, ... ...","0, 2, 4, 6, 8, ... ...",a
"If the highest value is 80 and the lowest value is 40 of any data and
 the class interval is 5, what will be the number if classes?","কোনো উপাত্তের সর্বোচ্চ মান 80, সর্বনিম্ন মান 40 এবং শ্রেণিব্যাপ্তি 5 হলে, শ্রেণিসংখ্যা কত?",8,9,40,41,8,9,40,41,b
"What is the mean of the number 2, 1, 9, 0, 3, 4, 1, 6, 9, 0?","2, 1, 9, 0, 3, 4, 1, 6, 9, 0 সংখ্যাগুলোর গড় কত?",3.89,3.77,3.5,2.4,3.89,3.77,3.5,2.4,c
"If a thing was sold at Tk.2375 at the loss of 5% , what was the 
 cost price?","একটি পণ্য 5% ক্ষতিতে 2375 টাকায় বিক্রয় করা হলে, ক্রয়মূল্য কত ছিল?",Tk.2400,Tk.2450,Tk.2475,Tk.2500,2400 টাকা,2450 টাকা,2475 টাকা,2500 টাকা,d
"The formula of finding simple profit or compound principal is - 
 i. I = pnr
 ii.A = p(1 - nr)
 iii. C = p(1 + r)^{n}
 Which one is correct?","সরল মুনাফা অথবা চক্রবৃদ্ধি মূলধন নির্ণয় করার সূত্র হচ্ছে-
 i. I = Per
 ii. A = P(I - nr)
 iii. C = P(I + r)^{n}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
What is the percentage of profit per annum by which the profit of Tk.4000 will be Tk.2400 in 4 years?,শতকরা বার্ষিক কত মুনাফায় 4000 টাকার 4 বছরের মুনাফা 2400 টাকা হবে?,7\frac{1}{2}%,15%,16%,20%,7\frac{1}{2}%,15%,16%,20%,b
"If the length of a side of a squara is 5 metre then its - 
 i. area is 25sq. Metress
 ii. Leggth of diagonal is 10 metres
 iii. Perimeter is 20 mettes
 Which one is correct?","একটি বর্গের বাহুর দৈর্ঘ্য 5 মিটার হলে এর-
 i. ক্ষেত্রফল 25 বর্গমিটার
 ii. কর্ণের দৈর্ঘ্য 10 মিটার
 iii. পরিসীমা 20 মিটার
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
How many kathas are there in 5 bighas?,5 বিঘায় কত কাঠা?,20,25,50,100,20,25,50,100,d
In Greek language hecto means -,গ্রিক ভাষায় হেক্টো অর্থ-,10 times,100 times,1000 times,"10, 000 times",1‘0 গুণ,100 গুণ,"1,000 গুণ","10,000 গুণ",b
"If the circumference of the wheel of a car is 5.15 metres, what is the
 diameter of the wheel?","একটি গাড়ির চাকার পরিধি 5.15 মিটার হলে, চাকাটির ব্যাস কত?",0.82 metre,0.96 metre,1.28 metre,1.64 metre,0.82 মিটার,0.96 মিটার,1.28 মিটার,1.64 মিটার,d
"In which quadrant the point ( - 5, 5) will be?","(-5, 5) বিন্দুটি চর্তুভাগে অবস্থিত?",First,Second,Third,Fourth,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,b
Which one is the lowest form of \frac{x^{3} - 49x}{x^{2} + 7x}?,\frac{x^{3} - 49x}{x^{2} + 7x} এর লঘিষ্ঠ রূপ কোনটি?,(x - 7),(x + 7),x(x - 7),x(x + 7),(x = 7),(x + 7),x(x = 7),x(x + 7),a
If x^{2} - \sqrt{5}x + 1 = 0 then x + \frac{1}{x} = what?,"x^{2} - \sqrt{5}x + 1 = 0 হলে, x + \frac{1}{x} = কত?",- 2\sqrt{5},- \sqrt{5},\sqrt{5},5\sqrt{5},2\sqrt{5},- \sqrt{5},\sqrt{5},5\sqrt{5},c
"If x + y = 6 and x - y = 4, what is the value of 5xy?","x + y = 6 এবং x - y = 4 হলে, 5xy এর মান কত?",16,24,25,36,16,24,25,36,c
"If U = {1, 2, 3, 4, 5, 6, 7}, A = {3, 5, 6, 7, } what will be equal to A?","U = {1, 2, 3, 4, 5, 6, 7}, A = {3, 5, 6, 7, } হলে A^{c} সমান কত হবে?","{1, 2, 4}","{2, 4, 5}","{2, 4, 6}","{3, 5, 6, 7}","{1, 2, 4}","{2, 4, 5}","{2, 4, 6}","{3, 5, 6, 7}",a
"If A = [3, 4, 5} and B = {4, 5, 7} , then - 
 i. A \cup B = {3, 4, 5, 7}
 ii.A \cap B = {4, 5}
 iii. A \subset B
 Which one is correct?","A = [3, 4, 5} এবং B = {4, 5, 7} হলে-
  i. A \cup B = {3, 4, 5, 7}
  ii.A \cap B = {4, 5}
  iii. A \subset B
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one of the follwing is the factorized form of x^{2} - x - 42?,x^{2} - x - 42 এর উৎপাদকে বিশ্লেষিত রূপ নিচের কোনটি?,(x - 6) (x - 7),(x - 6) (x + 7),(x + 6) (x + 7),(x - 7) (x + 6),(x - 6) (x - 7),(x - 6) (x + 7),(x + 6) (x + 7),(x - 7) (x + 6),d
Which point lies on x - axis?,কোন বিন্দুটি x-অক্ষের উপর অবস্থিত?,"(0, - 4)","( - 4, 0)","(0, 3)","(3, - 1)","(0, - 4)","( - 4, 0)","(0, 3)","(3, - 1)",b
"If the sum of the numerator and denominator is 14 and the
difference is 8 of a proper fraction, which one of the following is the fraction?","কোনো প্রকৃত ভগ্নাংশের লব ও হরের যোগফল 14 এবং বিয়োগফল 8 হলে, ভগ্নাংশটি নিচের কোনটি?",\frac{5}{9},\frac{9}{5},\frac{3}{11},\frac{11}{3},\frac{5}{9},\frac{9}{5},\frac{3}{11},\frac{11}{3},c
"If m^{2} - 6m - 1 = 0, then m^{2} + \frac{1}{m^{2}} = what?","m^{2} - 6m - 1 = 0 হলে, m^{2} + \frac{1}{m^{2}} = কত?",32,34,36,38,32,34,36,38,d
"The radius of a right circular cylinder is 4 cm and the height is 6 cm.
 What is the area of the curved surface of the cylinder?(\pi = 3.14)",একটি সমবৃত্তভূমিক বেলনের ব্যাসার্ধ 4 সে.মি. এবং উচ্চতা 6 সে.মি.। বেলনটির বস্তু পৃষ্রে কেষত্রফল কত? (\pi = 3.14),"75, 36sq.cm",150.72sq.cm,226.08sq.cm,301.44sq.cm,75.36 বর্গ সে.মি.,150.72 বর্গ সে.মি.,226.08 বর্গ সে.মি.,301.11 বর্গ সে.মি.,b
"What is called the quadrilateral whose two pairs of adjacent sides
 are equal?",যে চতুর্ভূজের দুটি জোড়া সন্নিহিত বাহু সমান তাকে কী বলে?,Rectangle,Square,Kite,Parallelogram,আয়ত,বর্গ,ঘুড়ি,সামান্তরিক,c
"If the ratio of the sides of a triangle is x : x : x\sqrt{2}, What is the value of its greatest angle?","একটি ত্রিভুজের বাহুগুলোর অনুপাত x : x : x\sqrt{2} হলে, এর বৃহত্তম কোণটির মান কত?",80\degree,85\degree,90\degree,120\degree,80\degree,85\degree,90\degree,120\degree,c
What is the sum of four angles of a quadrilateral?,চতুর্ভুজের চারটি কোণের সমষ্টি কত?,360\degree,300\degree,270\degree,180\degree,360\degree,300\degree,270\degree,180\degree,a
The lengths of two parallel sides of a trapezium are 13 cm and 8 cm respectively.If its perpendicular distance btween two parallel sides is 4 cm.how many sq.cm will be the area of the trapezium?,একটি ট্রাপিজিয়ামের সমান্তরাল বাহু দুইটির দৈর্ঘ্য যথাক্রমে 13 সে.মি. এবং 8 সে.মি.। সমান্তরাল বাহুদ্বয়ের লম্ব দূরত্ব 4 সে.মি. হলে ট্রাপিজিয়ামটির ক্ষেত্রফল কত বর্গ?,42 sq.cm,52 sq.cm,84 sq.cm,104 sq.cm,42 বর্গ সে.মি.,52 বর্গ সে.মি.,84 বর্গ সে.মি.,101 বর্গ সে.মি.,a
"What is the 9th term of the pattern 0, 1, 1, 2, 3, 5, 8, 13 ?","0, 1, 1, 2, 3, ...... প্যাটার্নটির 9ম পদ কত?",8,13,21,34,8,13,21,34,c
What is the sum of consecutive even numbers from 1 to 15 ?,1 থেকে 15 পর্যন্ত ক্রমিক স্বাভাবিক জোড় সংখ্যার সমষ্টি কত?,56,64,112,120,56,64,112,120,a
"P = 3000, r = 6% and n = 5, then - 
 i. I = 900
 ii.C = 5900
 iii.A = 3900
 Which one is correct?","P = 3000, r = 6% এবং n = 5 হলে-
 i. I = 900
 ii. C = 5900
 iii. A = 3900
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
2 pieces per TK. 1 are bought and 3 pieces per TK. 1 are sold. What will be the percentage of profit or loss?,টাকায় 2টি দরে ক্রয় করে 3টি দরে বিক্রয় করলে শতকরা কত লাভ বা ক্ষতি হবে?,Loss 33\frac{1}{3}%,Profit 33\frac{1}{3}%,Profit 50%,Lost 50%,33\frac{1}{3} ক্ষতি,33\frac{1}{3} লাভ,50% লাভ,50% ক্ষতি,a
"If the rate of profit is 9% per annum, what will be the compound profit of TK.2, 000 in 3 years?",বার্ষিক 9% মুনাফায় 2000 টাকার 3 বছরের চক্রবৃদ্ধি মুনাফা কত?,TK.180,TK.540,TK.590.06,TK.2590.06,180 টাকা,540 টাকা,590.06 টাকা,2590.06 টাকা,c
10 km = What mile?,10 কিলোমিটার = কত মাইল?,"0.621 mile 
 (approximate)","6.211mile 
 (approximate)","16.10 mile
(approximate)","62.11 mile 
 (approximate)",0.621 মাইল (প্রায়),6.211 মাইল (প্রায়),16.10 মাইল (প্রায়),62.11 মাইল (প্রায়),b
If the breadth of a rectganguar room \frac{1}{3} time of length and perimeter is 48 m which one is the breadth?,"একটি আয়তাকার কক্ষেরে প্রস্থ দৈর্ঘ্যের এক-তৃতীয়াংশ এবং পরিসীমা 48 মিটার হলে, কক্ষটির প্রস্থ নিচের কোনটি?",6 m,12m,18m,24m,6 মিটার,12 মিটার,18 মিটার,24 মিটার,a
The base of triangular region is 24m and height is 12m. What is the area of region?,"একটি ত্রিভুজাকৃতি জমির ভূমি 24 মিটার এবং উচ্চতা 12 মিটার হলে, এর ক্ষেত্রফল কত বর্গমিটার",72m^{2},144m^{2},288m^{2},576m^{2},72 বর্গ মিটার,144 বর্গ মিটার,288 ঘন মিটার,96 ঘন মিটার,b
The edgs of cubic reservoir is 4m. What is the volume of reservoir?,একটি ঘনক আকৃতির চৌবাচ্চার এক বাহুর দৈর্ঘ্য 4 মিটার। চৌবাচ্চাটির আয়তন কত ঘন মিটার?,12m^{3},16m^{3},64m^{3},96m^{3},12 ঘন মিটার,16 ঘন মিটার,64 ঘন মিটার,96 ঘন মিটার,c
What is magic number of magic square of order 5?,5 ক্রমের ম্যাজিক বর্গটির ম্যাজিক সংখ্যা কত?,25,26,65,130,25,26,65,130,c
"x - y = 5 and xy = 6
 
 Which one is the value of x^{3} - y^{3}?","x - y = 5 এবং xy = 6
  
 x^{3} - y^{3}? এর মান কত?",35,65,185,215,35,65,185,215,d
"x - y = 5 and xy = 6
 
 Which one is the value of x^{2} - y^{2}?","x - y = 5 এবং xy = 6
 
 x^{2} - y^{2} এর মান কত?",37,35,25,5,37,35,25,5,b
"If x + \frac{1}{x} = 2
 i. x^{2} - 2x + 1 = 0
 ii. x^{3} + \frac{1}{x^{3}} = 2
 iii. x^{4} - \frac{1}{x^{4}} = 0
 Which one is correct?","x + \frac{1}{x} = 2 হলে-
  i. x^{2} - 2x + 1 = 0
  ii. x^{3} + \frac{1}{x^{3}} = 2
  iii. x^{4} - \frac{1}{x^{4}} = 0
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
"What is the HCF of 3x^{3}y^{3}z, 6xy^{3}z^{3} and 12x^{2}yz^{2}?","3x^{3}y^{3}z, 6xy^{3}z^{3} এবং 12x^{2}yz^{2} এর গ.সা.গু কত?",xyz,3xyz,3x^{3}y^{3}z^{3},12x^{3}y^{3}z^{3},xyz,3xyz,3x^{3}y^{3}z^{3},12x^{3}y^{3}z^{3},d
Which one is the lowest form of \frac{x^{2} - x - 6}{x^{2} - 4}?,\frac{x^{2} - x - 6}{x^{2} - 4} এর লঘিষ্ঠ রূপ কোনটি?,\frac{x - 3}{x - 2},\frac{x + 3}{x + 2},\frac{x - 3}{x + 2},\frac{x + 3}{x - 2},\frac{x - 3}{x - 2},\frac{x + 3}{x + 2},\frac{x - 3}{x + 2},\frac{x + 3}{x - 2},a
Which one is situated in the x-axis ?,নিচের কোন বিন্দুটি x-অক্ষের উপর অবস্থিত?,"( - 5, 5)","(3, - 3)","(0, 4)","(2, 0)","(- 5, 5)","(3, - 3)","(0, 4)","(2, 0)",d
"A = {x \epsilon N : 1 \leq x < 7 and x is prime number}
 B = {3, 4, 5} and C = {x \epsilon N : 6 < x \leq 12 and x is even number}
 
 What is the number of subset of set C?","A = {x \epsilon N : 1 \leq x < 7 এবং x মৌলিক সংখ্যা}
 B = {3, 4, 5} এবং C = {x \epsilon N : 6 < x \leq 12 এবং x জোড় সংখ্যা}
 
 C সেটের উপসেট সংখ্যা কত?",32,16,8,6,32,16,8,6,c
"A = {x \epsilon N : 1 \leq x < 7 and x is prime number}
 B = {3, 4, 5} and C = {x \epsilon N : 6 < x \leq 12 and x is even number}
 
 A \cap B = What?","A = {x \epsilon N : 1 \leq x < 7 এবং x মৌলিক সংখ্যা}
 B = {3, 4, 5} এবং C = {x \epsilon N : 6 < x \leq 12 এবং x জোড় সংখ্যা}
 
 A \cap B = কত?","{2, 3, 4, 5}","{3, 5}",{2},{4},"{2, 3, 4, 5}","{3, 5}",{2},{4},b
Which point satisfies the equation 7x - 3y = 31?,কোন বিন্দুটি 7x - 3y = 31 সমীকরণকে সিদ্ধ করে?,"(3, - 3)","(4, - 1)","(4, 1)","(3, 3)","(3, - 3)","(4, - 1)",(4. 1),"(3, 3)",b
What is called a parallelogram when one angle is 90\degree ?,সামান্তরিকের একটি কোণ 90\degree হলে তাকে কি বলা হয়?,Rectangle,Square,Rhombus,Trapezium,আয়ত,বর্গ,রম্বস,ট্রাপিজিয়াম,a
From which three lengths it may possible to draw a right angled triangle?,কোন তিনটি বাহুর দৈর্ঘ্য দ্বারা সমকোণী ত্রিভুজ আঁকা সম্ভব?,"6cm, 8cm, 9cm","6cm, 7cm, 8cm","5cm, 11cm.12cm","5cm, 12cm, 13cmn","6 সে.মি., 8 সে.মি., 9 সে.মি.","6 সে.মি., 7 সে.মি., 8 সে.মি.","5 সে.মি., 11 সে.মি., 12 সে.মি.","5 সে.মি., 12 সে.মি., 13 সে.মি.",d
What subtended angle at the centre of a circle is?,বৃত্তের কেন্দ্রে সৃষ্ট কোণের পরিমাণ কত ডিগ্রী?,0\degree,90\degree,180\degree,360\degree,0\degree,90\degree,180\degree,360\degree,d
The highest and lowest values of a data are 95 and 70 respectively and class interval os 5.What is the number of classes?,"কোনো উপাাত্তের সর্বোচ্চ মান 95, সর্বনিম্ন মান 70 এবং শ্রেণি ব্যবধান 5 হলে, উপাত্তের শ্রেণি সংখ্যা কত?",10,7,6,5,10,7,6,5,c
"what is median of the following numbers 28, 13, 23, 29, 16, 21?","28, 13, 23, 29, 16, 21 উপাত্তগুলোর মধ্যক কত?",22,23,26,29,22,23,26,29,a
"What is the 6th term of the pattern 0, 1, 4, 9, 16, …..?","0, 1, 4, 9, 16, ... ... ... প্যাটার্নটির 6ষ্ঠ পদটি কত?",17,20,21,25,17,20,21,25,d
779 is the 111th term of which algebraic expression?,779 সংখ্যাটি কোন বীজগণিতীয় রাশির 111 তম পদ?,7A - 2,7A + 2,555A + 224,777A + 2,7ক - 2,7ক + 2,5555ক + 224,777ক + 2,b
How many ways the number 26 can be expressed as a sum of two distinct prime numbers?,26 সংখ্যাটিকে দুইটি ভিন্ন মৌলিক সংখ্যার সমষ্টিরূপে কতভাবে প্রকাশ করা যায়?,0,1,2,3,0,1,2,3,c
"The profit - principal of some amount for 5 years in Tk.15, 000. The profit is \frac{1}{4} part of the principal.
 
 What is the principal?","কোনো আসল 5 বছরে মুনাফা-আসলে 15,000 টাকায় হয়। মুনাফা-আসলের \frac{1}{4} অংশ।
 
 মুনাফার হার কত?","Tk.1, 000","Tk.1, 200","Tk.10, 000","Tk.12, 000",3%,4%,5%,6%,c
"The profit - principal of some amount for 5 years in Tk.15, 000. The profit is \frac{1}{4} part of the principal.
 
 What is the rate of profit?","কোনো আসল 5 বছরে মুনাফা-আসলে 15,000 টাকায় হয়। মুনাফা-আসলের \frac{1}{4} অংশ।
 
 মুনাফার হার কত?",3%,4%,5%,6%,3%,4%,5%,6%,c
Present population of a district is 50 lac. The growth rate is 20 per thousand. What will be the population after 3 years of that district?,একটি জেলার বর্তমান জনসংখ্যা 50 লক্ষ। জনসংখ্যা বৃদ্ধির হার হাজারে 20 জন। 3 বছরে ঐ জেলার জনসংখ্যা কত হবে?,"51, 00, 000","53, 06, 040","55, 20, 434","60, 00, 000","51,00,000 জন","53,06,040 জন","55,20,434 জন","60,00,000 জন",b
"If a^{2} - 3a - 1 = 0, then a^{2} + \frac{1}{a^{2}} = ?","a^{2} - 3a - 1 = 0 হলে, a^{2} + \frac{1}{a^{2}} এর মান কত?",5,7,11,13,5,7,11,13,c
"If x + y = 7 and xy = 12, then 2(x - y)^{2} = ?","x + y = 7 এবং xy = 12 হলে, 2(x - y)^{2} এর মান কত?",1,2,25,75,1,2,25,75,b
What is the lowest form of the fraction \frac{a^{2} + 6a + 5}{a^{2} + 10a + 25}?,\frac{a^{2} + 6a + 5}{a^{2} + 10a + 25} এর লঘিষ্ঠ ভগ্নাংশ হবে কোনটি?,\frac{a + 1}{a + 5},\frac{a + 3}{a + 5},\frac{a - 1}{a - 5},\frac{a + 3}{a - 5},\frac{a + 1}{a + 5},\frac{a + 3}{a + 5},\frac{a - 1}{a - 5},\frac{a + 3}{a - 5},a
Which one is the value of \left ( \frac{2x}{y} + \frac{1}{y} \right )?,\left ( \frac{2x}{y} + \frac{1}{y} \right ) এর মান কোনটি?,\frac{2x + y}{y},\frac{2x + 1}{y},\frac{2x + 1}{2y},\frac{2xy + 1}{y},\frac{2x + y}{y},\frac{2x + 1}{y},\frac{2x + 1}{2y},\frac{2xy + 1}{y},b
"For the graph of the equation 3x - 2y = 6 - 
 i. the point(2, 0) lies on the x - axis 
 ii.the point (0, - 3) lies on the y - axis
 iii. the point (2, - 3) lies on the graph of the equation
 Which one is correct?","3x - 2y = 6 সমীকরণের লেখচিত্রের জন্য-
 i. (2, 0) বিন্দুটি x অক্ষের উপর অবস্থিত
 ii. (0, - 3) বিন্দুটি y অক্ষের উপর অবস্থিত
 iii. (2, - 3) বিন্দুটি সমীকরণটির লেখচিত্রের উপর অবস্থিত
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Which one is the roaster representation of the set{x:x is a prime factor of 20}?,{x : x হল 20 এর মৌলিক উৎপাদক} সেটটির রোস্টার পদ্ধতির প্রকাশ কোনটি?,"{1, 2, 4, 5, }","{1, 2, 4}","{2, 4, 5}","{2, 5}","{1, 2, 4, 5}","{1, 2, 4}","{2, 4, 5}","{2, 5}",d
"What is the mean of the number 8, 12, 16, 17, 20 ?","18, 25, 10, 14, 12, 19 সংখ্যাগুলোর মধ্যক কত?",10.5,12.5,13.6,14.6,10.5,12.5,13.6,14.6,d
"What is the median of the number, 18, 25, 10, 14, 12 and19?","8, 12, 16, 17, 20 সংখ্যাগুলোর গড় কত?",11.5,14.5,16,18,11.5,14.5,16,18,c
What is the sum of diagonal of magie square of order 4?,4 ক্রমের ম্যাজিক বর্গের কোণাকুণি যোগফল কত?,15,16,34,65,15,16,34,65,c
"For algebraic expression (A_{2} - 1) - 
 i. 1st term is zero
 ii. The sum of first 4 number is 26
 iii. The differenc of consecutive two terms is 5
 which one is correct?","(ক_{2} - 1) বীজগাণিতিক রাশির- 
 i. প্রথম পদ শূন্য
 ii. প্রথম চারটি পদের সমষ্টি 26
 iii. পাশাপাশি দুটি পদের পার্থক্য 5
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Some principal will be double in profit - principal in 5 years.What is the percentage of profit per annum?,কোনো আসল 5 বছরে মুনাফা-আসলে দ্বিগুণ হলে মুনাফার হার কত?,85,10%,20%,30%,8%,10%,20%,30%,c
"Mizan takes a loan TK. 10, 000 at the rate 8% and after 'X' years he paid TK. 12, 400. 
 
 What is the profit?","মিজান 8% মুনাফায় 10,000 টাকা ঋণ নিয়ে x বছর পর 12,400 টাকা পরিশোধ করে।
 
 তার মুনাফা কত?","TK.2, 400","TK.10, 000","TK, 10, 400","TK.12, 400","2,400 টাকা","10,000 টাকা","10,400 টাকা","12,400 টাকা",a
"Mizan takes a loan TK. 10, 000 at the rate 8% and after 'X' years he paid TK. 12, 400.
 
 What is the value of 'x'?","মিজান 8% মুনাফায় 10,000 টাকা ঋণ নিয়ে x বছর পর 12,400 টাকা পরিশোধ করে।
 
 x এর মান কত?",2 years,3 years,5 years,6 years,2 বছর,3 বছর,5 বছর,6 বছর,b
The selling price is TK. 480 at the profit of 20% .What is the cost price?,20% লাভে বিক্রয়মূল্য 480 টাকা হলে ক্রয়মূল্য কত?,TK.100,TK.120,TK.400,TK.460,100 টাকা,120 টাকা,400 টাকা,460 টাকা,c
