English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"16y^{2} - 9x^{2} = 144
 
 What is the eccentricity of the conic?","16y^{2} - 9x^{2} = 144
 
 কণিকটির উৎকেন্দ্রিকতা কত?",\frac{5}{3},\frac{5}{4},\frac{\sqrt{7}}{3},\frac{\sqrt{7}}{4},\frac{5}{3},\frac{5}{4},\frac{\sqrt{7}}{3},\frac{\sqrt{7}}{4},a
"16y^{2} - 9x^{2} = 144
 
 Then conic's-
 i. equation of asymptotes y = \pm \frac{3}{4}x
 ii. equation of directrix 5y \pm 9 = 0
 iii. parametric equations: x = 3sec\theta, y = 4 tan\theta
 Which one is correct?","16y^{2} - 9x^{2} = 144
 
 কণিকটির-
 i. অসীমতট রেখার সমীকরণ y = \pm \frac{3}{4}x
 ii. নিয়ামক রেখার সমীকরণ 5y \pm 9 = 0
 iii. পরামিতিক সমীকরণ x = 3sec\theta, y = 4 tan\theta
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
sincot^{-1} tancos^{-1} \frac{3}{4} = ?,sincot^{-1} tancos^{-1} \frac{3}{4} = কত?,\frac{3}{4},\frac{5}{4},\frac{4}{3},\frac{3}{\sqrt{7}},\frac{3}{4},\frac{5}{4},\frac{4}{3},\frac{3}{\sqrt{7}},a
"Which is the general solution of the equation cos 3\theta = \frac{1}{2}, where n, being any integer?",n একটি পূর্ণসংখ্যা হলে cos 3\theta = \frac{1}{2} সমীকরণের সাধারণ সমাধান কোনটি?,(6n - 1) \frac{\pi}{9},\frac{2n\pi}{3} + \frac{\pi}{3},\frac{2n\pi}{3} + \frac{\pi}{9},(2n + 1) \frac{\pi}{6},(6n - 1) \frac{\pi}{9},\frac{2n\pi}{3} + \frac{\pi}{3},\frac{2n\pi}{3} + \frac{\pi}{9},(2n + 1) \frac{\pi}{6},c
General solution of secx = sec(x + \pi) is:,secx = sec(x + \pi) এর সাধারণ সমাধানঃ,(2n + 1)\frac{\pi}{2},(4n + 1)\frac{\pi}{2},n\pi + )\frac{\pi}{4},n\pi + )\frac{3\pi}{4},(2n + 1)\frac{\pi}{2},(4n + 1)\frac{\pi}{2},n\pi + )\frac{\pi}{4},n\pi + )\frac{3\pi}{4},a
What is the value of i^{-65}?,i^{-65} এর মান কত?,-1,1,- i,i,-1,1,- i,i,c
What is the argument of - 3 - \sqrt{3}i?,- 3 - \sqrt{3}i জটিল সংখ্যাটির আর্গুমেন্ট কত?,\frac{\pi}{6},\frac{\pi}{3},\frac{4\pi}{3},\frac{7\pi}{6},\frac{\pi}{6},\frac{\pi}{3},\frac{4\pi}{3},\frac{7\pi}{6},d
"If z = x + iy, then-
 i. |z| = |\overline{z}|
 ii. z.\overline{z} = |z|^{2}
 iii. arg(\overline{z}) = arg(z)
 Which one is correct?","z = x + iy হলে-
 i. |z| = |\overline{z}|
 ii. z.\overline{z} = |z|^{2}
 iii. arg(\overline{z}) = arg(z)
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"If x = 1 + \sqrt{2}i, then 2x^{3} - 3x^{2} + 4x + 1 = ?",x = 1 + \sqrt{2}i হলে 2x^{3} - 3x^{2} + 4x + 1 এর মান কত?,4,2,1,-2,4,2,1,-2,d
"If \alpha and \beta are roots of x^{2} + x + 1 = 0, then what is the value of \Sigma\alpha^{2}?","x^{2} + x + 1 = 0 সমীকরণের মূলদ্বয় \alpha, \beta হলে, \Sigma\alpha^{2} এর মান কত?",-3,-1,0,1,-3,-1,0,1,b
"If one root of quadratic equation is \frac{1}{\sqrt{2} + 1}, then what is another one?","দ্বিঘাত সমীকরণের একটি মূল \frac{1}{\sqrt{2} + 1} হলে, অপর মূল কোনটি?",\sqrt{2} + 1,- \sqrt{2} - 1,\sqrt{2} - 1,- \sqrt{2} + 1,\sqrt{2} + 1,- \sqrt{2} - 1,\sqrt{2} - 1,- \sqrt{2} + 1,b
"2x - x^{2} + k = 0 is a quadratic equation.
 
 If x + 3 is a factor of the equation, then what is the value of k?","2x - x^{2} + k = 0 একটি দ্বিঘাত সমীকরণ।
 
 সমীকরণটির একটি উৎপাদক x + 3 হলে k এর মান কত?",-15,-3,3,15,-15,-3,3,15,d
"2x - x^{2} + k = 0 is a quadratic equation.
 
 If the roots of the equation are real, then-","2x - x^{2} + k = 0 একটি দ্বিঘাত সমীকরণ।
 
 সমীকরণটির মূলদ্বয় বাস্তব হলে-",k \leq - 1,k \geq - 1,k < - 1,k > - 1,k \leq - 1,k \geq - 1,k < - 1,k > - 1,b
WHat is the eccentricity of the conic x^{2} = 2y?,x^{2} = 2y কণিকের উৎকেন্দ্রতা কত?,0,\frac{1}{2},1,2,0,\frac{1}{2},1,2,c
What is the distance between focus of the ellipse 3x^{2} + 4y^{2} = 12?,3x^{2} + 4y^{2} = 12 উপবৃত্তের উপকেন্দ্রদ্বয়ের দূরত্ব কত?,2,\sqrt{3},1,\frac{2}{\sqrt{3}},2,\sqrt{3},1,\frac{2}{\sqrt{3}},a
"If the straight line x + y + k = 0 touches the parabola y^{2} = 2x, then k = ?",x + y + k = 0 রেখাটি y^{2} = 2x পরাবৃত্তকের স্পর্শ করলে k এর মান কত?,2,\frac{1}{2},- \frac{1}{2},-2,2,\frac{1}{2},- \frac{1}{2},-2,b
"In hyperbola \frac{(y + 2)^{2}}{4} - \frac{x^{2}}{5} = 1-
 i. coordinate of vertex (-2, 0)
 ii. length of transverse axis is 4
 iii. length of latus rectum is 5
 Which one is correct?","\frac{(y + 2)^{2}}{4} - \frac{x^{2}}{5} = 1 অধিবৃত্তের-
 i. কেন্দ্রের স্থানাঙ্ক (-2, 0)
 ii. আড় অক্ষের দৈর্ঘ্য 4
 iii. উপকেন্দ্রিক লম্বের দৈর্ঘ্য 5
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which one is the equation of asymptotes of hyperbola \frac{x^{2}}{9} - \frac{y^{2}}{16} = 1?,\frac{x^{2}}{9} - \frac{y^{2}}{16} = 1 অধিবৃত্তের অসীমতটের সমীকরণ কোনটি?,y = \pm \frac{4}{3}x,x = \pm \frac{4}{3}y,y = \pm \frac{5}{4} x,x = \pm \frac{5}{4}y,y = \pm \frac{4}{3}x,x = \pm \frac{4}{3}y,y = \pm \frac{5}{4} x,x = \pm \frac{5}{4}y,a
What is the value of tan \left ( cos^{-1} \frac{1}{\sqrt{3}} \right )?,\left ( cos^{-1} \frac{1}{\sqrt{3}} \right ) এর মান কত?,\frac{1}{2},\frac{1}{\sqrt{2}},\sqrt{2},2,\frac{1}{2},\frac{1}{\sqrt{2}},\sqrt{2},2,c
What is the value of cot^{-1}2 - cot^{-1}5?,cot^{-1}2 - cot^{-1}5 এর মান কোনটি?,cot^{-1}3,cot^{-1}\frac{11}{3},cot^{-1}\frac{11}{7},cot^{-1}\frac{9}{7},cot^{-1}3,cot^{-1}\frac{11}{3},cot^{-1}\frac{11}{7},cot^{-1}\frac{9}{7},b
"If n is an integer, then which one is the general solution of 2cos2\theta - 1 = 0?",n একটি পূর্ণসংখ্যা হলে 2cos2\theta - 1 = 0 সমীকরণের সাধারণ সমাধান কোনটি?,2n\pi \pm \frac{\pi}{3},n\pi \pm \frac{\pi}{3},2n\pi \pm \frac{\pi}{6},n\pi \pm \frac{\pi}{6},2n\pi \pm \frac{\pi}{3},n\pi \pm \frac{\pi}{3},2n\pi \pm \frac{\pi}{6},n\pi \pm \frac{\pi}{6},d
"Extrauneous roots-
 i. does not satisfy trigonometric equation
 ii. are obtained by squaring equations
 iii. are obtained by applying square root
 Which one is correct?","অবাস্তব মূল ত্রিকোণমিতিক সমীকরণকে-
 i. সিদ্ধ করে না
 ii. বর্গ করলে পাওয়া যায়
 iii. বর্গমূল করলে পাওয়া যায়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
For which angle the resultant of 6N and 8N will be 2\sqrt{13} N?,"6N এবং 8N বল দুটির মধ্যবর্তী কোণ কত হলে, লব্ধি 2\sqrt{13} N হবে?",30\degree,60\degree,90\degree,120\degree,30\degree,60\degree,90\degree,120\degree,d
"If three forces acting at point be in equilibrium, then the resultant of any two forces will be ___ to third force.
 i. equal
 ii. parallel
 iii. opposite
 Which one is correct?","কোনো বিন্দুতে ক্রিয়ারত তিনটি বল সাম্যবস্থায় থাকলে যেকোনো দুটি বলের লব্ধি তৃতীয় বলের-
 i. সমান
 ii. সমান্তরাল
 iii. বিপরীতমুখী
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"Two unlike parallel forces of magnitude 45N and 15N act at point A and B. Their resultant act at point C. If AC = 5, then AB = ?",A ও B বিন্দুতে ক্রিয়ারত 45N ও 15N বিসাদৃশ সমান্তরাল বলের লব্ধি C বিন্দুতে ক্রিয়া করে। AC = 5 হলে AB = কত?,5 m,10 m,15 m,20 m,5 m,10 m,15 m,20 m,b
"If a person can directly cross a streamless river of width 450 meter in 15 minutes, what will be the velocity of swimmer in km/hour?","এক ব্যক্তি 450 মিটার চওড়া একটি স্রোতহীন নদী সাঁতার দিয়ে ঠিক সোজাসুজিভাবে 15 মিনিটে পার হলে, সাঁতারুর বেগ কত কি.মি./ঘন্টা?",\frac{1}{2},\frac{9}{5},3,\frac{9}{2},\frac{1}{2},\frac{9}{5},3,\frac{9}{2},b
An object is fallen freely from the upper position of 5 second. In last 3 second the object is fallen how much feet?,একটি বস্তু উপর থেকে মুক্তভাবে 5 সেকেন্ডে পড়ল। বস্তুটি শেষের 3 সেকেন্ডে কত ফুট পড়েছিল?,336,256,192,128,336,256,192,128,a
"If a particle is projected vertically upward from the ground with an initial velocity 3 m/s, then whet will be the greatest height?",ভূমি হতে 3 মি./সে. আদিবেগে একটি বস্তু উলম্বভাবে উপরের দিকে নিক্ষেপ করলে বস্তুটি সর্বাধিক কত মিটার উপরে উঠবে?,\frac{6}{g} m,\frac{3}{g} m,\frac{9}{2g}m,\frac{9}{g} m,\frac{6}{g} m,\frac{3}{g} m,\frac{9}{2g}m,\frac{9}{g} m,c
"If a particle is projected at an angle \alpha with horizon and initial velocity is u then-
 i. time of flight is \frac{2usin\alpha}{g}
 ii. maximum range \frac{u^{2}}{g}
 iii. greates height is \frac{u^{2}sin^{2}\alpha}{2g}
 Which one is correct?","u আদিবেগে আনুভূমিকের সাথে \alpha কোণে একটি বস্তু প্রক্ষিপ্ত হলে-
 i. বিচরণকাল \frac{2usin\alpha}{g}
 ii. বৃহত্তম পাল্লা \frac{u^{2}}{g}
 iii. সর্বাধিক উচ্চতা \frac{u^{2}sin^{2}\alpha}{2g}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"The roots of x^{2} - 8x + c = 0 are-
 i. equal if c = 8
 ii. complex if e > 16
 iii. real if c \leq 16
 Which one is correct?","x^{2} - 8x + c = 0 এর মূলদ্বয়-
 i. সমান হবে যদি c = 8 হয়
 ii. জটিল হবে যদি e > 16 হয়
 iii. বাস্তব হবে যদি c \leq 16 হয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"z = 3i
 
 Which point is formed by \overline{z}?","z = 3i
 
 \overline{z} দ্বারা গঠিত বিন্দু কোনটি?","(0, -3)","(0, 3)","(-3, 0)","(3, 0)","(0, -3)","(0, 3)","(-3, 0)","(3, 0)",a
"z = 3i
 
 What is the general argument of \overline{z}?","z = 3i
 
 \overline{z} এর সাধারণ আর্গুমেন্ট কত?",2n\pi + \frac{\pi}{2},2n\pi - \frac{\pi}{2},n\pi + \frac{\pi}{2},n\pi - \frac{\pi}{2},2n\pi + \frac{\pi}{2},2n\pi - \frac{\pi}{2},n\pi + \frac{\pi}{2},n\pi - \frac{\pi}{2},b
9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 represents-,9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 সমীকরণটি কী নির্দেশ করে?,Circle,Parabola,Ellipse,Hyperbola,বৃত্ত,পরাবৃত্ত,উপবৃত্ত,অধিবৃত্ত,d
What is the value of (\sqrt{-3}) \times (\sqrt{-1}) = ?,\sqrt{-3} \times \sqrt{-1} এর মান কোনটি?,\sqrt{3i},\pm \sqrt{3},- \sqrt{3},\sqrt{3},\sqrt{3i},\pm \sqrt{3},- \sqrt{3},\sqrt{3},c
"If the resultant of two forces are maximum, then what is the angle between them?","দুটি বলের লব্ধি হতে বৃহত্তম হলে, তাদের মধ্যবর্তী কোণ কত?",180\degree,90\degree,- 180\degree,0\degree,180\degree,90\degree,- 180\degree,0\degree,d
What is the coordinate of the focus of parabola x^{2} = - 3y?,x^{2} = - 3y পরাবৃত্তটির উপকেন্দ্রের স্থানাঙ্ক কত?,"\left ( - \frac{3}{4}, 0 \right )","\left ( \frac{3}{4}, 0 \right )","\left (0, - \frac{3}{4} \right )","\left (0, \frac{3}{4} \right )","\left ( - \frac{3}{4}, 0 \right )","\left ( \frac{3}{4}, 0 \right )","\left (0, - \frac{3}{4} \right )","\left (0, \frac{3}{4} \right )",c
"If cot^{-1} p = cosec^{-1} \frac{3}{2}, then p = ?","cot^{-1} p = cosec^{-1} \frac{3}{2} হলে, p = ?",\frac{2}{\sqrt{5}},\frac{3}{\sqrt{5}},\frac{\sqrt{5}}{3},\frac{\sqrt{5}}{2},\frac{2}{\sqrt{5}},\frac{3}{\sqrt{5}},\frac{\sqrt{5}}{3},\frac{\sqrt{5}}{2},d
Two like parallel forces with magnitude 12N and 8N act at two ends of a body of 15m long. How much distance the resultant act away from the greater force?,12N ও 8N দুটি সদৃশ সমান্তরাল বল 15m লম্বা একটি হালকা দণ্ডের দুই প্রান্তে ক্রিয়া করলে বৃহত্তম বল হতে লব্ধি কত দূরে ক্রিয়া করে?,2 m,4 m,6 m,8 m,2 m,4 m,6 m,8 m,c
"If s = t^{3} + 3t^{2} + 6, then what is the acceleration after 2 sec?","যদি s = t^{3} + 3t^{2} + 6 হয়, তবে 2sec পরে এর ত্বরণ কত?",6 m/sec^{2},12 m/sec^{2},18 m/sec^{2},24 m/^{2},6 m/sec^{2},12 m/sec^{2},18 m/sec^{2},24 m/^{2},c
What is the solution of the equation tan3\theta = 1?,tan3\theta = 1 সমীকরণের সমাধান কোনটি?,\frac{n\pi}{3} + \frac{\pi}{12},\frac{n\pi}{3} + \frac{\pi}{6},\frac{3n\pi}{3} + \frac{\pi}{12},n\pi,\frac{n\pi}{3} + \frac{\pi}{12},\frac{n\pi}{3} + \frac{\pi}{6},\frac{3n\pi}{3} + \frac{\pi}{12},n\pi,a
"If sec\theta = - 2 and \frac{\pi}{2} < \theta, then what is the value of \theta?","যদি sec\theta = - 2 এবং \frac{\pi}{2} < \theta হয়, তবে \theta এর মান কত?",- \frac{2\pi}{3},\frac{2\pi}{3},- \pi,\pi,- \frac{2\pi}{3},\frac{2\pi}{3},- \pi,\pi,b
How much forces is to be imposed to make the velocity 15 m/sec by 5 sec to a static particle of weight 33 kg?,কী পরিমাণ বল 33kg ভরের একটি স্থির বস্তুর উপর প্রয়োগ করলে 5 sec এ তার বেগ 15 m/sec হবে?,11 N,33 N,66 N,99 N,11 N,33 N,66 N,99 N,d
"9x^{2} - 16y^{2} is a equation of hyperbola.
 
 Which one is the length of latus rectum of hyperbola?","9x^{2} - 16y^{2} একটি অধিবৃত্তের সমীকরণ।
 
 অধিবৃত্তের উপকেন্দ্রিক লম্বের দৈর্ঘ্য কোনটি?",\frac{9}{8},\frac{9}{2},\frac{32}{5},\frac{32}{9},\frac{9}{8},\frac{9}{2},\frac{32}{5},\frac{32}{9},b
"9x^{2} - 16y^{2} is a equation of hyperbola.
 
 WHich one is the equation of directrix?","9x^{2} - 16y^{2} একটি অধিবৃত্তের সমীকরণ।
 
 নিয়ামক রেখার সমীকরণ কোনটি?",x = \frac{16}{5},y = \frac{16}{5},x = \pm \frac{16}{5},y = \pm \frac{16}{5},x = \frac{16}{5},y = \frac{16}{5},x = \pm \frac{16}{5},y = \pm \frac{16}{5},c
A stone is dropped from the top of a building with 54meters height. How much time is required to fall on the gount?,54 মিটার উঁচু দালানের ছাদ থেকে একটি পাথর খাড়া নিচের ছেড়ে দিলে ভূমিতে পড়তে কত সময় লাগবে?,3.32 sec,3.34 sec,3.36 sec,3.38 sec,3.32 sec,3.34 sec,3.36 sec,3.38 sec,a
What is the value of tancot^{-1} tancos^{-1} x = ?,tancot^{-1} tancos^{-1} x এর মান কোনটি?,\sqrt{1 - x^{2}},\frac{\sqrt{1 - x^{2}}}{x},\frac{x}{\sqrt{1 - x^{2}}},\frac{1}{\sqrt{1 - x^{2}}},\sqrt{1 - x^{2}},\frac{\sqrt{1 - x^{2}}}{x},\frac{x}{\sqrt{1 - x^{2}}},\frac{1}{\sqrt{1 - x^{2}}},c
A particle starting from the rest with acceleration 3 cm/sec^{2}. What is the velocity after 1 minute?,একটি কণা স্থিরাবস্থা হতে 3 cm/sec^{2}. ত্বরণে চলতে শুরু করলে 1 মিনিট পর তার বেগ কত হবে?,3 cm/sec,60 cm/sec,120 cm/sec,180 cm/sec,3 cm/sec,60 cm/sec,120 cm/sec,180 cm/sec,d
"If x + iy = i^{-2021} + 2(\omega)^{-2019}, then \frac{y}{x} = ?","x + iy = i^{-2021} + 2(\omega)^{-2019} হলে, \frac{y}{x} = ?",\frac{1}{2},- \frac{1}{2},2,-2,\frac{1}{2},- \frac{1}{2},2,-2,b
"If 2 + i is a root of x^{2} + mx + n = 0, which one is the value of m and n?","x^{2} + mx + n = 0 সমীকরণের একটি মূল 2 + i হলে m, n এর মান কত?","m = 4, n = 5","m = -4, n = 5","m = -4, n = -5","m = 4, n = -5","m = 4, n = 5","m = -4, n = 5","m = -4, n = -5","m = 4, n = -5",b
What is the area of the conic 9x^{2} + 7y^{2} = 63?,9x^{2} + 7y^{2} = 63 কণিকের ক্ষেত্রফল কত?,7\pi,9\pi,7\sqrt{3}\pi,3\sqrt{7}\pi,7\pi,9\pi,7\sqrt{3}\pi,3\sqrt{7}\pi,d
Which one is value of tan^{-1} + cot^{-1} \frac{1}{3}?,tan^{-1} + cot^{-1} \frac{1}{3} এর মান কোনটি?,\frac{\pi}{4},\frac{3\pi}{4},\frac{5\pi}{4},- \frac{\pi}{4},\frac{\pi}{4},\frac{3\pi}{4},\frac{5\pi}{4},- \frac{\pi}{4},b
The roots of the equation 3x^{2} - 6x + 4 = 0 are-,3x^{2} - 6x + 4 = 0 সমীকরণের মূলদ্বয়-,real and equal,real and unequal,complex and equal,complex and unequal,বাস্তব ও সমান,বাস্তব ও অসমান,জটিল ও সমান,জটিল ও অসমান,d
"Three forces 2N, \sqrt{5}N, 3N acting at a point and area in equilibrium. What is the angle between the smaller forces?","2N, \sqrt{5}N এবং 3N বলত্রয় কোনো বিন্দুতে ক্রিয়া করে ভারসাম্য সৃষ্টি করে। ক্ষুদ্রতম বলদ্বয়ের অন্তর্গত কোণ কোনটি?",30\degree,60\degree,90\degree,180\degree,30\degree,60\degree,90\degree,180\degree,c
A particle started to move with the uniform accelearation and crossed the distance 16 metre by 4 second What distance will it cross at 5th second?,স্থিরাবস্থা হতে সমত্বরণে চলমান একটি কণা 4 সেকেন্ডে 16 মিটার দূরত্ব অতিক্রম করে। 5ম সেকেন্ডে কণাটি কত দূরত্ব অতিক্রম করবে?,9 metre,11 metre,18 metre,22 metre,9 মিটার,11 মিটার,18 মিটার,22 মিটার,a
What is the value of i^{-49}?,i^{-49} এর মান কোনটি?,- i,i,-1,1,- i,i,-1,1,a
Polar form of -1 + i is-,-1 + i এর পোলার আকার-,\sqrt{2} \left ( cos\frac{\pi}{4} + i sin \frac{\pi}{4} \right ),\sqrt{2} \left ( cos\frac{\pi}{4} - i sin \frac{\pi}{2} \right ),\sqrt{2} \left ( cos\frac{3\pi}{4} - i sin \frac{3\pi}{4} \right ),\sqrt{2} \left ( cos\frac{3\pi}{4} + i sin \frac{3\pi}{4} \right ),\sqrt{2} \left ( cos\frac{\pi}{4} + i sin \frac{\pi}{4} \right ),\sqrt{2} \left ( cos\frac{\pi}{4} - i sin \frac{\pi}{2} \right ),\sqrt{2} \left ( cos\frac{3\pi}{4} - i sin \frac{3\pi}{4} \right ),\sqrt{2} \left ( cos\frac{3\pi}{4} + i sin \frac{3\pi}{4} \right ),d
What is the greater heights of the particle which is thrown vertically with velocity of 9.8 metre/sec?,9.8 মি./সে. বেগে খাড়া উপরের দিকে নিক্ষেপিত কোনো বস্তুর সর্বোচ্চ উচ্চতা কত?,2.0 metre,4.9 metre,9.8 metre,19.6 metre,2.0 মিটার,4.9 মিটার,9.8 মিটার,19.6 মিটার,b
"If \frac{1}{1 + i} is a root of a quadratic equation, what is the other root of the equation?",একটি দ্বিঘাত সমীকরণের একটি মূল \frac{1}{1 + i} হলে অপর মূলটি কত?,\frac{1}{1 - i},\frac{1 - i}{2},\frac{1 + i}{2},1 - i,\frac{1}{1 - i},\frac{1 - i}{2},\frac{1 + i}{2},1 - i,c
"Two equal forces \sqrt{6} N act at a point inclined at an angle 60\degree, find their resultant?","\sqrt{6} N মানের দুইটি সমান বল 60\degree কোণে এক বিন্দুতে ক্রিয়াশীল হলে, তাদের লব্ধির মান কত?",2\sqrt{6}N,2\sqrt{3} N,18N,3\sqrt{2} N,2\sqrt{6}N,2\sqrt{3} N,18N,3\sqrt{2} N,d
"If \alpha, \beta, \gamma are the roots of the equation x^{3} - \frac{1}{3}x - 15 = 0, then-
 i. \Sigma \alpha = 0
 ii. \Sigma \alpha \beta = - \frac{1}{3}
 iii. \alpha \beta \gamma = 15
 Which one is correct?","x^{3} - \frac{1}{3}x - 15 = 0 সমীকরণের মূলগুলি \alpha, \beta, \gamma হলে-
 i. \Sigma \alpha = 0
 ii. \Sigma \alpha \beta = - \frac{1}{3}
 iii. \alpha \beta \gamma = 15
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
