English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
CH_{3} - CH(OH) - CH_{2} - CH_{3} - COOH What is the correct IUPAC name of the compound?,CH_{3} - CH(OH) - CH_{2} - COOH যৌগের IUPAC নিয়মে নামক্রণ কোনটি সঠিক?,2-Hydroxy acid,4-Hydroxy acid,5-Carboxyl pentanoic-2,1-Carboxyl pentanoic-4,2-হাইড্রোক্সি পেন্টানয়িক এসিড,4-হাইড্রোক্সি পেন্টানয়িক এসিড,5-কার্বক্সিল পেন্টানল-2,1-কার্বক্সিল পেন্টানল-4,b
"If oxidation potential of Zn/Zn^{2+} and Ag/Ag^{+} are +0.76V and -0.769V respectively, what is the total potential of electric cell?","Zn/Zn^{2+} এবং Ag/Ag^{+} তড়িৎদ্বারের জারণ বিভব যথাক্রমে + 0.76V এবং -0.769V হলে, তড়িৎ কোষটির মোট বিভব কত?",\text{+ 1.529V},\text{+ 0.779V},\text{+ 0.039V},\text{- 1.529V},\text{+ 1.529V},\text{+ 0.779V},\text{+ 0.039V},\text{- 1.529V},a
What is the number of isomer of n-pentane?,n-পেন্টেনের সমাণু সংখ্যা কতটি?,3,4,5,6,3,4,5,6,a
Which of the following is ortho-para indicator?,নিচের কোনটি অর্থো-প্যারা নির্দেশক?,\text{- NO_{2}},\text{- NH_{2}},\text{- COOH},\text{- CHO},\text{- NO_{2}},\text{- NH_{2}},\text{- COOH},\text{- CHO},b
"If the 7.5 amp current is passed through CuSO_{4} solution for 50min, what is the amount of deposited Cu at cathode in gram unit/?",CuSO_{4} দ্রবণে 7.5 amp বিদ্যুৎ 50 min ধরে চালনা করলে ক্যাথোডে উৎপন্ন Cu এর পরিমাণ গ্রাম এককে কত?,0.2463,3.7,7.4,14.8,0.2463,3.7,7.4,14.8,c
"Characteristics of S_{N}^{2} reactions are-
i. this mechanism is shown in polar solvent
ii. completed in one step
iii. reactivity series CH_{3}X > 1\degree RX > 2\degree RX > 3\degree RX
Which of the following is correct?","S_{N}2 বিক্রিয়ার বৈশিষ্ট্য হচ্ছে-
 i. পোলার দ্রাবকে এ কৌশল দেখা যায়
 ii. এক ধাপে সম্পন্ন হয়
 iii. সক্রিয়তার ক্রম:
 CH_{3}X > 1\degree RX > 2\degree RX > 3\degree RX
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
How many Hydrogen atom are there in 9.0 g water is STP?,প্রমাণ অবস্থায় 9.0 g পানিতে হাইড্রোজেন পরমাণু থাকে?,6.023 \times 10^{23},3.0115 \times 10^{23},6.023 \times 10^{21},12.046 \times 10^{23},6.023 \times 10^{23},3.0115 \times 10^{23},6.023 \times 10^{21},12.046 \times 10^{23},a
"By electrolysis a aqueous solution of NaCl, the produced compound is-
i. NaOH
ii. Cl_{2}
iii. H_{2}
Which of the following is correct?","NaCl এর জলীয় দ্রবণের তড়িৎ বিশ্লেষণে উৎপন্ন হয়-
 i. NaOH
 ii. Cl_{2}
 iii. H_{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
The name of pH of methyl orange to change color is-,মিথাইল অরেঞ্জ -এর বর্ণ পরিবর্তনের pH পরিসর হলো-,6.8-8.4,4.2-6.3,3.8-5.4,3.1-4.4,6.8-8.4,4.2-6.3,3.8-5.4,3.1-4.4,d
Which of the following is the most stable carbanion?,সর্বাধিক স্থায়িত্বের কার্বনায়ন কোনটি?,\overline{C}H_{3},CH_{3}\overline{C}H_{2},(CH_{3})_{2}\overline{C}H,(CH_{3})_{3}\overline{C},\overline{C}H_{3},CH_{3}\overline{C}H_{2},(CH_{3})_{2}\overline{C}H,(CH_{3})_{3}\overline{C},a
Which is the Sl unit of molar gas constant R?,মোলার গ্যাস ধ্রুবক R-এর SI একক কোনটি?,LatmK^{-1} mol^{-1},JK^{-1} mol^{-1},ergK^{-1} mol^{-1},cal.K^{-1} mol^{-1},LatmK^{-1} mol^{-1},JK^{-1} mol^{-1},ergK^{-1} mol^{-1},cal.K^{-1} mol^{-1},b
Which one is the Lewis base?,কোনটি লুইস ক্ষারক?,CO,BF_{3},BeCl_{2},SO_{3},CO,BF_{3},BeCl_{2},SO_{3},a
Which is produced by Haffman's degradation?,হফম্যান ডিগ্রেডেশন দ্বারা কোনটি উৎপন্ন হয়?,Acid amide,Primary amine,Secondary amine,Carboxylic acid,এসিড অ্যামাইড,প্রাইমারি অ্যামিন,সেকেন্ডারি অ্যামিন,কার্বক্সিলিক এসিড,b
Of which both valence and oxidation number is zero?,যোজনী ও জারণ সংখ্যা উভয় শূন্য কোনটির?,Br_{2},Ar,CH_{2}Cl_{2},HCHO,Br_{2},Ar,CH_{2}Cl_{2},HCHO,b
How will be the concentration of 0.05M glucose solution in ppm unit?,0.05M গ্লুকোজ দ্রবণের ঘনমাত্রা ppm এককে কত হবে?,900,4500,9000,18000,900,4500,9000,18000,c
What is produce to do electroysis of brine?,ব্রাইনের তড়িৎ বিশ্লেষণ করলে কী উৎপন্ন হয়?,NaCl,NHCO_{3},NaOH,NaClO,NaCl,NaHCO_{3},NaOH,NaClO,c
"Which one will be used as cathode with Pt, H_{2}/H^{+}?","Pt, H_{2}/H^{+} এর সাথে কোনটি ক্যাথোড হিসেবে ব্যবহৃত হবে?",Au^{3+}/Au,Mg^{2+}/Mg,Sn^{2+}/Sn,Al^{3+}/Al,Au^{3+}/Au,Mg^{2+}/Mg,Sn^{2+}/Sn,Al^{3+}/Al,a
"A + CO_{2} \rightarrow RCOOMgX \xrightarrow[-Mg(OH)X]{H^{+}/H_{2}O}B
What is the compound 'B'?","A + CO_{2} \rightarrow RCOOMg X \xrightarrow[-Mg(OH)X]{H^{+}/H_{2}O} X
 
 B যৌগটি কী?",RCHO,RCOX,RCOOH,RCOOR,RCHO,RCOX,RCOOH,RCOOR,c
"A + CO_{2} \rightarrow RCOOMgX \xrightarrow[-Mg(OH)X]{H^{+}/H_{2}O}B
What compound will be produced between the reaction of compound A and ketone?","A + CO_{2} \rightarrow RCOOMg X \xrightarrow[-Mg(OH)X]{H^{+}/H_{2}O} X
 
 A যৌগের সাথে কিটোন যৌগের বিক্রিয়ায় কী যৌগ উৎপন্ন হবে?",3\degree alcohol,2\degree alcohol,1\degree alcohol,Carboxylic acid,3\degree অ্যালকোহল,2\degree অ্যালকোহল,1\degree অ্যালকোহল,কার্বক্সিলিক এসিড,a
"In case of Bronsted Lowry theory works as acid-
i. PH_{4}^{+}
ii. HC_{2}O_{4}^{-}
iii. Na_{2}HPO_{4}
Which one is correct?","ব্রনস্টেড-লাউরী তত্ত্বমতে এসিড হিসেবে কাজ করে-
 i. PH_{4}^{+}
 ii. HC_{2}O_{4}^{-}
 iii. Na_{2}HPO_{4}
 নিচের কোনটি সঠিক?",i,i & iii,ii & iii,"i, ii & iii",i,i ও ii,ii ও iii,"i, ii ও iii",d
Which test is used for determination of element in organic compound?,জৈব যৌগে মৌল শনাক্তকরণের জন্য কোন পরীক্ষা ব্যবহার করা হয়?,Lodoform test,Carbylamine test,Bayer's test,Laysine test,আয়োডোফর্ম পরীক্ষা,কার্বিলঅ্যামিন পরীক্ষা,বেয়ার পরীক্ষা,লেসাইন পরীক্ষা,d
The functional group of amide is-,অ্যামাইডের কার্যকরী মূলক হলো-,- CONH_{2},- COX,- CHO,- NH_{2},\text{-CONH_{2}},\text{-COX},\text{-CHO},\text{-NH_{2}},a
Which element cannot subsitute hydrogen from hydrochloric acid?,কোন মৌলটি হাইড্রোক্লোরিক এসিড থেকে হাইড্রোজেন প্রতিস্থাপন করতে পারে না?,Fe,Co,Sn,Pt,Fe,Co,Sn,Pt,d
How much electricity will require to deposite 55.85g Fe from FeCl_{3}?,FeCl_{3} হতে 55.85g Fe জমা করতে কী পরিমাণ বিদ্যুৎ লাগবে?,5F,3F,2F,1F,5F,3F,2F,1F,b
"Cr_{2}O_{7}^{2-} + H^{-} + Fe^{2+} \rightarrow In this reaction-
i. Cr_{2}O_{7}^{2-} is reduced
ii. Fe^{2+} is oxidised
iii. the number of electron transfer is 6
Which one is correct?","Cr_{2}O_{7}^{2-} + H^{+} + Fe^{2+} \rightarrow এই বিক্রিয়ায়-
 i. Cr_{2}O_{7}^{2-} বিজারিত হয়
 ii. Fe^{2+} জারিত হয়
 iii. 6 টি ইলেকট্রন স্থানান্তরিত হয়
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
How many oxygen atoms exist in half mole Co_{2} gas?,অর্ধমোল CO_{2} গ্যাসে অক্সিজেন পরমাণুর সংখ্যা কত?,1,2,3.01 \times 10^{23},6.023 \times 10^{23},1 টি,2 টি,3.01 \times 10^{23} টি,6.023 \times 10^{23} টি,d
Which one is a primary standard subtance?,কোনটি প্রাইমারি স্ট্যান্ডার্ড পদার্থ?,CH_{3}COOH,Na_{2}C_{2}O_{4}.2H_{2}O,Na_{2}S_{2}O_{3}.5H_{2}O,KMnO_{4},CH_{3}COOH,Na_{2}C_{2}O_{4}.2H_{2}O,Na_{2}S_{2}O_{3}.5H_{2}O,KMnO_{4},b
Which one is liable for temporary hardness of water?,কোনটি পানির অস্থায়ী খরতার জন্য দায়ী?,CaCO_{3},AlCl_{3},Mg(HCO_{3})_{2},FeSO_{4},CaCO_{3},AlCl_{3},Mg(HCO_{3})_{2},FeSO_{4},c
What colour holds phenolphthalein in HBr solution?,HBr দ্রবণে ফেনলফথ্যালিন কী বর্ণ ধারণ করে?,Red,Yellow,Pink,Colourless,লাল,হলুদ,গোলাপী,বর্ণহীন,d
Which one is weak electrolyte?,কোনটি দুর্বল তড়িৎবিশ্লেষ্য?,NH_{4}OH,NaOH,H_{2}SO_{4},HNO_{3},NH_{4}OH,NaOH,H_{2}SO_{4},HNO_{3},a
What amount of Na_{2}CO_{3} is needed to make 100mL semimolar solution?,100 mL সেমিমোলার দ্রবণ তৈরিতে কী পরিমাণ Na_{2}CO_{3} প্রয়োজন?,0.53g,1.06g,5.30g,10.60g,0.53 g,1.06 g,5.30 g,10.60 g,c
How many mL water mixed of decimolar solution can be prepared from 50mL 0.5M NaOH solution?,50mL 0.5M NaOH দ্রবণকে ডেসিমোলার দ্রবণে পরিণত করতে কত mL পানি যোগ করতে হবে?,250 mL,200 mL,150 mL,100 mL,250 mL,200 mL,150 mL,100 mL,b
Which one is the secondary standard substance?,সেকেন্ডারি স্ট্যান্ডার্ড পদার্থ কোনটি?,KMnO_{4},K_{2}Cr_{2}O_{7},Na_{2}CO_{3},Na_{2}C_{2}O_{4},KMnO_{4},K_{2}Cr_{2}O_{7},Na_{2}CO_{3},Na_{2}C_{2}O_{4},a
Which one of the following is electro-chemical equivalent of Zn?,জিঙ্ক (Zn) এর তড়িৎ রাসায়নিক তুল্যাঙ্ক কত?,0.0000208 gC^{-1},0.000339 gC^{-1},0.000367 gC^{-1},0.00118 gC^{-1},0.0000208 gC^{-1},0.000339 gC^{-1},0.000367 gC^{-1},0.00118 gC^{-1},b
"32g O_{2} means-
i. 1 mole O_{2}
ii. 24.8L volume in STP
iii. equal to Avogadro's number of molecule
Which one is correct?","32g O_{2} এর অর্থ হলো-
 i. 1 mole O_{2}
 ii. প্রমাণ অবস্থায় 24.8L আয়তন
 iii. অ্যাডোগেড্রোর সংখ্যার সমাণ অণু
 নিচের কোনটি সঠিক?",i,i and ii,i and iii,"i, ii and iii",i,i ও ii,i ও iii,"i, ii ও iii",c
Which is the acidity of Al_{2}O_{3}?,Al_{2}O_{3} এর অম্লত্ব কত?,6,4,3,2,6,4,3,2,a
"A' and 'B' both compounds having molecular formula C_{4}H_{g}. The compound 'A' has only one form but 'B' has two forms.
What is the IUPAC name of 'A' is correct?","A ও B উভয় যৌগের আণবিক সংকেত C_{4}H_{8}. A যৌগের ১ট গঠন হলেও B যৌগের দুটি গঠন সম্ভব।
 
 IUPAC পদ্ধতিতে A যৌগের সঠিক নাম কোনটি?",But-1-yen,But-1-ene,But-2-ene,But-3-ene,বিউট-1-আইন,বিউট-1-ইন,বিউট-2-ইন,বিউট-3-ইন,b
"A' and 'B' both compounds having molecular formula C_{4}H_{g}. The compound 'A' has only one form but 'B' has two forms.
The compound 'B' exhibits the isomer is-
i. d-isomer
ii. cis-isomer
iii. trans-isomer
Which one is correct?","A ও B উভয় যৌগের আণবিক সংকেত C_{4}H_{8}. A যৌগের ১ট গঠন হলেও B যৌগের দুটি গঠন সম্ভব।
 
 B যৌগের সমাণু হলো-
 i. d-সমাণু
 ii. cis-সমাণু
 iii. trans-সমাণু
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which one of the emf of cell reaction when ZnCl_{2} solution is added to made of Magnesium pot? [The standard eletrode potential are E\degree Zn/Zn^{2+} = +0.76V and E\degree Mg/Mg^{2+} = +2.37V],ম্যাগনেসিয়াম ধাতুর তৈরি পাত্রে ZnCl_{2} দ্রবণ রাখলে গঠিত কোষটির emf কত হবে? [প্রমাণ তড়িৎদ্বার বিভব হলো যথাক্রমে E\degree _{Zn/Za}^{2+} = + 0.76V ও E\degree _{Mg/Mg}^{2+} = +2.37V],- 3.13V,- 1.61V,\text{+1.61}V,\text{+3.13}V,\text{-3.13V},\text{-1.61V},\text{+1.61V},\text{+3.13V},c
"Between the titration of HCl and NaOH solution indicator is used-
i. methyl orange
ii. menthyl red
iii. phenolphthalein
Which one is correct?","HCl ও NaOH এর টাইট্রেশনে নির্দেশক ব্যবহৃত হয়-
 i. মিথাইল অরেঞ্জ
 ii. মিথাইল রেড
 iii. ফেনল্‌ফথ্যালিন
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,ii ও iii,"i, ii ও iii",d
Which one of gases diffusion rate is highest?,কোন গ্যাসটির ব্যাপন হার সবচেয়ে বেশি?,CO_{2},O_{2},N_{2},H_{2},CO_{2},O_{2},N_{2},H_{2},d
"Which is the major product expected from the following reaction?
CH_{3} - C = CH + HBr(excess) \rightarrow?","বিক্রিয়াটির প্রধান উৎপাদ কোনটি?
 CH_{3} - C \equiv CH + HBr (অতিরিক্ত) \rightarrow ?",CH_{3} - CBr = CH_{2},CH_{3} - CH = CHBr,CH_{3}  - CHBr - CH_{2}Br,CH_{3} - CBr_{2} - CH_{3},CH_{3} - CBr = CH_{2},CH_{3} - CH = CHBr,CH_{3} - CHBr - CH_{2}Br,CH_{3} - CBr_{2} - CH_{3},d
Which one of the following half-cells is react as  more anodic?,অর্ধ কোষগুলোর মধ্যে কোনটি অ্যানোড হিসাবে ক্রিয়া করবে?,Zn/Zn^{2+},Mg/Mg^{2+},Fe/Fe^{2+},Cu/Cu^{2+},Zn/Zn^{2+},Mg/Mg^{2+},Fe/Fe^{2+},Cu/Cu^{2+},b
How much average kinetic energy of 4.4g CO_{2} gas at 27\degree C?,27\degree C তাপমাত্রায় 4.4g CO_{2} গ্যাসের গড় গতিশক্তি কত?,3.69 J,374.13 J,369 kJ,374.13 kJ,3.69J,374.13J,369kJ,374.13kJ,b
"How many number of electrons are transferred in this reaction?
2Na_{2}S_{2}O_{3}  + l_{2} \rightarrow Na_{2}S_{4}O_{6} + 2Nal","নিম্নের বিক্রিয়ায় কতটি ইলেকট্রন আদান প্রদান হয়?
 2Na_{2}S_{2}O_{3} + I_[2} \rightarrow Na_{2}S_{4}O_{6} + 2NaI",2,3,4,6,2,3,4,6,a
"By the carbilamine test identify-
i. 1\degree Amine
ii. 1\degree Alcohol
iii. Phenol
Which one is correct?","কার্বিল অ্যামিন পরীক্ষা দ্বারা শনাক্ত করা যায়-
 i. ১\degree অ্যামিন
 ii. ১\degree অ্যালকোহল
 iii. ফেনল
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,ii ও iii,"i, ii ও iii",a
How many molecules are present in 14g N_{2} gas?,14g N^{2} গ্যাসে কতটি অণু বিদ্যমান?,3.011 \times 10^{-23},3.011 \times 10^{23},6.023 \times 10^{-23},6.023 \times 10^{23},3.011 \times 10^{-23},3.011 \times 10^{23},6.023 \times 10^{-23},6.023 \times 10^{23},b
What is the oxidation number of central atom in the compound of Na_{2}S_{4}O_{6}?,Na_{2}S_{4}O_{6} যৌগটির কেন্দ্রীয় পরমাণুর জারণ সংখ্যা কত?,-2,-2.5,\text{+2},\text{+2.5},\text{-2},\text{-2.5},\text{+2},\text{+2.5},d
"Ethanol reacts with conc. H_{2}SO_{4} at different condition producing-
i. ethane
ii. ethene
iii. di-ethyl ether
Which one is correct?","বিভিন্ন শর্তে ইথানল গাঢ় H_{2}SO_{4} এর সাথে বিক্রিয়ায় উৎপন্ন হয়-
 i. ইথেন
 ii. ইথিন
 iii. ডাই ইথানল ইথার
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,ii ও iii,"i, ii ও iii",c
What is the strength of a solution of 10% \left ( \frac{w}{c} \right )H_{2}SO_{4} solution in ppm?,10%\frac{w}{V} H_{2}SO_{4} দ্রবণের ঘনমাত্রা ppm এককে কত?,10^{2} ppm,10^{3} ppm,10^{4} ppm,10^{5} ppm,10^{2} ppm,10^{3} ppm,10^{4} ppm,10^{5} ppm,d
