English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"Which of the following elements has the same number of electrons, protons and neutrons?","নিচের কোন মৌলের ইলেকট্রন, প্রোটন ও নিউট্রন সংখ্যা সমান?",O,Na,Al,P,O,Na,Al,P,a
What is the distillation temperature of keroene?,কেরোসিনের পাতন তাপমাত্রা কত?,70^{\circ} C,170^{\circ} C,171^{\circ} C,270^{\circ} C,70\degree C,170\degree C,171\degree C,270\degree C,b
How many electrons are there in the 'M' shell of copper?,কপারের M কক্ষপথে কতটি ইলেকট্রন থাকে?,18,10,9,1,18,10,9,1,a
How many double bond exist in a nphthalene molecule?,ন্যাপথালিনের অণুতে কতটি দ্বিবন্ধন বিদ্যমান?,2,3,4,5,2,3,4,5,d
"In case of the radioactive isotope _{}^{99}\textrm{Tc} -
i. lifetime 6 hours
ii. it emits Beta rays
iii. used to take the photo of the infected spot
Which one is correct?","তেজস্ক্রিয় আইসোটোপ ^{99}Tc এর ক্ষেত্রে-
 i. লাইফ টাইম 6 ঘন্টা
 ii. বিটা রশ্মি বিকিরণ করে
 iii. আক্রান্ত স্থানের ছবি তুলতে ব্যবহৃত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
_{p}^{q}\textrm{A}^{r+} What is the number of a neutrons of given element?,_{p}^{q}A^{r+} প্রদত্ত মৌলটির নিউট্রন সংখ্যা কত?,p,q - p,q,p - r,p,q - p,q,p - r,b
"Which is the following element is the electronic configuration of (n-1)d^{3}ns^{2}?
Where n = 4?",(n - 1) d^{3} ns^{2} ইলেকট্রন বিন্যাস n = 4 মৌলটি নিচের কোনটি?,V,Mn,Co,Ni,V,Mn,Co,Ni,a
"1s^{2}2s^{2}2p^{6}3s^{2}3p^{6} electronic configuration can be seen in-
i. S^{2-}
ii. Fe^{2+}
iii. Sc^{3+}
Which one is correct?","1s^{2}2s^{2}2p^{6}3s^{2}3p^{6} ইলেকট্রন বিন্যাস দেখা যায়-
 i. S^{2 -} এ
 ii. Fe^{2+} এ
 iii. Sc^{3+} এ
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Sulphur is the element of which group of periodic table?,সালফার পর্যায় সারণির কোন গ্রুপের মৌল?,3,6,8,16,3,6,8,16,d
In Which of the following compounds the latent valency if iron is zero?,নিচের কোন যৌগে আয়রন এর সুপ্তযোজনী শূন্য?,FeSO_{4},Fe(NO_{3})_{2},Fe_{2}(SO_{4})_{3},FeCO_{3},FeSO_{4},Fe(NO_{3})_{2},Fe_{2}(SO_{4})_{3},FeCO_{3},c
"A is a hydrocarbon which formula is C_{n}H_{2n+1}-CH = CH_{2}
What is name of 'A' whene n = 2?","A একটি হাইড্রোকার্বন। যার সংকেত C_{n}H_{2n+1} - CH = CH_{2} 
 
 n = 2 হলে A যৌগটির নাম কী?",1-Butene,2-Butene,3-Butene,Butyne,1-বিউটিন,2-বিউটিন,3-বিউটিন,বিউটাইন,a
"A is a hydrocarbon which formula is C_{n}H_{2n+1}-CH = CH_{2}
It is possible to prepare from the stem is-
i. nylon
ii. alkane
iii. fatty acid
Which one is correct?","A একটি হাইড্রোকার্বন। যার সংকেত C_{n}H_{2n+1} - CH = CH_{2} 
 
 উদ্দীপক হতে প্রস্তুত করা সম্ভব-
 i. নাইলন
 ii. অ্যালকেন
 iii. ফ্যাটি এসিড
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"i. In the 'N' shell of Zn, the number of electron is 2
ii. In the 'N' shell of Ca, the number of electron is 8
iii. The number of valence electron of Ni is 8
Which one is correct?","i. Zn এর N শেলের ইলেকট্রন সংখ্যা ২টি
 ii. Ca এর M শেলের ইলেকট্রন সংখ্যা ৮টি
 iii. Nl এর যোজ্যতা ইলেকট্রন ৮টি
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
How many atoms are there in a pentahydrate copper sulphate molecule?,তুঁতের একটি অণুতে কয়টি পরমাণু থাকে?,5,6,11,21,5,6,11,21,d
Which element has the highest electronegativity?,কোন মৌলের তড়িৎ ঋণত্মকতা সবচেয়ে বেশি?,Iodine,Bromine,Chlorine,Fluorine,আয়োডিন,ব্রোমিন,ক্লোরিন,ফ্লোরিন,d
What is the number of elements present in the human body?,মানবদেহে বিদ্যমান মৌলের সংখ্যা কতটি?,118,98,63,26,118,98,63,26,d
Which is the formula of Ozona molecule?,ওজোন অণুর সংকেত কোনটি?,O_{2},O_{3},O_{4},O_{8},O_{2},O_{3},O_{4},O_{8},b
Which aqueous solution is electrically non-conductive?,কোণটির জলীয় দ্রবণ বিদ্যুৎ অপরিবাহী?,C_{12}H_{22}O_{11},H_{2}SO_{4},CuSO_{4},ZnCl_{2},C_{12}H_{22}O_{11},H_{2}SO_{4},CuSO_{4},ZnCl_{2},a
What is the value of (n + 1) in the case of 5f orbitals?,5f অরবিটালের ক্ষেত্রে (n + l) এর মান কত?,5,6,7,8,5,6,7,8,d
How many vertical columns were in Mendeleev's speriodic table?,মেন্ডেলিফের পর্যায় সারণিতে কতটি খাড়া কলাম ছিল?,4,8,12,18,4,8,12,18,b
Which one of the following information is correct?,নিচের কোন তথ্যটি সঠিক?,C_{3}H_{6} is more active than C_{2}H_{4},CH_{4} reacts with base,Ethanol is a hydrocarbon,it is possible to recycle polypropene,C_{2}H_{4} অপেক্ষা C_{2}H{6} অধিক সক্রিয়,CH_{4} ক্ষারকের সাথে বিক্রিয়া করে,ইথানল একটি হাইড্রোকার্বন,পলিপ্রোপিনকে রি-সাইকেল করা যায়,d
The property of which element of the following is similar to the nitrogen?,নিচের কোন মৌলের ধর্ম নাইট্রোজেনের সাথে মিল রয়েছে?,Si,P,S,O,Si,P,S,O,b
Which substance removes the slippery of the roofs of our house during rainy season?,বর্ষাকালে বাড়ির ছাদের পিচ্ছিলতা দূর করে কোন পদার্থটি?,NaOH,SiO_{2},MgO,Ca(OH)_{2},NaOH,SiO_{2},MgO,Ca(OH)_{2},b
In which one of the following orbitals electron can enter first?,নিচের কোন অরবিটালে ইলেকট্রন আগে প্রবেশ করবে?,3d,4p,4s,3p,3d,4p,4s,3p,d
"i. C_{n}H_{2n+1}Cl + NaOH(aq)\rightarrow A + salt
   n = 2
ii. A+[O]\xrightarrow[]{K_{2}Cr_{2}O_{7}+H_{2}SO_{4}}B
What is the name of compound 'A'?","i. C_{n} H_{2n + 1} Cl + NaOH(aq) \rightarrow A + লবণ
  n = 2
 ii. A + [O] \xrightarrow{K_{2} Cr_{2} O_{7} + H_{2} SO_{4}} B
 
 'A' যৌগটির নাম কী?",Ethene,Ethanol,Ethanal,Ethane,ইথিন,ইথানল,ইথ্যানল,ইথেন,b
"i. C_{n}H_{2n+1}Cl + NaOH(aq)\rightarrow A + salt
   n = 2
ii. A+[O]\xrightarrow[]{K_{2}Cr_{2}O_{7}+H_{2}SO_{4}}B
The compound 'B' -
i. is in aldehyde group
ii. produces ethanoic acid
iii. is possible to prepare from ethyne
Which one is correct?","i. C_{n} H_{2n + 1} Cl + NaOH(aq) \rightarrow A + লবণ
  n = 2
 ii. A + [O] \xrightarrow{K_{2} Cr_{2} O_{7} + H_{2} SO_{4}} B
 
 'B' যৌগটি-
 i. অ্যালডিহাইড গ্রুপের
 ii. হতে ইথানোয়িক এসিড তৈরি হয়
 iii. ইথাইন থেকে প্রস্তুত করা যায়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,ii and iii,"i, ii, and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which one is the symbol of element antimony?,এন্টিমনি মৌলটির প্রতীক কোনটি?,At,Au,Sb,Sn,At,Au,Sb,Sn,c
Which one is the third step in the process of research in chemistry?,রসায়নে গবেষণা প্রক্রিয়ার ৩য় ধাপ কোনটি?,Acquiring relevant information,Data collection and analysis,Experiment,Planning of experiment,বিষয়বস্তু সম্পর্কে ধারণা নেওয়া,তথ্য সংগ্রহ ও তথ্যের বিশ্লেষণ,পরীক্ষণ সম্পন্ন করা,প্রয়োজনীয় বস্তু ও পরীক্ষা প্রণালী নির্ধারণ,d
Which element is responsible for air pollution?,কোন মৌলটি বায়ু দূষণের জন্য দায়ী?,Pb,Fe,He,Au,Pb,Fe,He,Au,a
How much electrons are present in 'M' energy shell of potassium?,পটাসিয়াম এর 'M' শক্তিস্তর কতটি ইলেকট্রন থাকে?,2,8,9,18,2,8,9,18,b
"In hydrocarbon, the amount of carbon is 85.71%. Which one is the empirical formula of the compound?","একটি হাইড্রোকার্বনে কার্বনের পরিমাণ 85.71% হলে, যৌগটির স্থূল সংকেত কোনটি?",CH,CH_{2},C_{2}H,CH_{4},CH,CH_{2},C_{2}H,CH_{4},b
"The position of 16^{A} element is in which group of the periodic table?
[Here A is used symbolically]",_{16}\text{A} মৌলটির অবস্থান পর্যায় সারণির কোন গ্রুপে? [A প্রতীকী অর্থে],16,8,9,2,16,8,6,2,a
"In the formation of which compound, octet rules is maintained?",কোন যৌগটি গঠনের সময় অষ্টক নিয়ম মেনে চলে?,CaF_{2},BF_{3},PCl_{5},BeCl_{2},CaF_{2},BF_{3},PCl_{5},BeCl{2},a
In which reaction electron is transferred?,কোন বিক্রিয়াটিতে ইলেকট্রন স্থানান্তর ঘটে?,Ca+2HCl = Cacl_{2}+H_{2},KOH+HCl = KCl+H_{2}O,KCl+AgNO_{3} = AgCl+KNO_{3},MgCl_{2}+7H_{2}O = MgCl_{2}+7H_{2}O,Ca + 2HCl = CaCl_{2} + H_{2},KOH + HCl = KCl + H_{2}O,KCl + AgNO_{3} = AgCl + KNO_{3},MgCl_{2} + 7H_{2}O = MgCl_{2}.7H_{2}O,a
Which compound is known as olifin?,কোন যৌগটিকে অলিফিন বলে?,C_{2}H_{6},C_{2}H_{2},C_{2}H_{4},C_{3}H_{8},C_{2}H_{6},C_{2}H_{2},C_{2}H_{4},C_{3}H_{8},c
"xH_{2}+yO_{2} = zH_{2}O, for the balanced reaction x : y : z = what?","xH_{2} + yO_{2} = Z H_{2}O; বিক্রিয়াটি সমতাকৃত অবস্থায় থাকলে, x : y : z = কত?",1 : 1 : 2,1 : 2 : 1,2 : 1 : 2,2 : 1 : 1,1 : 1 : 2,1 : 2 : 1,2 : 1 : 2,2 : 1 : 1,c
What is the oxidation number of oxygen in KO_{2} compound?,KO_{2} যৌগে অক্সিজেনের জারণ সংখ্যা কত?,-\frac{1}{2},-1,-2,+\frac{1}{2},- \frac{1}{2},- \text{1},- \text{2},#ERROR!,a
What is the valence electrons of the elements of halogen group?,হ্যালোজেন গ্রুপের মৌলগুলোর যোজ্যতা ইলেকট্রন কয়টি?,1,7,8,17,1,7,8,17,b
"The compound CCl_{4} -
i. is soluble in water
ii. is produced in between the reaction of ethane and Cl_{2}
iii. is formmed by covalent bond
Which one is correct?","CCl_{4} যৌগটি-
 i. পানিতে দ্রবণীয়
 ii. ইথেন ও Cl_{2} এর বিক্রিয়ায় উৎপন্ন হয়
 iii. সমযোজী বন্ধনে আবদ্ধ
 নিচের কোনটি সঠিক?",i,ii,iii,i and iii,i,ii,iii,i ও iii,c
What is the oxidation number of Sulphur in sodium thiosulphate?,সোডিয়াম থায়োসালফেট যৌগে সালফার এর জারণ সংখ্যা কত?,+ \frac{1}{2},+ 1,+ 2,+ 4,#ERROR!,1,2,4,c
How many grams of sodium hydroxide in 200 ml of solution will have a concentration of semi molar?,200 mL দ্রবণে কত গ্রাম সোডিয়াম হাইড্রোক্সাইড দ্রবীভূত থাকলে এর ঘনমাত্রা সেমিমোলার হবে?,20,4,1.25,0.5,20,4,1.25,0.5,b
During theformation of which compound each atom acquires the structure of Argon?,নিচের কোন যৌগটি গঠন করলে প্রতিটি পরমাণু আর্গনের বিন্যাস লাভ করে?,CaCl_{2},CaO,KF,MgF_{2},CaCl_{2},CaO,KF,MgF_{2},a
Which electrically conductive?,নিচের কোনটি বিদ্যুৎ পরিবাহী?,Na_{2}SO_{4}(s),NaCl(s),MgCl_{2}(l),C_{6}H_{12}O_{6}(l),Na_{2}SO_{4}(S),NaCl(s),MgCl_{2}(l),C_{6}H_{12}O_{6}(l),c
Which is a covalent compound?,কোনটি সমযোজী যৌগ?,Al_{2}O_{3},MgS,NaH,HCl,Al_{2}O_{3},MgS,NaH,HCl,d
Ca+Cl_{2}\rightarrow CaCl_{2} - in this reaction which is oxidized?,Ca + Cl_{2} \rightarrow CaCl_{2}; বিক্রিয়ায় কোনটি জারিত হয়েছে?,Cl_{2},Ca,Ca^{2+},Cl^{-},Cl_{2},Ca,Ca^{2+},Cl^{-},b
Which polymer is used to make plastic bottle?,প্লাস্টিক বোতল তৈরিতে কোন পলিমারটি ব্যবহৃত হয়?,Polypropene,Polythene,PVC,Deralin,পলিপ্রোপিন,পলিথিন,পিভিসি,ডেরলিন,a
Which part is separated at a temperature of 21^{\circ}C - 70^{\circ}C in the partial distillation of petroleum?,পেট্রোলিয়ামে আংশিক পতনে 21\degree - 70\degree C তাপমাত্রায় কোন অংশ পৃথক হয়?,Diesel,Kerosene,Naphtha,Gasoline,ডিজেল,কেরোসিন,ন্যাপথা,গ্যাসোলিন,d
"50 g of fluorine was driven into 4g of Hydrogen.
What is the value of Hydrogen gas reacted in the reaction at standard temperature and pressure?","50 g ফ্লোরিনকে 4 g H_{2} গ্যাসের মধ্যে চালনা করা হলো।
 
 বিক্রিয়ায় বিক্রিয়াকৃত H_{2} গ্যাসের আয়তন প্রমাণ অবস্থায় কত?",22.4 L,29.46 L,31.14 L,44.8 L,22.4 L,29.46 L,31.14 L,44.8 L,b
"50 g of fluorine was driven into 4g of Hydrogen.
If you want to convert the reactants completely into products, you have to add-","51 g ফ্লোরিনকে 4 g H_{2} গ্যাসের মধ্যে চালনা করা হলো।
 
 বিক্রিয়কগুলোকে সম্পূর্ণরূপে উৎপাদে রূপান্তরিত করতে চাইলে তাতে যোগ করতে হবে-",1.37g H_{2},2g H_{2},12g H_{2},26g H_{2},1.37 g H_{2},2 g H_{2},12 g H_{2},26 g F_{2},d
Which is the symbol of Antimony?,এন্টিমনির প্রতীক কোনটি?,Ag,Sb,Au,Sn,Ag,Sb,Au,Sn,b
Which orbital has less energy?,কোন অর্বিটালের শক্তি অপেক্ষাকৃত কম?,3d,4p,5s,4f,3 d,4 p,5 s,4 f,a
Which one has the lowest atomic radius?,নিচের কোনটির পারমাণবিক ব্যাসার্ধ সবচেয়ে কম?,Na^{+},Mg^{2+},S^{2-},Cl^{-},Na^{+},Mg^{2+},S^{2-},Cl^{-},b
Which one has a relatively high diffusion time?,নিচের কোনটির ব্যাপন সময় অপেক্ষাকৃত বেশি?,Cl_{2},SO_{2},C_{2}H_{6},CO,Cl_{2},SO_{2},C_{2}H_{6},CO,a
"HCl(aq)+Al(OH)_{3}\rightarrow AlCl_{3}+H_{2}O
In this reaction-
i. the transfer of electrons does not occur
ii. heat is generated
iii. precipitation falls
Which one is correct?","HCl(aq) + Al(OH)_{3} \rightarrow AlCl_{3} + H_{2}O; এই বিক্রিয়ায়-
 i. ইলেকট্রনের স্থানান্তর ঘটে না
 ii. তাপ উৎপন্ন হয়
 iii. অধঃক্ষেপ পড়ে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
How many protons are in the nucleus of Helium?,হিলিয়ামের নিউক্লিয়াসে কয়টি প্রোটন থাকে?,1,2,3,4,1,2,3,4,b
What is the active valency of Copper in cuprous chloride compound?,কিউপ্রাস ক্লোরাইড যৌগে তামার সক্রিয় যোজনী কত?,0,1,2,3,0,1,2,3,b
The amount of charge of electrons is-,ইলেকট্রনের আধানের পরিমাণ-,-9.110\times 10^{-28} Coulomb,-1.60\times 10^{-19} Coulomb,9.110\times 10^{-28} Coulomb,1.60\times 10^{-19} Coulomb,- 9.110 \times 10^{-28} কুলম্ব,- 1.60 \times 10^{-19} কুলম্ব,9.110 \times 10^{-28} কুলম্ব,1.60 \times 10^{-19} কুলম্ব,b
X\rightarrow 1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}3d^{5}4s^{1} element is located in which group of periodic table?,X \rightarrow 1s^{2} 2s^{2} 2p^{6} 3s^{2} 3p^{6} 3d^{5} 4s^{1} মৌলটি পর্যায় সারণির কোন গ্রুপে অবস্থিত?,Group-14,Group-6,Group-5,Group-1,গ্রুপ-14,গ্রুপ-6,গ্রুপ-5,গ্রুপ-1,b
Which compound is colored?,নিচের কোন যৌগটি রঙিন হয়?,Na_{2}SO_{4},CaSO_{4},Fe_{2}(SO_{4})_{3},Al_{2}(SO_{4})_{3},Na_{2}SO_{4},CaSO_{4},Fe_{2}(SO_{4})_{3},Al_{2}(SO_{4})_{3},c
What is the relative molecular mass of calcium phosphate?,ক্যালসিয়াম ফসফেট যৌগের আপেক্ষিক আণবিক ভর কত?,139,154,279,310,139,154,279,310,d
What is the percentage of _{}^{35}\textrm{Cl} isotope in nature?,প্রকৃতিতে ^{35}Cl আইসোটোপ এর শতকরা পরিমাণ কত?,25%,33%,66%,75%,25%,33%,66%,75%,d
Which element is chemically inert?,কোন মৌলটি রাসায়নিকভাবে আসক্তিহীন?,Ne,Na,Cl,Ca,Ne,Na,Cl,Ca,a
How many elements exist in group 17?,গ্রুপ-17 এ কতটি মৌল বিদ্যমান?,4,5,6,7,4,5,6,7,c
What is the highest number of electron for 'M' shell?,"""M"" শক্তিস্তরে সর্বোচ্চ কতটি ইলেকট্রন থাকতে পারে?",2,8,18,32,2,8,18,32,c
4%-10% aqueous solution of ethanoic acid is called-,ইথায়নিক এসিডের 4% - 10% জলীয় দ্রবণকে বলা হয়-,formalin,vinegar,rectified spirit,methylated spirit,ফরমালিন,ভিনেগার,রেকটিফাইড স্পিরিট,মেথিলেটেড স্পিরিট,b
General formula of alcohol-,অ্যালকোহল শ্রেণির সাধারণ সংকেত-,C_{n}H_{2n+1}OH,C_{n}H_{2n}OH,C_{n}H_{2n-1}OH,C_{n}H_{2n+1}COOH,C_{n}H_{2n+1}OH,C_{n}H_{2n}OH,C_{n}H_{2n-1}OH,C_{n}H_{2n+1}COOH,a
Which one is the atomic number of Argon?,আর্গনের পারমাণবিক সংখ্যা কত?,17,18,19,20,17,18,19,20,b
"Particles containing zero charge-
i. electron
ii. proton
iii. neutron
Which one is correct?","আধান শূন্য কণিকা-
 i. ইলেকট্রন
 ii. প্রোটন
 iii. নিউট্রন
 নিচের কোনটি সঠিক?",iii,i and ii,i and iii,ii and iii,iii,i ও ii,i ও iii,ii ও iii,a
Which one of the following has more relative molecular mass?,কোনটির আপেক্ষিক আণবিক ভর বেশি?,H_{2}SO_{4},HNO_{3},H_{2}CO_{3},HCl,H_{2}SO_{4},HNO_{3},H_{2}CO_{3},HCl,a
Which one is the latent vlency of Carbon in CO compoud?,CO যৌগে কার্বনের সুপ্ত যোজনী কত?,0,1,2,4,0,1,2,4,c
"_{1}^{}\textrm{P}, _{7}^{}\textrm{Q} [P and Q are symbolic element]
How many bond pair electrons are present in the molecule of the compound formed by P and Q?","_{1}P, _{7}Q [P ও Q প্রতীকী মৌল]
 
 P ও Q দ্বারা গঠিত যৌগের অণুতে বন্ধনজোড় ইলেকট্রন কতটি?",1,2,3,4,1,2,3,4,c
"{1}^{}\textrm{P}, _{7}^{}\textrm{Q} [P and Q are symbolic element]
The compound formed by P and Q-
i. follows duet rule
ii. forms covalent bond
iii. has lows melting point
Which one is correct?","_{1}P, _{7}Q [P ও Q প্রতীকী মৌল]
 
 P ও Q দ্বারা গঠিত যৌগ-
 i. দুই এর নিয়ম পালন করে
 ii. সমযোজী বন্ধন গঠন করে
 iii. নিম্ন গলনাঙ্কবিশিষ্ট
 নিচের কোনটি সঠিক?",ii,i and ii,ii and iii,"i, ii and iii",ii,i ও ii,ii ও iii,"i, ii ও iii",d
Which one is an unsaturated hydrocarbon?,কোনটি অসপৃক্ত হাইড্রোকার্বন?,C_{2}H_{6},C_{3}H_{6},C_{3}H_{8},C_{6}H_{14},C_2H_6,C_3H_6,C_3H_8,C_6H_{14},b
Which one is the relative atomic mass of Al'?,Al এর আপেক্ষিক পারমাণবিক ভর কত?,10,13,27,36,10,13,27,36,c
What is the IUPAC name of compound 'CH_{3}-C\equiv CH'?,CH_{3} - C \equiv CH যৌগটির IUPAC নাম কী?,Propyl,Propane,Propene,Propyne,প্রোপাইল,প্রোপেন,প্রোপিন,প্রোপাইন,d
_{14}^{}\textrm{Z} [Z is used insmbolic meaning] is an element of period-,_{14}Z [z প্রতীকী অর্থে ব্যবহৃত হয়] মৌলটির পর্যায়-,1,2,3,4,1,2,3,4,c
Which one is used in the preparation of rectified spirit?,রেকটিফাইড স্পিরিট উৎপাদনে কোনটি ব্যবহৃত হয়?,CH_{3}CH_{2}-OH,CH_{3}-CHO,CH_{3}-HO,H-CHO,CH_{3}CH_{2} - OH,CH_{3} -CHO,CH_{3}-OH,H-CHO,a
Which salt is insoluble in water?,পানিতে অদ্রবণীয় লবণ কোনটি?,KNO_{3},MgCl_{2},NaCl,AgCl,KNO_{3},MgCl_{2},NaCl,AgCl,d
How many electrons remain in the outermost energy level of an alkaline earth metal?,মৃৎক্ষার ধাতুসমূহের বহিঃস্থ স্তরে কতটি ইলেকট্রন থাকে?,1,2,3,4,1,2,3,4,b
How many atoms exist in one molecule of ozone?,ওজোনের একটি অণুতে কতটি পরমাণু বিদ্যমান?,1,2,3,4,1,2,3,4,c
What is the proton number of O^{2-}?,O^{2-} এ প্রোটন সংখ্যা কত?,8,9,10,11,8,9,10,11,a
Which group element is Nitrogen?,নাইট্রোজেন কোন গ্রুপের মৌল?,12,13,14,15,12,13,14,15,d
In which isotope of Hydrogen has only one neutron?,হাইড্রোজেনের কোন আইসোটোপে একটিমাত্র নিউট্রন আছে?,Protium,Deuterium,Tritium,Kalium,প্রোটিয়াম,ডিউটোরিয়াম,ট্রিটিয়াম,ক্যালিয়াম,b
